##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
43,"McCann,Emily",*,27,3-11,3-6,7-8,1-2,3,1,1,1,0,0,16,Juniata,Juniata_Susquehanna_2-19-2025
31,"Gerdich,Laney",*,23,3-10,0-1,3-4,1-5,6,1,2,1,0,1,9,Juniata,Juniata_Susquehanna_2-19-2025
21,"Bodtorf,Bri",*,30,3-14,0-3,1-1,2-3,5,1,2,1,0,0,7,Juniata,Juniata_Susquehanna_2-19-2025
11,"Berg,Olivia",*,27,1-3,1-3,2-2,0-2,2,1,1,1,0,1,5,Juniata,Juniata_Susquehanna_2-19-2025
13,"Sherman,Haily",*,31,1-7,0-4,1-2,1-4,5,2,1,2,1,1,3,Juniata,Juniata_Susquehanna_2-19-2025
35,"Betts,Sarah",,12,1-4,0-2,4-4,2-1,3,0,1,1,0,0,6,Juniata,Juniata_Susquehanna_2-19-2025
40,"Nonemaker,Emelie",,12,1-2,0-0,0-0,0-0,0,0,0,1,0,1,2,Juniata,Juniata_Susquehanna_2-19-2025
23,"Gillo,Deja",,12,0-3,0-3,0-0,0-1,1,0,0,0,0,0,0,Juniata,Juniata_Susquehanna_2-19-2025
34,"Scipioni,Dani",,9,0-1,0-0,0-0,0-1,1,1,0,0,0,0,0,Juniata,Juniata_Susquehanna_2-19-2025
24,"Coolidge,Emma",,8,0-1,0-1,0-0,1-0,1,0,0,2,0,0,0,Juniata,Juniata_Susquehanna_2-19-2025
02,"Kelley,McKenna",,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Juniata,Juniata_Susquehanna_2-19-2025
03,"Owens,Michaela",,3,0-1,0-0,0-0,0-1,1,0,0,0,0,0,0,Juniata,Juniata_Susquehanna_2-19-2025
12,"Navickas,Gemma",,3,0-2,0-0,0-0,0-2,2,0,0,1,0,0,0,Juniata,Juniata_Susquehanna_2-19-2025
11,"Weyant,Sydney",*,32,7-13,4-5,3-4,2-0,2,4,6,0,1,0,21,Susquehanna,Juniata_Susquehanna_2-19-2025
12,"George,Carly",*,21,5-7,0-0,0-0,2-6,8,3,2,1,1,0,10,Susquehanna,Juniata_Susquehanna_2-19-2025
24,"Maffei,Zoie",*,26,4-10,1-2,0-3,3-7,10,1,3,1,0,1,9,Susquehanna,Juniata_Susquehanna_2-19-2025
03,"Selvaggi,Kenzie",*,31,3-8,0-4,0-0,0-2,2,2,6,2,0,0,6,Susquehanna,Juniata_Susquehanna_2-19-2025
00,"Pinckert,Julia",*,30,2-3,1-2,0-0,2-7,9,0,6,1,0,1,5,Susquehanna,Juniata_Susquehanna_2-19-2025
14,"Meehan,Grace",,22,6-9,1-3,0-0,0-2,2,4,4,5,0,1,13,Susquehanna,Juniata_Susquehanna_2-19-2025
15,"Greek,Annie",,24,5-9,2-5,0-0,1-7,8,3,1,2,0,1,12,Susquehanna,Juniata_Susquehanna_2-19-2025
32,"Servitto,Greta",,11,3-10,0-0,0-1,1-3,4,2,0,0,1,0,6,Susquehanna,Juniata_Susquehanna_2-19-2025
20,"Grimes,Cassidy",,3,0-1,0-1,0-0,1-0,1,0,0,0,0,1,0,Susquehanna,Juniata_Susquehanna_2-19-2025
