##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,Bri Bodtorf,*,22,5-11,0-1,2-2,2-1,3,3,0,1,1,1,12,Juniata,Juniata_Wash. & Lee_11-19-2023
31,Lanie Gerdich,*,27,2-3,0-0,5-8,1-1,2,2,0,1,1,0,9,Juniata,Juniata_Wash. & Lee_11-19-2023
13,Haily Sherman,*,29,3-13,1-6,1-2,0-6,6,1,1,1,1,1,8,Juniata,Juniata_Wash. & Lee_11-19-2023
03,Kynnedy Miller,*,28,1-6,1-4,1-2,0-5,5,0,2,1,0,0,4,Juniata,Juniata_Wash. & Lee_11-19-2023
11,Olivia Berg,*,28,1-10,0-5,0-0,1-1,2,0,1,5,0,1,2,Juniata,Juniata_Wash. & Lee_11-19-2023
35,Sarah Betts,,13,1-5,1-2,0-0,0-0,0,1,0,1,0,0,3,Juniata,Juniata_Wash. & Lee_11-19-2023
25,Chloe Sauer,,8,0-0,0-0,3-4,1-0,1,0,0,0,0,0,3,Juniata,Juniata_Wash. & Lee_11-19-2023
24,Emma Coolidge,,4,1-2,0-1,0-0,0-0,0,2,0,0,0,0,2,Juniata,Juniata_Wash. & Lee_11-19-2023
04,Steph Emert,,22,0-5,0-2,0-0,1-5,6,1,0,4,0,0,0,Juniata,Juniata_Wash. & Lee_11-19-2023
23,Deja Gillo,,12,0-2,0-0,0-0,1-0,1,0,0,1,0,1,0,Juniata,Juniata_Wash. & Lee_11-19-2023
43,Emily McCann,,7,0-4,0-1,0-0,1-0,1,3,0,0,0,0,0,Juniata,Juniata_Wash. & Lee_11-19-2023
50,Mary Schleusner,*,23,10-13,0-0,4-5,5-9,14,2,4,3,3,3,24,Wash. & Lee,Juniata_Wash. & Lee_11-19-2023
14,Quinn McGuinness,*,23,4-5,2-3,0-0,0-2,2,2,4,3,1,2,10,Wash. & Lee,Juniata_Wash. & Lee_11-19-2023
13,Brianna Shuttlewood,*,17,1-6,1-6,0-0,1-2,3,2,0,2,0,1,3,Wash. & Lee,Juniata_Wash. & Lee_11-19-2023
20,Hanna Malik,*,17,1-5,0-3,1-2,1-0,1,0,2,1,0,0,3,Wash. & Lee,Juniata_Wash. & Lee_11-19-2023
34,Caroline Shimp,*,19,0-3,0-0,0-0,3-3,6,2,2,2,0,0,0,Wash. & Lee,Juniata_Wash. & Lee_11-19-2023
10,Elka Prechel,,18,3-10,3-9,0-0,0-3,3,0,2,0,1,1,9,Wash. & Lee,Juniata_Wash. & Lee_11-19-2023
24,Lauren Achter,,17,3-6,1-3,1-2,1-9,10,1,2,1,2,1,8,Wash. & Lee,Juniata_Wash. & Lee_11-19-2023
30,Riley Bryant,,14,3-6,2-4,0-0,1-1,2,3,1,0,0,1,8,Wash. & Lee,Juniata_Wash. & Lee_11-19-2023
12,Zou Raine,,13,2-5,2-4,0-0,0-0,0,1,2,1,1,2,6,Wash. & Lee,Juniata_Wash. & Lee_11-19-2023
33,Cat Pettegrove,,13,2-6,0-0,0-0,4-0,4,1,2,0,1,0,4,Wash. & Lee,Juniata_Wash. & Lee_11-19-2023
03,Katie Lawson,,11,2-5,0-2,0-0,2-1,3,0,1,0,1,0,4,Wash. & Lee,Juniata_Wash. & Lee_11-19-2023
15,Emma Robertson,,9,0-1,0-0,0-0,0-3,3,2,1,1,0,1,0,Wash. & Lee,Juniata_Wash. & Lee_11-19-2023
11,Icy Keneah,,6,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,Wash. & Lee,Juniata_Wash. & Lee_11-19-2023
