##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Bodtorf,Bri",*,30,6-14,1-6,0-0,5-4,9,1,1,5,0,3,13,Juniata,Juniata_Wilkes_12-9-2023
13,"Sherman,Haily",*,28,3-16,0-5,1-4,3-4,7,0,0,2,0,1,7,Juniata,Juniata_Wilkes_12-9-2023
11,"Berg,Olivia",*,18,0-3,0-2,2-4,0-1,1,4,1,1,0,0,2,Juniata,Juniata_Wilkes_12-9-2023
24,"Coolidge,Emma",*,11,0-3,0-0,1-2,1-1,2,3,0,1,0,1,1,Juniata,Juniata_Wilkes_12-9-2023
03,"Miller,Kynnedy",*,9,0-2,0-2,0-0,1-0,1,1,0,0,0,1,0,Juniata,Juniata_Wilkes_12-9-2023
31,"Gerdich,Laney",,27,3-8,0-0,2-2,5-4,9,0,3,2,0,3,8,Juniata,Juniata_Wilkes_12-9-2023
04,"Emert,Steph",,19,2-4,1-3,0-0,0-2,2,2,0,2,0,2,5,Juniata,Juniata_Wilkes_12-9-2023
43,"McCann,Emily",,20,1-4,0-1,2-2,3-1,4,4,1,3,0,1,4,Juniata,Juniata_Wilkes_12-9-2023
35,"Betts,Sarah",,15,1-3,0-0,2-3,3-3,6,1,1,2,0,0,4,Juniata,Juniata_Wilkes_12-9-2023
23,"Gillo,Deja",,19,1-7,1-5,0-0,2-2,4,2,0,3,0,2,3,Juniata,Juniata_Wilkes_12-9-2023
22,"Eisenberg,Aleya",,2,0-1,0-1,0-0,1-0,1,0,0,0,0,0,0,Juniata,Juniata_Wilkes_12-9-2023
25,"Sauer,Chloe",,2,0-1,0-0,0-0,1-0,1,0,0,0,0,0,0,Juniata,Juniata_Wilkes_12-9-2023
11,"Matos,Yamirelis",*,30,6-14,0-3,0-0,1-5,6,3,0,5,0,2,12,Wilkes,Juniata_Wilkes_12-9-2023
21,"Shober,Erin",*,23,6-8,0-0,0-0,1-2,3,0,1,0,3,1,12,Wilkes,Juniata_Wilkes_12-9-2023
02,"Marino,Julia",*,37,2-4,0-2,4-7,0-7,7,2,7,0,0,2,8,Wilkes,Juniata_Wilkes_12-9-2023
05,"Babcock,Brenna",*,35,3-7,0-0,2-4,3-6,9,1,3,4,0,6,8,Wilkes,Juniata_Wilkes_12-9-2023
12,"Simpson,Taylor",*,22,3-10,1-5,1-2,0-1,1,2,0,3,0,2,8,Wilkes,Juniata_Wilkes_12-9-2023
22,"Stout,Emma",,10,3-5,2-3,0-1,0-0,0,1,0,0,0,1,8,Wilkes,Juniata_Wilkes_12-9-2023
00,"Askins,Julianna",,17,2-4,1-2,0-2,1-2,3,3,0,2,0,0,5,Wilkes,Juniata_Wilkes_12-9-2023
04,"Robel,Madison",,18,1-1,0-0,0-0,0-0,0,1,0,2,1,1,2,Wilkes,Juniata_Wilkes_12-9-2023
13,"Holden,Reagan",,6,0-1,0-1,0-0,1-0,1,3,1,1,0,0,0,Wilkes,Juniata_Wilkes_12-9-2023
25,"Edwards,Tess",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Wilkes,Juniata_Wilkes_12-9-2023
