##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
13,Haily Sherman,*,22,4-7,2-2,0-0,1-5,6,4,0,0,0,1,10,Juniata,Juniata_York (Pa.)_11-10-2023
03,Kynnedy Miller,*,27,3-11,0-7,2-2,0-2,2,0,0,1,0,1,8,Juniata,Juniata_York (Pa.)_11-10-2023
31,Laney Gerdich,*,31,1-3,0-0,5-8,1-5,6,2,1,4,2,1,7,Juniata,Juniata_York (Pa.)_11-10-2023
35,Sarah Betts,*,15,1-4,0-2,0-0,0-2,2,1,0,6,0,3,2,Juniata,Juniata_York (Pa.)_11-10-2023
43,Emily McCann,*,21,0-2,0-1,0-2,1-2,3,1,0,4,0,1,0,Juniata,Juniata_York (Pa.)_11-10-2023
11,Olivia Berg,,22,2-11,1-5,3-4,2-2,4,0,0,3,0,2,8,Juniata,Juniata_York (Pa.)_11-10-2023
04,Steph Emert,,14,1-8,0-2,2-6,1-1,2,2,1,1,1,0,4,Juniata,Juniata_York (Pa.)_11-10-2023
23,Deja Gillo,,14,1-2,1-1,0-0,0-2,2,2,0,0,0,1,3,Juniata,Juniata_York (Pa.)_11-10-2023
24,Emma Coolidge,,12,0-2,0-0,0-0,0-2,2,1,0,1,0,2,0,Juniata,Juniata_York (Pa.)_11-10-2023
40,Emelie Nonemaker,,9,0-0,0-0,0-0,0-0,0,1,1,3,0,0,0,Juniata,Juniata_York (Pa.)_11-10-2023
02,McKenna Kelley,,3,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Juniata,Juniata_York (Pa.)_11-10-2023
10,Halie Green,,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Juniata,Juniata_York (Pa.)_11-10-2023
22,Aleya Eisenberg,,3,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Juniata,Juniata_York (Pa.)_11-10-2023
25,Chloe Sauer,,2,0-0,0-0,0-0,0-2,2,0,0,0,0,0,0,Juniata,Juniata_York (Pa.)_11-10-2023
34,Dani Scipioni,,2,0-0,0-0,0-0,0-0,0,0,1,1,0,0,0,Juniata,Juniata_York (Pa.)_11-10-2023
TM,TMTeam,,0,0-0,0-0,0-0,1-3,4,0,0,1,0,0,0,Juniata,Juniata_York (Pa.)_11-10-2023
21,Breana Grim,*,29,7-9,2-3,2-3,0-3,3,2,7,3,1,3,18,York (Pa.),Juniata_York (Pa.)_11-10-2023
14,Taylor Burda,*,27,3-9,3-8,3-6,2-2,4,1,2,1,0,2,12,York (Pa.),Juniata_York (Pa.)_11-10-2023
35,Makenna Zimmerman,*,30,4-14,0-3,3-5,6-4,10,2,1,0,2,1,11,York (Pa.),Juniata_York (Pa.)_11-10-2023
15,Alyssa Hocker,*,22,4-10,1-2,2-2,4-8,12,3,2,2,0,2,11,York (Pa.),Juniata_York (Pa.)_11-10-2023
22,Brooklyn Naylor,*,18,0-3,0-0,0-0,2-1,3,2,0,1,0,0,0,York (Pa.),Juniata_York (Pa.)_11-10-2023
02,Georgia Panopoulos,,12,2-4,0-0,2-2,0-0,0,3,1,0,0,3,6,York (Pa.),Juniata_York (Pa.)_11-10-2023
33,Mackenzie Brezovec,,6,2-4,0-1,0-0,1-3,4,0,1,1,0,0,4,York (Pa.),Juniata_York (Pa.)_11-10-2023
40,Molly Gutshall,,6,2-2,0-0,0-0,0-0,0,1,0,2,0,0,4,York (Pa.),Juniata_York (Pa.)_11-10-2023
20,Taylor Brenneman,,15,1-3,0-0,0-0,0-4,4,3,3,1,0,0,2,York (Pa.),Juniata_York (Pa.)_11-10-2023
30,Bailey Springer,,4,1-1,0-0,0-0,0-1,1,3,0,3,0,0,2,York (Pa.),Juniata_York (Pa.)_11-10-2023
05,Rosalynn Diehl,,8,0-2,0-1,0-0,0-0,0,1,0,1,1,1,0,York (Pa.),Juniata_York (Pa.)_11-10-2023
13,Timberley Linebaugh,,8,0-2,0-2,0-0,0-3,3,0,0,1,0,0,0,York (Pa.),Juniata_York (Pa.)_11-10-2023
12,Kaila Fitzpatrick,,5,0-1,0-1,0-0,0-1,1,0,1,1,0,0,0,York (Pa.),Juniata_York (Pa.)_11-10-2023
23,Shealyn Ricks,,5,0-3,0-1,0-0,0-1,1,2,0,1,0,3,0,York (Pa.),Juniata_York (Pa.)_11-10-2023
32,Arianna Jeffries,,5,0-1,0-0,0-0,0-1,1,0,0,2,0,0,0,York (Pa.),Juniata_York (Pa.)_11-10-2023
TM,TMTeam,,0,0-0,0-0,0-0,0-4,4,0,0,0,0,0,0,York (Pa.),Juniata_York (Pa.)_11-10-2023
