##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,"Graff,Brittany",*,40,4-13,1-8,2-2,1-1,2,1,2,7,1,4,11,Kean,Kean_Drew_12-30-2022
11,"Seaman,Macy",*,35,4-11,0-0,1-5,6-6,12,2,1,2,7,0,9,Kean,Kean_Drew_12-30-2022
20,"McCoy,Shannon",*,34,3-13,2-9,1-2,3-8,11,3,1,2,0,4,9,Kean,Kean_Drew_12-30-2022
30,"Anderson,Kayla",*,21,4-10,0-0,0-0,3-3,6,3,2,7,0,2,8,Kean,Kean_Drew_12-30-2022
03,"Olivero,Sarah",*,29,0-7,0-6,0-0,1-0,1,2,4,2,1,4,0,Kean,Kean_Drew_12-30-2022
05,"Edwards,Maya",,17,3-8,2-3,1-2,2-1,3,1,0,2,0,0,9,Kean,Kean_Drew_12-30-2022
25,"Mileski,Natalie",,8,0-1,0-1,0-0,0-1,1,0,0,0,0,0,0,Kean,Kean_Drew_12-30-2022
12,"Dietz,Morgan",,7,0-0,0-0,0-0,0-1,1,3,1,2,1,0,0,Kean,Kean_Drew_12-30-2022
33,"Vaughn,Maddison",,6,0-2,0-0,0-0,1-0,1,3,0,1,0,0,0,Kean,Kean_Drew_12-30-2022
32,"Badeer,Shahd",,3,0-1,0-0,0-0,1-0,1,0,0,0,1,0,0,Kean,Kean_Drew_12-30-2022
10,"Keating,Jordyn",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Kean,Kean_Drew_12-30-2022
25,"Struble,Jamie",*,32,3-5,0-0,5-8,1-7,8,3,0,5,3,3,11,Drew,Kean_Drew_12-30-2022
23,"Meyers,Joey",*,32,5-15,0-2,0-2,6-4,10,1,1,4,0,4,10,Drew,Kean_Drew_12-30-2022
02,"Alberici,Gwen",*,33,2-7,0-1,2-4,1-0,1,2,6,4,0,1,6,Drew,Kean_Drew_12-30-2022
12,"Morgan,Madelyn",*,27,3-12,0-2,0-0,1-2,3,1,0,3,0,5,6,Drew,Kean_Drew_12-30-2022
22,"Hezel,Gracie",*,22,3-8,0-0,0-0,1-3,4,2,3,1,0,0,6,Drew,Kean_Drew_12-30-2022
04,"Wojtowicz,Katrina",,10,3-6,3-5,2-2,0-4,4,2,1,2,0,1,11,Drew,Kean_Drew_12-30-2022
13,"Mann,Kyra",,14,2-5,2-2,0-0,0-2,2,0,2,1,0,1,6,Drew,Kean_Drew_12-30-2022
20,"Hezel,Brenna",,17,0-2,0-0,3-4,4-3,7,0,3,1,0,1,3,Drew,Kean_Drew_12-30-2022
42,"Pica,Gianna",,3,0-1,0-0,2-2,0-0,0,0,0,0,0,0,2,Drew,Kean_Drew_12-30-2022
33,"Beyer,Maddie",,5,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Kean_Drew_12-30-2022
03,"Lalo,Izzy",,3,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Drew,Kean_Drew_12-30-2022
05,"Wood,Ryane",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Kean_Drew_12-30-2022
11,"Dobrich,Beth",,1,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Drew,Kean_Drew_12-30-2022
