##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
24,"Ortiz,Anyah",*,33,7-10,0-0,4-4,3-4,7,3,2,4,0,8,18,Keystone,Keystone_Wilkes_12-14-2024
03,"Hubbard,Tamari",*,25,3-8,0-0,11-13,3-3,6,3,0,4,0,2,17,Keystone,Keystone_Wilkes_12-14-2024
14,"Alers,Kamryn",*,22,2-3,1-1,1-2,0-1,1,2,2,2,0,1,6,Keystone,Keystone_Wilkes_12-14-2024
10,"Kerdock,Ginger",*,26,1-5,0-2,2-2,0-2,2,2,1,2,0,2,4,Keystone,Keystone_Wilkes_12-14-2024
01,"MacGibbon,Makara",*,13,1-3,0-2,0-0,0-0,0,0,2,1,0,0,2,Keystone,Keystone_Wilkes_12-14-2024
02,"Wharton,Mackenzie",,21,2-5,2-5,0-0,0-4,4,0,0,4,0,0,6,Keystone,Keystone_Wilkes_12-14-2024
05,"Reeves,Madison",,13,2-6,2-5,0-0,0-1,1,1,0,2,0,1,6,Keystone,Keystone_Wilkes_12-14-2024
21,"Star,Lisa",,15,2-7,0-0,0-0,2-3,5,4,1,3,2,0,4,Keystone,Keystone_Wilkes_12-14-2024
11,"Bryant,Malaysia",,11,1-5,0-0,0-0,0-1,1,1,3,1,0,4,2,Keystone,Keystone_Wilkes_12-14-2024
12,"Rosario,Izzy",,14,0-2,0-2,1-2,1-2,3,1,0,3,1,3,1,Keystone,Keystone_Wilkes_12-14-2024
23,"Nickens,Iysis",,7,0-2,0-0,0-0,0-0,0,1,0,1,0,0,0,Keystone,Keystone_Wilkes_12-14-2024
11,"Matos,Yamirelis",*,29,7-16,1-4,4-4,3-3,6,4,2,11,0,4,19,Wilkes,Keystone_Wilkes_12-14-2024
00,"Askins,Julianna",*,28,3-11,3-8,1-2,0-3,3,2,1,3,1,5,10,Wilkes,Keystone_Wilkes_12-14-2024
01,"Warren,Maliyah",*,23,3-10,1-1,2-4,0-1,1,1,1,1,0,2,9,Wilkes,Keystone_Wilkes_12-14-2024
10,"Evanosky,Nadia",*,36,3-7,0-0,1-1,7-4,11,4,1,5,2,6,7,Wilkes,Keystone_Wilkes_12-14-2024
13,"Holden,Reagan",*,30,1-3,1-2,0-2,0-3,3,4,2,4,1,1,3,Wilkes,Keystone_Wilkes_12-14-2024
15,"Wartzenluft,Dana",,9,2-4,1-2,0-0,0-1,1,0,1,1,0,0,5,Wilkes,Keystone_Wilkes_12-14-2024
30,"Bogdan,Delaney",,12,1-1,1-1,1-2,0-2,2,1,1,1,0,0,4,Wilkes,Keystone_Wilkes_12-14-2024
22,"Stout,Emma",,8,1-3,1-3,0-0,0-1,1,3,0,0,0,0,3,Wilkes,Keystone_Wilkes_12-14-2024
05,"Lundy,Carolyn",,10,1-1,0-0,0-0,1-1,2,1,1,1,0,1,2,Wilkes,Keystone_Wilkes_12-14-2024
21,"Olguin,Madison",,4,1-1,0-0,0-0,1-0,1,1,0,0,0,0,2,Wilkes,Keystone_Wilkes_12-14-2024
14,"McCance,Kyleen",,11,0-2,0-2,0-0,0-1,1,1,1,1,0,0,0,Wilkes,Keystone_Wilkes_12-14-2024
