##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
20,Samantha Rajza,*,36,4-12,2-5,1-2,0-2,2,3,1,2,0,2,11,King's (PA),King's (PA)_Drew_11-27-2021
03,Emily Morano,*,25,5-12,1-2,0-0,1-3,4,2,1,0,0,3,11,King's (PA),King's (PA)_Drew_11-27-2021
04,Emily Kriston,*,28,2-10,1-3,3-4,0-3,3,2,3,0,0,4,8,King's (PA),King's (PA)_Drew_11-27-2021
21,Sarah Heiskell-Mann,*,19,2-5,0-0,0-0,1-0,1,3,0,0,1,3,4,King's (PA),King's (PA)_Drew_11-27-2021
05,Kiersten Krouse,*,28,0-4,0-3,0-0,0-3,3,1,1,2,0,0,0,King's (PA),King's (PA)_Drew_11-27-2021
12,Alli Lindsay,,24,3-11,0-0,5-6,4-5,9,0,1,2,2,2,11,King's (PA),King's (PA)_Drew_11-27-2021
24,Caileigh Costello,,20,2-9,0-1,0-0,5-3,8,2,1,2,1,0,4,King's (PA),King's (PA)_Drew_11-27-2021
41,Zoe Stein,,6,1-2,0-0,0-0,0-0,0,2,0,0,0,0,2,King's (PA),King's (PA)_Drew_11-27-2021
11,Brenna Costello,,8,0-2,0-1,1-2,1-0,1,1,0,0,0,0,1,King's (PA),King's (PA)_Drew_11-27-2021
01,Maddy White,,2,0-2,0-1,0-0,0-1,1,0,0,0,0,0,0,King's (PA),King's (PA)_Drew_11-27-2021
22,Jackie Costello,,2,0-0,0-0,0-0,1-0,1,0,0,0,0,0,0,King's (PA),King's (PA)_Drew_11-27-2021
23,Cailin Wilson,,2,0-2,0-1,0-0,1-0,1,0,0,1,0,0,0,King's (PA),King's (PA)_Drew_11-27-2021
23,Joey Meyers,*,34,8-16,1-3,0-1,2-11,13,1,3,2,0,2,17,Drew,King's (PA)_Drew_11-27-2021
20,Erin Frederick,*,34,8-13,0-0,0-2,1-5,6,1,1,2,2,0,16,Drew,King's (PA)_Drew_11-27-2021
13,Kyra Mann,*,24,5-9,1-3,2-2,2-3,5,2,2,1,0,0,13,Drew,King's (PA)_Drew_11-27-2021
25,Jamie Struble,*,18,1-3,0-0,1-2,0-1,1,0,3,2,1,0,3,Drew,King's (PA)_Drew_11-27-2021
02,Gwen Alberici,*,28,0-3,0-2,1-2,1-5,6,4,3,6,0,1,1,Drew,King's (PA)_Drew_11-27-2021
33,Sekya Campbell,,22,7-11,0-0,4-4,4-5,9,2,3,0,0,1,18,Drew,King's (PA)_Drew_11-27-2021
15,Cecelia Kracht,,7,0-0,0-0,2-2,0-1,1,0,0,0,0,0,2,Drew,King's (PA)_Drew_11-27-2021
04,Katrina Wojtowicz,,14,0-2,0-1,0-0,0-5,5,0,2,0,2,0,0,Drew,King's (PA)_Drew_11-27-2021
05,Micela Genua,,9,0-0,0-0,0-0,0-0,0,1,1,3,0,0,0,Drew,King's (PA)_Drew_11-27-2021
22,Brooke Timinski,,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Drew,King's (PA)_Drew_11-27-2021
03,Izzy Lalo,,2,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Drew,King's (PA)_Drew_11-27-2021
11,Lauren Cruse,,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,King's (PA)_Drew_11-27-2021
50,Sam Antin,,2,0-0,0-0,0-0,0-0,0,0,0,0,1,0,0,Drew,King's (PA)_Drew_11-27-2021
10,Carlye Graff,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,King's (PA)_Drew_11-27-2021
