##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
42,"Casey,Lauren",*,28,12-17,0-0,1-2,2-10,12,4,1,9,1,2,25,King's (PA),King's (PA)_Lycoming_11-16-2024
03,"Hines,Juleesah",*,32,8-9,0-0,2-2,2-1,3,3,3,3,0,4,18,King's (PA),King's (PA)_Lycoming_11-16-2024
22,"Dickson,Gianna",*,30,2-8,1-5,1-2,0-3,3,3,0,1,1,2,6,King's (PA),King's (PA)_Lycoming_11-16-2024
12,"Lindsay,Alli",*,25,2-5,0-2,1-2,0-4,4,2,5,4,0,2,5,King's (PA),King's (PA)_Lycoming_11-16-2024
02,"Lewis,Cadie",*,38,0-6,0-2,3-4,1-6,7,2,6,2,0,3,3,King's (PA),King's (PA)_Lycoming_11-16-2024
24,"Long,Irelynd",,19,1-3,1-2,0-0,0-1,1,1,0,1,0,1,3,King's (PA),King's (PA)_Lycoming_11-16-2024
11,"Orth,Layla",,13,0-2,0-1,0-0,0-1,1,2,1,1,0,0,0,King's (PA),King's (PA)_Lycoming_11-16-2024
04,"Shepherd,Kathy",,9,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,King's (PA),King's (PA)_Lycoming_11-16-2024
25,"Aufiero,Claire",,6,0-1,0-0,0-0,0-0,0,3,0,1,0,0,0,King's (PA),King's (PA)_Lycoming_11-16-2024
14,"Fisher,Allison",*,24,6-12,4-8,2-4,0-2,2,1,1,6,0,0,18,Lycoming,King's (PA)_Lycoming_11-16-2024
21,"Yoh,Ashley",*,31,4-12,0-0,3-6,2-2,4,2,2,1,2,1,11,Lycoming,King's (PA)_Lycoming_11-16-2024
12,"Dufner,Meghan",*,37,2-9,1-3,4-4,3-4,7,3,2,5,0,1,9,Lycoming,King's (PA)_Lycoming_11-16-2024
10,"Wetzel,Mya",*,26,0-5,0-5,0-0,0-3,3,3,3,2,0,1,0,Lycoming,King's (PA)_Lycoming_11-16-2024
02,"Abdo,Kami",*,21,0-7,0-6,0-2,1-0,1,2,1,2,0,1,0,Lycoming,King's (PA)_Lycoming_11-16-2024
05,"McCracken,Jocelyn",,22,5-5,0-0,0-0,1-4,5,0,2,1,0,2,10,Lycoming,King's (PA)_Lycoming_11-16-2024
15,"Hartman,Makenna",,19,3-4,0-0,1-2,1-3,4,3,1,0,0,0,7,Lycoming,King's (PA)_Lycoming_11-16-2024
04,"McMurtrie,Ann-Marie",,8,0-1,0-0,0-0,0-1,1,1,1,2,0,1,0,Lycoming,King's (PA)_Lycoming_11-16-2024
22,"Emlet,Summer",,7,0-1,0-1,0-0,0-1,1,0,0,0,0,0,0,Lycoming,King's (PA)_Lycoming_11-16-2024
32,"Stone,Sydnie",,5,0-1,0-0,0-0,0-1,1,0,0,1,0,1,0,Lycoming,King's (PA)_Lycoming_11-16-2024
