##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
20,Samantha Rajza,*,35,6-17,4-13,0-0,0-5,5,3,2,1,0,1,16,King's (PA),King's (PA)_Scranton_11-20-2021
03,Emily Morano,*,32,4-12,0-5,3-3,1-4,5,4,2,2,0,2,11,King's (PA),King's (PA)_Scranton_11-20-2021
04,Emily Kriston,*,31,3-9,1-4,0-0,0-4,4,4,2,2,0,2,7,King's (PA),King's (PA)_Scranton_11-20-2021
05,Kiersten Krouse,*,31,2-6,2-6,0-2,0-1,1,0,2,1,0,2,6,King's (PA),King's (PA)_Scranton_11-20-2021
21,Sarah Heiskell-Mann,*,20,0-4,0-0,0-0,1-1,2,3,0,0,0,0,0,King's (PA),King's (PA)_Scranton_11-20-2021
12,Alli Lindsay,,23,5-8,4-7,0-0,0-1,1,1,2,2,1,0,14,King's (PA),King's (PA)_Scranton_11-20-2021
11,Brenna Costello,,9,0-2,0-1,1-2,0-3,3,1,0,0,0,0,1,King's (PA),King's (PA)_Scranton_11-20-2021
24,Caileigh Costello,,9,0-2,0-0,1-2,2-0,2,1,0,1,0,0,1,King's (PA),King's (PA)_Scranton_11-20-2021
41,Zoe Stein,,10,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0,King's (PA),King's (PA)_Scranton_11-20-2021
24,Bridget Monaghan,*,30,8-11,5-7,4-4,0-3,3,2,4,1,0,3,25,Scranton,King's (PA)_Scranton_11-20-2021
01,Abby Anderson,*,27,7-21,0-3,1-2,3-6,9,1,1,2,2,0,15,Scranton,King's (PA)_Scranton_11-20-2021
20,Emily Shurina,*,25,5-12,1-4,0-0,3-5,8,1,3,1,0,2,11,Scranton,King's (PA)_Scranton_11-20-2021
13,Maddie Hartnett,*,22,2-5,1-3,0-0,0-1,1,1,4,1,1,2,5,Scranton,King's (PA)_Scranton_11-20-2021
40,Danielle McCurdy,*,23,2-4,0-0,0-0,3-5,8,1,1,2,3,1,4,Scranton,King's (PA)_Scranton_11-20-2021
33,Kyra Quigley,,14,3-3,0-0,0-0,3-6,9,2,0,1,0,0,6,Scranton,King's (PA)_Scranton_11-20-2021
00,Hannah Angelini,,20,1-2,0-0,2-2,0-4,4,2,0,2,0,0,4,Scranton,King's (PA)_Scranton_11-20-2021
21,Maddy Ryan,,8,1-1,0-0,2-2,2-0,2,1,0,0,0,0,4,Scranton,King's (PA)_Scranton_11-20-2021
22,Leah Nolan,,7,1-2,0-0,0-0,0-1,1,2,1,0,0,0,2,Scranton,King's (PA)_Scranton_11-20-2021
32,Sara Walsh,,6,1-3,0-0,0-2,1-1,2,1,0,0,0,0,2,Scranton,King's (PA)_Scranton_11-20-2021
03,Morgan Brewer,,2,1-1,0-0,0-0,0-1,1,1,0,0,0,0,2,Scranton,King's (PA)_Scranton_11-20-2021
10,Allie Lynch,,11,0-2,0-2,0-2,0-0,0,2,0,1,0,0,0,Scranton,King's (PA)_Scranton_11-20-2021
02,Ashlyn Bender,,2,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Scranton,King's (PA)_Scranton_11-20-2021
23,Jenna Larrabee,,2,0-0,0-0,0-0,0-0,0,0,2,0,0,0,0,Scranton,King's (PA)_Scranton_11-20-2021
11,Kayla Farney,,1,0-1,0-1,0-0,1-0,1,0,0,0,0,0,0,Scranton,King's (PA)_Scranton_11-20-2021
