##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
42,Lauren Casey,*,23,5-12,0-0,0-1,2-2,4,4,2,1,2,0,10,King's (Pa.),King's (Pa.)_Juniata_12-30-2024
2,Cadie Lewis,*,34,3-10,2-4,1-3,0-4,4,2,2,0,0,0,9,King's (Pa.),King's (Pa.)_Juniata_12-30-2024
22,Gianna Dickson,*,32,3-15,1-5,1-1,0-1,1,1,2,1,0,1,8,King's (Pa.),King's (Pa.)_Juniata_12-30-2024
3,Juleesah Hines,*,30,3-8,0-0,2-3,4-3,7,0,1,2,0,2,8,King's (Pa.),King's (Pa.)_Juniata_12-30-2024
12,Alli Lindsay,*,25,3-8,2-6,0-0,0-5,5,1,3,5,0,2,8,King's (Pa.),King's (Pa.)_Juniata_12-30-2024
11,Layla Orth,,15,2-5,1-3,4-7,0-1,1,1,0,1,0,1,9,King's (Pa.),King's (Pa.)_Juniata_12-30-2024
43,Emily Orth,,5,0-0,0-0,2-2,0-1,1,1,0,0,0,0,2,King's (Pa.),King's (Pa.)_Juniata_12-30-2024
1,Tiffany Pecorella,,10,0-1,0-0,1-1,0-2,2,1,1,1,0,1,1,King's (Pa.),King's (Pa.)_Juniata_12-30-2024
4,Kathy Shepherd,,18,0-3,0-3,0-0,0-6,6,2,1,2,0,1,0,King's (Pa.),King's (Pa.)_Juniata_12-30-2024
24,Irelynd Long,,7,0-0,0-0,0-0,0-2,2,1,0,1,0,0,0,King's (Pa.),King's (Pa.)_Juniata_12-30-2024
33,Melanie Selner,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,King's (Pa.),King's (Pa.)_Juniata_12-30-2024
TM,TMTeam,,0,0-0,0-0,0-0,1-2,3,0,0,0,0,0,0,King's (Pa.),King's (Pa.)_Juniata_12-30-2024
13,Haily Sherman,*,33,6-17,0-2,5-7,1-8,9,2,2,2,1,1,17,Juniata,King's (Pa.)_Juniata_12-30-2024
21,Bri Bodtorf,*,33,7-9,0-2,2-4,1-7,8,2,2,5,0,4,16,Juniata,King's (Pa.)_Juniata_12-30-2024
4,Steph Emert,*,33,3-11,1-6,6-7,1-5,6,4,2,0,0,2,13,Juniata,King's (Pa.)_Juniata_12-30-2024
31,Laney Gerdich,*,31,6-9,0-0,0-0,4-5,9,0,1,1,1,0,12,Juniata,King's (Pa.)_Juniata_12-30-2024
11,Olivia Berg,*,21,0-2,0-2,0-0,1-2,3,1,2,3,0,0,0,Juniata,King's (Pa.)_Juniata_12-30-2024
23,Deja Gillo,,19,2-4,2-3,0-0,0-3,3,1,2,2,0,0,6,Juniata,King's (Pa.)_Juniata_12-30-2024
35,Sarah Betts,,10,2-5,0-0,0-0,0-2,2,1,1,0,0,0,4,Juniata,King's (Pa.)_Juniata_12-30-2024
24,Emma Coolidge,,6,1-4,0-0,0-0,1-3,4,1,0,1,0,1,2,Juniata,King's (Pa.)_Juniata_12-30-2024
43,Emily McCann,,15,0-1,0-1,0-0,1-2,3,3,0,0,0,0,0,Juniata,King's (Pa.)_Juniata_12-30-2024
TM,TMTeam,,0,0-0,0-0,0-0,0-3,3,0,0,0,0,0,0,Juniata,King's (Pa.)_Juniata_12-30-2024
