##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
05,Allison Butler,*,23,4-15,0-4,0-0,2-3,5,3,1,3,0,2,8,LYCOW,LYCOW_Juniata_11-19-2021
21,Ashley Yoh,*,29,0-9,0-0,6-8,6-3,9,2,0,2,0,2,6,LYCOW,LYCOW_Juniata_11-19-2021
01,Emily Zoscin,*,26,2-6,0-1,0-2,0-4,4,2,2,5,0,1,4,LYCOW,LYCOW_Juniata_11-19-2021
25,Kenzie Reed,*,10,1-2,0-0,0-0,0-1,1,1,0,3,1,0,2,LYCOW,LYCOW_Juniata_11-19-2021
10,Mya Wetzel,*,26,0-7,0-7,0-2,1-4,5,2,0,4,0,2,0,LYCOW,LYCOW_Juniata_11-19-2021
12,Meghan Dufner,,16,2-11,0-4,1-2,4-2,6,1,1,3,0,1,5,LYCOW,LYCOW_Juniata_11-19-2021
24,Emily Lockard,,12,2-3,0-0,0-0,1-1,2,1,0,1,0,0,4,LYCOW,LYCOW_Juniata_11-19-2021
33,Diana Rantz,,22,1-7,0-4,1-2,2-1,3,0,1,0,0,0,3,LYCOW,LYCOW_Juniata_11-19-2021
32,Alyssa Zorbaugh,,13,1-2,0-0,0-0,2-5,7,2,1,1,0,0,2,LYCOW,LYCOW_Juniata_11-19-2021
13,Mia Rudalavage,,4,1-1,0-0,0-1,0-0,0,0,0,1,0,0,2,LYCOW,LYCOW_Juniata_11-19-2021
30,Sophie Pelton,,14,0-2,0-0,0-0,1-4,5,1,1,2,0,0,0,LYCOW,LYCOW_Juniata_11-19-2021
22,Jessica Shaver,,5,0-3,0-0,0-0,1-2,3,1,0,0,1,0,0,LYCOW,LYCOW_Juniata_11-19-2021
13,Haily Sherman,*,28,8-22,1-6,0-1,1-5,6,3,0,2,3,1,17,Juniata,LYCOW_Juniata_11-19-2021
11,Grace Long,*,18,6-11,0-0,1-1,4-7,11,3,3,0,0,4,13,Juniata,LYCOW_Juniata_11-19-2021
23,Cassie Mock,*,35,4-11,2-4,2-2,3-4,7,1,4,4,0,4,12,Juniata,LYCOW_Juniata_11-19-2021
30,Averie Hess,*,30,1-7,0-1,3-6,1-2,3,2,2,6,0,1,5,Juniata,LYCOW_Juniata_11-19-2021
03,Kynnedy Miller,*,28,2-5,1-3,0-1,0-1,1,3,1,3,0,1,5,Juniata,LYCOW_Juniata_11-19-2021
42,Taylor Vrabel,,12,1-5,0-1,0-0,1-5,6,0,1,2,0,0,2,Juniata,LYCOW_Juniata_11-19-2021
34,Dani Scipioni,,8,1-1,0-0,0-2,0-0,0,2,0,0,0,1,2,Juniata,LYCOW_Juniata_11-19-2021
40,Emelie Nonemaker,,17,0-1,0-1,1-2,0-1,1,2,0,2,0,0,1,Juniata,LYCOW_Juniata_11-19-2021
05,Steph Emert,,14,0-1,0-0,0-0,1-3,4,2,2,2,0,0,0,Juniata,LYCOW_Juniata_11-19-2021
35,Sarah Betts,,7,0-1,0-1,0-0,0-1,1,2,1,1,0,0,0,Juniata,LYCOW_Juniata_11-19-2021
21,Jamie Mahigel,,3,0-0,0-0,0-0,0-1,1,0,0,0,0,1,0,Juniata,LYCOW_Juniata_11-19-2021
22,Aleya Eisenberg,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,LYCOW_Juniata_11-19-2021
24,Marta Celebic,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,LYCOW_Juniata_11-19-2021
33,Halle Rittenhouse,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,LYCOW_Juniata_11-19-2021
