##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
20,Rachel Nolt,*,40,5-22,3-10,0-2,4-11,15,4,2,2,0,3,13,Lancaster Bible,Lancaster Bible_Juniata_11-14-2023
35,Jenna Dombach,*,38,4-16,1-10,0-1,1-5,6,4,0,0,2,1,9,Lancaster Bible,Lancaster Bible_Juniata_11-14-2023
10,Raven Hunter,*,40,3-11,0-0,2-5,5-4,9,2,2,5,3,1,8,Lancaster Bible,Lancaster Bible_Juniata_11-14-2023
03,Alaysha Iwais,*,40,2-11,1-3,0-2,0-3,3,0,3,4,0,1,5,Lancaster Bible,Lancaster Bible_Juniata_11-14-2023
14,Natalie Wenger,*,20,1-3,0-1,3-4,3-1,4,3,0,1,0,0,5,Lancaster Bible,Lancaster Bible_Juniata_11-14-2023
04,Isabella Eufemia,,18,3-4,0-1,1-5,2-0,2,5,4,1,0,1,7,Lancaster Bible,Lancaster Bible_Juniata_11-14-2023
01,Madison Timberlake,,4,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Lancaster Bible,Lancaster Bible_Juniata_11-14-2023
TM,TMTeam,,0,0-0,0-0,0-0,5-2,7,0,0,0,0,0,0,Lancaster Bible,Lancaster Bible_Juniata_11-14-2023
13,Haily Sherman,*,26,6-14,2-3,1-2,0-5,5,1,1,0,1,0,15,Juniata,Lancaster Bible_Juniata_11-14-2023
11,Olivia Berg,*,30,3-6,2-4,6-8,2-2,4,1,4,0,0,1,14,Juniata,Lancaster Bible_Juniata_11-14-2023
03,Kynnedy Miller,*,34,4-9,1-5,1-2,1-5,6,3,4,1,1,2,10,Juniata,Lancaster Bible_Juniata_11-14-2023
21,Bri Bodtorf,*,25,3-11,0-2,3-4,3-3,6,2,3,3,0,2,9,Juniata,Lancaster Bible_Juniata_11-14-2023
31,Laney Gerdich,*,22,3-7,0-0,0-0,3-5,8,1,4,1,1,0,6,Juniata,Lancaster Bible_Juniata_11-14-2023
35,Sarah Betts,,19,3-7,0-2,1-2,1-3,4,4,0,2,0,0,7,Juniata,Lancaster Bible_Juniata_11-14-2023
43,Emily McCann,,14,2-3,2-3,0-0,0-1,1,3,1,2,0,1,6,Juniata,Lancaster Bible_Juniata_11-14-2023
04,Steph Emert,,11,1-4,0-1,0-0,0-2,2,2,0,1,0,1,2,Juniata,Lancaster Bible_Juniata_11-14-2023
24,Emma Coolidge,,8,0-2,0-0,0-0,1-1,2,1,0,1,0,0,0,Juniata,Lancaster Bible_Juniata_11-14-2023
23,Deja Gillo,,4,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Juniata,Lancaster Bible_Juniata_11-14-2023
40,Emelie Nonemaker,,3,0-0,0-0,0-0,1-1,2,1,0,4,0,0,0,Juniata,Lancaster Bible_Juniata_11-14-2023
34,Dani Scipioni,,2,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Juniata,Lancaster Bible_Juniata_11-14-2023
10,Halie Green,,1,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Juniata,Lancaster Bible_Juniata_11-14-2023
TM,TMTeam,,0,0-0,0-0,0-0,4-6,10,0,0,2,0,0,0,Juniata,Lancaster Bible_Juniata_11-14-2023
