##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
14,Lizzy Tilton,*,31,5-14,2-4,0-0,1-5,6,2,1,1,1,1,12,Lancaster Bible,Lancaster Bible_Susquehanna_12-8-2021
03,Alaysha Iwais,*,26,4-12,1-3,3-3,0-4,4,2,2,1,0,1,12,Lancaster Bible,Lancaster Bible_Susquehanna_12-8-2021
35,Jenna Dombach,*,34,3-8,0-2,3-4,1-2,3,0,4,1,0,1,9,Lancaster Bible,Lancaster Bible_Susquehanna_12-8-2021
33,Emma Drouillard,*,21,2-9,2-7,0-0,1-3,4,0,1,0,0,0,6,Lancaster Bible,Lancaster Bible_Susquehanna_12-8-2021
34,Jade Eshelman,*,22,2-4,0-0,0-0,2-9,11,2,1,2,0,0,4,Lancaster Bible,Lancaster Bible_Susquehanna_12-8-2021
01,Sydney Heller,,20,2-7,1-2,0-0,2-0,2,2,1,0,0,1,5,Lancaster Bible,Lancaster Bible_Susquehanna_12-8-2021
10,Adalyn Steiner,,19,1-4,1-4,0-0,1-3,4,0,0,4,0,2,3,Lancaster Bible,Lancaster Bible_Susquehanna_12-8-2021
21,Mikayla Via,,9,1-4,0-1,0-0,0-0,0,0,0,1,0,0,2,Lancaster Bible,Lancaster Bible_Susquehanna_12-8-2021
24,Faith Hammond,,4,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Lancaster Bible,Lancaster Bible_Susquehanna_12-8-2021
32,Tenia Brown,,14,0-2,0-0,0-0,0-1,1,3,0,1,0,0,0,Lancaster Bible,Lancaster Bible_Susquehanna_12-8-2021
21,Olivia Brandt,*,37,10-18,1-3,1-2,6-9,15,1,6,3,3,1,22,Susquehanna,Lancaster Bible_Susquehanna_12-8-2021
10,Erin McQuillen,*,34,5-11,1-4,0-0,1-6,7,0,3,2,0,1,11,Susquehanna,Lancaster Bible_Susquehanna_12-8-2021
30,Kaitlyn Lynch,*,28,3-8,2-5,1-3,0-2,2,1,3,0,0,2,9,Susquehanna,Lancaster Bible_Susquehanna_12-8-2021
12,Amanda Lemire,*,30,2-5,2-2,0-0,0-2,2,2,0,0,0,0,6,Susquehanna,Lancaster Bible_Susquehanna_12-8-2021
14,Isabella Schwabe,*,12,0-2,0-0,0-0,0-2,2,3,2,3,1,0,0,Susquehanna,Lancaster Bible_Susquehanna_12-8-2021
23,Amalia Esposito,,29,3-6,0-0,2-2,2-11,13,0,5,7,0,1,8,Susquehanna,Lancaster Bible_Susquehanna_12-8-2021
24,Sadie Comfort,,24,3-11,2-10,0-0,0-2,2,3,1,2,1,0,8,Susquehanna,Lancaster Bible_Susquehanna_12-8-2021
13,Kate Hildebrandt,,4,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Lancaster Bible_Susquehanna_12-8-2021
22,Olivia Ciullo,,2,0-0,0-0,0-0,0-1,1,0,1,0,0,0,0,Susquehanna,Lancaster Bible_Susquehanna_12-8-2021
