##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
03,Daelyn Stabler,*,36,5-12,0-0,2-2,3-4,7,4,0,5,0,1,12,Lebanon Valley,Lebanon Valley_Elizabethtown_11-23-2021
23,Kennedy Kuffa,*,39,4-13,0-3,3-4,4-6,10,2,0,2,3,1,11,Lebanon Valley,Lebanon Valley_Elizabethtown_11-23-2021
04,Cassiah Ray,*,28,4-10,2-6,0-0,2-4,6,4,0,2,0,0,10,Lebanon Valley,Lebanon Valley_Elizabethtown_11-23-2021
01,Cristina Fernandez,*,36,4-16,0-3,0-2,2-4,6,4,5,2,1,3,8,Lebanon Valley,Lebanon Valley_Elizabethtown_11-23-2021
10,Samya Santiague,*,24,1-4,0-3,0-1,0-1,1,0,0,1,0,1,2,Lebanon Valley,Lebanon Valley_Elizabethtown_11-23-2021
11,Allison Bimmer,,8,1-2,1-2,0-0,1-1,2,1,0,0,0,0,3,Lebanon Valley,Lebanon Valley_Elizabethtown_11-23-2021
12,Chardae Stone,,10,1-2,0-0,0-0,0-1,1,3,0,2,0,2,2,Lebanon Valley,Lebanon Valley_Elizabethtown_11-23-2021
20,Jaime Youngkin,,19,0-3,0-1,0-0,0-3,3,2,3,1,1,1,0,Lebanon Valley,Lebanon Valley_Elizabethtown_11-23-2021
22,Veronica Christ,*,36,8-19,1-3,0-1,1-5,6,0,3,2,0,3,17,Elizabethtown,Lebanon Valley_Elizabethtown_11-23-2021
04,Cyleigh Wilson,*,35,3-7,2-5,2-3,1-8,9,1,0,6,0,0,10,Elizabethtown,Lebanon Valley_Elizabethtown_11-23-2021
10,Summer McNulty,*,27,3-6,0-2,2-2,1-1,2,3,3,3,0,1,8,Elizabethtown,Lebanon Valley_Elizabethtown_11-23-2021
34,DaniRae Renno,*,17,2-7,0-0,1-2,2-2,4,2,0,0,0,0,5,Elizabethtown,Lebanon Valley_Elizabethtown_11-23-2021
30,Jessica King,*,27,0-3,0-0,4-6,3-6,9,1,1,1,2,0,4,Elizabethtown,Lebanon Valley_Elizabethtown_11-23-2021
13,Taylor Huyck,,21,2-8,1-2,4-4,3-5,8,1,1,1,0,4,9,Elizabethtown,Lebanon Valley_Elizabethtown_11-23-2021
03,Lindsay Boyd,,20,0-6,0-3,2-4,1-1,2,4,0,0,1,1,2,Elizabethtown,Lebanon Valley_Elizabethtown_11-23-2021
21,Emily Prowell,,17,1-3,0-1,0-2,0-3,3,2,0,0,1,0,2,Elizabethtown,Lebanon Valley_Elizabethtown_11-23-2021
