##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
04,Kate Fitzpatrick,*,33,6-18,1-5,2-3,0-5,5,2,4,0,1,3,15,Lebanon Valley,Lebanon Valley_Juniata_12-6-2023
14,Riley Hevelow,*,36,5-8,1-2,0-0,0-1,1,1,2,3,0,2,11,Lebanon Valley,Lebanon Valley_Juniata_12-6-2023
01,Cristina Fernandez,*,35,5-12,1-4,0-0,3-1,4,2,4,1,2,1,11,Lebanon Valley,Lebanon Valley_Juniata_12-6-2023
10,Samya Santiague,*,26,2-6,0-1,1-3,1-7,8,1,0,1,0,1,5,Lebanon Valley,Lebanon Valley_Juniata_12-6-2023
32,Brielle Reidinger,*,21,2-8,0-0,1-2,7-5,12,0,2,2,0,0,5,Lebanon Valley,Lebanon Valley_Juniata_12-6-2023
22,Abbie Reed,,17,2-6,0-2,0-0,0-4,4,2,1,3,0,2,4,Lebanon Valley,Lebanon Valley_Juniata_12-6-2023
34,Kailey Eckhart,,10,0-2,0-2,2-2,1-1,2,3,0,2,0,1,2,Lebanon Valley,Lebanon Valley_Juniata_12-6-2023
31,Elise Balmer,,8,0-0,0-0,0-0,0-0,0,2,0,1,0,0,0,Lebanon Valley,Lebanon Valley_Juniata_12-6-2023
11,Allison Bimmer,,7,0-1,0-1,0-0,0-0,0,1,0,0,0,0,0,Lebanon Valley,Lebanon Valley_Juniata_12-6-2023
33,Jordan Zimmerman,,7,0-1,0-1,0-0,1-2,3,0,0,0,0,0,0,Lebanon Valley,Lebanon Valley_Juniata_12-6-2023
TM,TMTeam,,0,0-0,0-0,0-0,3-2,5,0,0,0,0,0,0,Lebanon Valley,Lebanon Valley_Juniata_12-6-2023
21,Bri Bodtorf,*,31,6-15,1-3,2-3,2-3,5,4,1,3,0,1,15,Juniata,Lebanon Valley_Juniata_12-6-2023
13,Haily Sherman,*,26,3-12,0-3,1-2,1-4,5,1,0,3,1,3,7,Juniata,Lebanon Valley_Juniata_12-6-2023
03,Kynnedy Miller,*,21,1-6,0-4,0-0,2-1,3,0,0,1,0,1,2,Juniata,Lebanon Valley_Juniata_12-6-2023
31,Laney Gerdich,*,20,1-2,0-0,0-0,0-5,5,1,1,4,2,0,2,Juniata,Lebanon Valley_Juniata_12-6-2023
11,Olivia Berg,*,23,0-5,0-3,0-2,1-1,2,1,3,2,0,0,0,Juniata,Lebanon Valley_Juniata_12-6-2023
23,Deja Gillo,,15,2-4,1-3,2-3,1-3,4,0,0,0,0,0,7,Juniata,Lebanon Valley_Juniata_12-6-2023
04,Steph Emert,,14,2-3,1-1,0-0,0-2,2,3,2,0,0,1,5,Juniata,Lebanon Valley_Juniata_12-6-2023
43,Emily McCann,,13,1-2,0-0,1-1,2-2,4,0,0,2,0,0,3,Juniata,Lebanon Valley_Juniata_12-6-2023
24,Emma Coolidge,,14,1-3,0-1,0-2,2-2,4,2,1,0,0,0,2,Juniata,Lebanon Valley_Juniata_12-6-2023
35,Sarah Betts,,19,0-3,0-1,0-0,1-2,3,1,0,0,0,0,0,Juniata,Lebanon Valley_Juniata_12-6-2023
40,Emelie Nonemaker,,5,0-1,0-0,0-0,1-0,1,1,0,1,0,0,0,Juniata,Lebanon Valley_Juniata_12-6-2023
TM,TMTeam,,0,0-0,0-0,0-0,2-2,4,0,0,0,0,0,0,Juniata,Lebanon Valley_Juniata_12-6-2023
