##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
04,"Fitzpatrick,Kate",*,38,8-17,6-15,5-6,0-2,2,1,2,2,1,1,27,Lebanon Valley,Lebanon Valley_Moravian_12-16-2023
32,"Reidinger,Brielle",*,36,6-9,0-0,5-6,1-6,7,1,4,4,2,1,17,Lebanon Valley,Lebanon Valley_Moravian_12-16-2023
01,"Fernandez,Cristina",*,39,5-7,0-0,1-2,0-2,2,2,4,3,1,1,11,Lebanon Valley,Lebanon Valley_Moravian_12-16-2023
14,"Hevelow,Riley",*,40,3-9,1-1,0-0,0-2,2,0,5,2,1,2,7,Lebanon Valley,Lebanon Valley_Moravian_12-16-2023
22,"Reed,Abbie",*,28,1-4,0-2,0-0,0-5,5,1,1,0,0,0,2,Lebanon Valley,Lebanon Valley_Moravian_12-16-2023
31,"Balmer,Elise",,6,1-1,0-0,0-0,0-2,2,1,0,0,0,0,2,Lebanon Valley,Lebanon Valley_Moravian_12-16-2023
33,"Zimmerman,Jordan",,7,0-2,0-1,0-0,0-1,1,1,0,0,0,1,0,Lebanon Valley,Lebanon Valley_Moravian_12-16-2023
11,"Bimmer,Allison",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Lebanon Valley,Lebanon Valley_Moravian_12-16-2023
34,"Eckhart,Kailey",,3,0-1,0-1,0-0,0-0,0,0,0,2,0,0,0,Lebanon Valley,Lebanon Valley_Moravian_12-16-2023
10,"Guarente,Brielle",*,37,7-13,0-0,0-0,4-5,9,5,4,3,0,2,14,Moravian,Lebanon Valley_Moravian_12-16-2023
01,"Osorio,Sam",*,31,6-16,0-0,1-1,0-6,6,4,1,3,1,4,13,Moravian,Lebanon Valley_Moravian_12-16-2023
04,"Cartagena,Jayda",*,34,5-10,2-5,0-0,2-2,4,1,0,6,0,1,12,Moravian,Lebanon Valley_Moravian_12-16-2023
21,"Steffen,Grace",*,30,3-8,0-0,0-0,4-3,7,2,2,3,0,0,6,Moravian,Lebanon Valley_Moravian_12-16-2023
14,"Flannery,Reganne",*,23,0-6,0-1,0-0,1-3,4,1,3,1,1,0,0,Moravian,Lebanon Valley_Moravian_12-16-2023
24,"Lustig,Lizzie",,26,6-9,1-2,0-0,1-1,2,2,0,0,0,0,13,Moravian,Lebanon Valley_Moravian_12-16-2023
22,"Vassallo,Juliana",,9,1-2,1-1,0-0,0-2,2,1,1,0,0,0,3,Moravian,Lebanon Valley_Moravian_12-16-2023
12,"Anderson,Mikayla",,9,0-1,0-0,0-0,0-0,0,0,2,0,0,0,0,Moravian,Lebanon Valley_Moravian_12-16-2023
00,"Altmire,Emma",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0,Moravian,Lebanon Valley_Moravian_12-16-2023
