##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
01,"Fernandez,Cristina",*,38,7-12,0-3,1-1,3-5,8,2,3,0,0,1,15,Lebanon Valley,Lebanon Valley_Susquehanna_11-16-2022
04,"Fitzpatrick,Kate",*,33,5-13,1-6,2-2,1-1,2,0,2,4,0,0,13,Lebanon Valley,Lebanon Valley_Susquehanna_11-16-2022
03,"Stabler,Daelyn",*,34,2-7,0-0,4-6,2-11,13,2,2,5,2,5,8,Lebanon Valley,Lebanon Valley_Susquehanna_11-16-2022
14,"Hevelow,Riley",*,18,3-9,1-2,0-0,0-3,3,1,0,2,0,1,7,Lebanon Valley,Lebanon Valley_Susquehanna_11-16-2022
10,"Santiague,Samya",*,35,2-6,1-2,0-0,0-3,3,0,0,1,0,0,5,Lebanon Valley,Lebanon Valley_Susquehanna_11-16-2022
33,"Zimmerman,Jordan",,16,3-3,2-2,0-0,0-0,0,1,0,0,0,0,8,Lebanon Valley,Lebanon Valley_Susquehanna_11-16-2022
11,"Bimmer,Allison",,8,1-1,1-1,0-0,0-0,0,0,0,1,0,0,3,Lebanon Valley,Lebanon Valley_Susquehanna_11-16-2022
05,"Eager,Cassie",,3,1-2,1-2,0-0,0-0,0,1,0,1,0,0,3,Lebanon Valley,Lebanon Valley_Susquehanna_11-16-2022
23,"Joseph,Kyrsten",,9,0-3,0-3,0-0,0-1,1,2,0,1,0,0,0,Lebanon Valley,Lebanon Valley_Susquehanna_11-16-2022
31,"Balmer,Elise",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Lebanon Valley,Lebanon Valley_Susquehanna_11-16-2022
34,"Eckhart,Kailey",,3,0-2,0-1,0-0,2-1,3,0,2,0,0,0,0,Lebanon Valley,Lebanon Valley_Susquehanna_11-16-2022
00,"Pinckert,Julia",*,39,6-15,4-10,2-3,1-8,9,3,2,3,0,3,18,Susquehanna,Lebanon Valley_Susquehanna_11-16-2022
30,"Lynch,Kaitlyn",*,36,4-9,0-4,2-3,0-3,3,3,1,2,0,0,10,Susquehanna,Lebanon Valley_Susquehanna_11-16-2022
03,"Selvaggi,Kenzie",*,29,3-12,1-7,0-0,0-2,2,3,2,4,0,2,7,Susquehanna,Lebanon Valley_Susquehanna_11-16-2022
25,"Goldenziel,Alicia",*,19,2-5,0-0,0-0,2-2,4,1,0,2,2,0,4,Susquehanna,Lebanon Valley_Susquehanna_11-16-2022
14,"Schwabe,Isabella",*,18,0-2,0-0,0-0,1-3,4,3,1,3,0,0,0,Susquehanna,Lebanon Valley_Susquehanna_11-16-2022
13,"Hildebrandt,Kate",,11,2-4,0-2,0-0,0-0,0,1,1,1,0,0,4,Susquehanna,Lebanon Valley_Susquehanna_11-16-2022
31,"Meehan,Grace",,17,1-3,0-2,0-0,1-2,3,0,0,0,0,0,2,Susquehanna,Lebanon Valley_Susquehanna_11-16-2022
04,"Clarke,Victoria",,8,1-3,0-0,0-0,0-0,0,0,0,1,0,0,2,Susquehanna,Lebanon Valley_Susquehanna_11-16-2022
02,"Sabol,Vanessa",,7,0-0,0-0,1-2,1-1,2,1,1,1,0,1,1,Susquehanna,Lebanon Valley_Susquehanna_11-16-2022
05,"Klein,Lauren",,16,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Lebanon Valley_Susquehanna_11-16-2022
