##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,Silvana Scarsella,*,31,9-10,5-6,7-12,0-0,0,2,1,0,0,1,30,Loras,Loras_Elizabethtown_12-19-2023
35,Madison Fleckenstein,*,30,6-11,1-3,8-10,0-2,2,1,6,1,1,2,21,Loras,Loras_Elizabethtown_12-19-2023
24,Madison Haslow,*,28,2-9,0-5,5-6,1-5,6,3,2,3,0,2,9,Loras,Loras_Elizabethtown_12-19-2023
11,Sami Martin,*,25,4-7,0-1,1-4,4-4,8,5,5,3,0,0,9,Loras,Loras_Elizabethtown_12-19-2023
13,Daniella Jarrell,*,29,1-2,0-1,1-2,1-1,2,2,4,2,0,2,3,Loras,Loras_Elizabethtown_12-19-2023
12,Claire Wagner,,22,4-5,0-1,0-0,1-6,7,3,2,0,1,1,8,Loras,Loras_Elizabethtown_12-19-2023
03,Megan Murray,,15,1-5,1-2,0-0,1-0,1,4,2,1,0,0,3,Loras,Loras_Elizabethtown_12-19-2023
01,Tess Johnson,,15,0-2,0-2,0-0,0-1,1,1,1,0,0,0,0,Loras,Loras_Elizabethtown_12-19-2023
15,Cassidy Randl,,4,0-2,0-0,0-0,0-0,0,0,1,0,0,0,0,Loras,Loras_Elizabethtown_12-19-2023
30,Emma Webb,,1,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Loras,Loras_Elizabethtown_12-19-2023
25,Summer McNulty,*,34,9-20,3-9,8-9,1-3,4,3,2,4,0,0,29,Elizabethtown,Loras_Elizabethtown_12-19-2023
04,Cyleigh Wilson,*,32,6-11,4-6,3-3,2-2,4,3,1,2,0,0,19,Elizabethtown,Loras_Elizabethtown_12-19-2023
34,DaniRae Renno,*,25,3-7,0-0,4-4,2-3,5,2,0,2,0,0,10,Elizabethtown,Loras_Elizabethtown_12-19-2023
30,Jessica King,*,28,3-7,0-0,0-0,2-9,11,4,5,0,0,1,6,Elizabethtown,Loras_Elizabethtown_12-19-2023
02,Makenna Mummert,*,27,0-4,0-1,0-0,0-1,1,3,3,2,1,0,0,Elizabethtown,Loras_Elizabethtown_12-19-2023
05,Ella Gordon,,13,3-5,2-4,0-0,1-1,2,5,1,2,0,0,8,Elizabethtown,Loras_Elizabethtown_12-19-2023
31,Allyia Kennedy,,13,1-1,0-0,2-2,0-1,1,0,4,0,0,1,4,Elizabethtown,Loras_Elizabethtown_12-19-2023
35,Cass Peris,,14,1-3,0-1,0-3,1-2,3,3,1,1,0,1,2,Elizabethtown,Loras_Elizabethtown_12-19-2023
03,Lindsay Boyd,,14,0-5,0-1,0-0,2-0,2,3,2,0,0,0,0,Elizabethtown,Loras_Elizabethtown_12-19-2023
