##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,"Wetzel,Mya",*,20,3-9,2-7,0-0,0-1,1,0,2,1,2,0,8,Lycoming,Lycoming_Bryn Athyn_12-17-2024
24,"Reisinger,Alyssa",*,17,0-6,0-0,5-6,4-3,7,1,0,2,0,0,5,Lycoming,Lycoming_Bryn Athyn_12-17-2024
14,"Fisher,Allison",*,22,2-7,0-3,0-0,1-3,4,1,1,2,0,1,4,Lycoming,Lycoming_Bryn Athyn_12-17-2024
12,"Dufner,Meghan",*,24,1-4,1-1,0-0,0-3,3,1,3,1,0,1,3,Lycoming,Lycoming_Bryn Athyn_12-17-2024
21,"Yoh,Ashley",*,18,1-5,0-0,1-2,3-0,3,0,0,6,0,0,3,Lycoming,Lycoming_Bryn Athyn_12-17-2024
15,"Hartman,Makenna",,12,2-5,0-0,0-0,0-2,2,0,0,1,0,0,4,Lycoming,Lycoming_Bryn Athyn_12-17-2024
25,"Goldenziel,Alicia",,11,2-4,0-0,0-0,2-0,2,1,0,0,0,0,4,Lycoming,Lycoming_Bryn Athyn_12-17-2024
32,"Stone,Sydnie",,10,2-2,0-0,0-0,1-1,2,0,0,1,0,0,4,Lycoming,Lycoming_Bryn Athyn_12-17-2024
04,"McMurtrie,Ann-Marie",,11,0-3,0-0,3-4,0-1,1,1,0,3,0,0,3,Lycoming,Lycoming_Bryn Athyn_12-17-2024
22,"Emlet,Summer",,16,1-3,0-0,0-2,0-3,3,2,1,1,0,2,2,Lycoming,Lycoming_Bryn Athyn_12-17-2024
03,"Lanphear,Sarah",,9,0-3,0-2,2-2,1-2,3,0,0,1,0,0,2,Lycoming,Lycoming_Bryn Athyn_12-17-2024
11,"Bena,Katie",,12,0-4,0-2,0-0,0-0,0,0,1,0,0,0,0,Lycoming,Lycoming_Bryn Athyn_12-17-2024
02,"Abdo,Kami",,9,0-3,0-2,0-0,0-0,0,1,1,1,0,1,0,Lycoming,Lycoming_Bryn Athyn_12-17-2024
05,"McCracken,Jocelyn",,9,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Lycoming_Bryn Athyn_12-17-2024
30,"Smith,Zhymani",*,29,11-18,2-4,3-4,1-2,3,0,4,3,0,2,27,Bryn Athyn,Lycoming_Bryn Athyn_12-17-2024
25,"Day,Alayna",*,25,4-11,1-2,2-2,1-3,4,1,1,1,0,3,11,Bryn Athyn,Lycoming_Bryn Athyn_12-17-2024
13,"Spence,Xion",*,25,4-9,0-0,0-0,3-5,8,3,0,1,0,0,8,Bryn Athyn,Lycoming_Bryn Athyn_12-17-2024
42,"Osafo-Mensah,Alexa",*,19,2-2,0-0,1-2,1-3,4,2,0,1,1,0,5,Bryn Athyn,Lycoming_Bryn Athyn_12-17-2024
02,"Reynolds,Yonique",*,25,2-9,0-3,0-0,3-5,8,3,2,1,0,1,4,Bryn Athyn,Lycoming_Bryn Athyn_12-17-2024
01,"Bullock,Malia",,13,2-2,1-1,4-4,1-1,2,1,0,4,0,1,9,Bryn Athyn,Lycoming_Bryn Athyn_12-17-2024
05,"Wade,Xola",,9,2-5,0-0,1-1,0-1,1,1,0,0,0,1,5,Bryn Athyn,Lycoming_Bryn Athyn_12-17-2024
11,"Souffrant,Amber",,15,1-3,0-0,0-0,0-3,3,3,2,0,0,1,2,Bryn Athyn,Lycoming_Bryn Athyn_12-17-2024
21,"Georges,Sierra",,10,1-1,0-0,0-0,0-0,0,1,0,0,1,2,2,Bryn Athyn,Lycoming_Bryn Athyn_12-17-2024
04,"Stitcher,Juliana",,11,0-1,0-0,0-0,0-0,0,1,0,1,0,0,0,Bryn Athyn,Lycoming_Bryn Athyn_12-17-2024
32,"Fils,Britney",,11,0-1,0-0,0-0,0-3,3,1,0,1,0,1,0,Bryn Athyn,Lycoming_Bryn Athyn_12-17-2024
10,"Johnson,Mara",,8,0-2,0-0,0-0,1-0,1,0,3,0,0,1,0,Bryn Athyn,Lycoming_Bryn Athyn_12-17-2024
