##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
12,"Dufner,Meghan",*,36,4-13,0-3,10-12,2-3,5,1,3,5,0,1,18,Lycoming,Lycoming_Catholic_2-22-2025
21,"Yoh,Ashley",*,30,7-13,0-0,1-2,2-8,10,2,2,2,0,0,15,Lycoming,Lycoming_Catholic_2-22-2025
10,"Wetzel,Mya",*,32,4-10,4-9,0-0,0-3,3,2,1,1,0,0,12,Lycoming,Lycoming_Catholic_2-22-2025
25,"Goldenziel,Alicia",*,33,3-8,0-0,2-2,0-9,9,4,3,1,0,3,8,Lycoming,Lycoming_Catholic_2-22-2025
24,"Reisinger,Alyssa",*,21,1-3,0-0,1-4,1-3,4,2,0,2,0,0,3,Lycoming,Lycoming_Catholic_2-22-2025
02,"Abdo,Kami",,25,2-5,1-3,0-0,0-0,0,1,3,4,0,2,5,Lycoming,Lycoming_Catholic_2-22-2025
14,"Fisher,Allison",,22,1-7,1-5,0-0,2-3,5,2,0,1,1,0,3,Lycoming,Lycoming_Catholic_2-22-2025
32,"Stone,Sydnie",,1,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Lycoming,Lycoming_Catholic_2-22-2025
33,"Douglas,Keegan",*,31,8-17,2-6,3-4,0-1,1,3,4,2,0,2,21,Catholic,Lycoming_Catholic_2-22-2025
13,"Scoblick,Anna",*,32,6-11,0-0,8-11,1-5,6,4,2,3,3,2,20,Catholic,Lycoming_Catholic_2-22-2025
10,"Flaherty,Kerry",*,35,6-12,5-11,0-0,1-5,6,2,3,1,0,1,17,Catholic,Lycoming_Catholic_2-22-2025
22,"Mulvaney,Carly",*,34,2-9,1-5,2-4,2-5,7,2,2,1,5,2,7,Catholic,Lycoming_Catholic_2-22-2025
24,"Kenah,Alexa",*,19,0-9,0-3,0-0,4-5,9,1,1,1,0,0,0,Catholic,Lycoming_Catholic_2-22-2025
03,"Travieso,Sofia",,9,2-4,2-2,0-0,1-0,1,1,0,0,0,0,6,Catholic,Lycoming_Catholic_2-22-2025
02,"Guidetti,Raquel",,11,2-2,0-0,0-0,2-0,2,1,2,0,0,2,4,Catholic,Lycoming_Catholic_2-22-2025
34,"Hughes,Maggie",,6,0-0,0-0,2-2,2-0,2,2,2,0,0,0,2,Catholic,Lycoming_Catholic_2-22-2025
15,"Iacone,Ella",,11,0-1,0-1,0-0,1-2,3,1,0,1,0,1,0,Catholic,Lycoming_Catholic_2-22-2025
04,"McLaughlin,Molly",,5,0-1,0-1,0-0,0-0,0,1,0,2,1,0,0,Catholic,Lycoming_Catholic_2-22-2025
25,"Kraft,Lauren",,5,0-1,0-1,0-0,0-1,1,1,1,1,1,1,0,Catholic,Lycoming_Catholic_2-22-2025
41,"Blumenthal,Sam",,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Lycoming_Catholic_2-22-2025
