##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
05,"McCracken,Jocelyn",*,26,4-6,0-1,5-7,0-1,1,1,0,0,0,1,13,Lycoming,Lycoming_Drew_2-1-2025
21,"Yoh,Ashley",*,29,5-13,0-0,0-0,1-3,4,4,1,2,0,1,10,Lycoming,Lycoming_Drew_2-1-2025
12,"Dufner,Meghan",*,35,4-10,0-3,1-2,2-3,5,3,3,1,0,2,9,Lycoming,Lycoming_Drew_2-1-2025
10,"Wetzel,Mya",*,35,1-10,1-9,4-4,1-6,7,3,4,4,0,0,7,Lycoming,Lycoming_Drew_2-1-2025
14,"Fisher,Allison",*,23,0-6,0-4,0-0,2-3,5,2,1,4,3,0,0,Lycoming,Lycoming_Drew_2-1-2025
15,"Hartman,Makenna",,17,1-2,0-0,1-2,1-1,2,1,1,0,0,0,3,Lycoming,Lycoming_Drew_2-1-2025
32,"Stone,Sydnie",,11,0-2,0-0,2-2,1-1,2,1,0,0,0,0,2,Lycoming,Lycoming_Drew_2-1-2025
22,"Emlet,Summer",,9,1-3,0-2,0-0,0-3,3,0,0,0,0,0,2,Lycoming,Lycoming_Drew_2-1-2025
04,"McMurtrie,Ann-Marie",,8,1-3,0-0,0-0,1-0,1,1,0,1,1,2,2,Lycoming,Lycoming_Drew_2-1-2025
11,"Bena,Katie",,5,0-1,0-1,0-0,0-1,1,1,0,0,0,0,0,Lycoming,Lycoming_Drew_2-1-2025
03,"Lanphear,Sarah",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Lycoming_Drew_2-1-2025
03,"Lalo,Isabelle",*,21,4-11,1-3,5-5,0-2,2,1,2,1,0,1,14,Drew,Lycoming_Drew_2-1-2025
14,"Pica,Gianna",*,31,5-16,1-5,2-2,1-8,9,2,5,2,0,3,13,Drew,Lycoming_Drew_2-1-2025
04,"Rachilla,Amy",*,28,4-7,4-4,0-0,2-1,3,2,3,1,0,1,12,Drew,Lycoming_Drew_2-1-2025
20,"Hezel,Brenna",*,30,2-4,0-0,0-0,2-3,5,1,4,0,2,1,4,Drew,Lycoming_Drew_2-1-2025
30,"Diaz,Miabella",*,25,1-5,0-2,0-0,2-4,6,2,1,0,0,2,2,Drew,Lycoming_Drew_2-1-2025
11,"Kingsley,Jocelyn",,15,3-5,0-0,2-4,2-1,3,0,1,3,0,0,8,Drew,Lycoming_Drew_2-1-2025
24,"Altomare,Alice",,12,3-8,2-6,0-0,0-1,1,2,0,2,0,0,8,Drew,Lycoming_Drew_2-1-2025
02,"Beyer,Maddie",,13,0-2,0-1,3-4,1-1,2,2,0,2,0,0,3,Drew,Lycoming_Drew_2-1-2025
50,"Hartman,Mia",,2,1-1,0-0,1-1,0-0,0,0,0,0,0,0,3,Drew,Lycoming_Drew_2-1-2025
22,"Hezel,Gracie",,7,1-1,0-0,0-0,1-1,2,1,0,0,0,0,2,Drew,Lycoming_Drew_2-1-2025
23,"Aliotta,Olivia",,6,0-2,0-2,0-0,0-1,1,3,0,1,0,0,0,Drew,Lycoming_Drew_2-1-2025
10,"Bass,Emily",,5,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Drew,Lycoming_Drew_2-1-2025
15,"Debenedittis,Darcy",,3,0-0,0-0,0-0,0-1,1,2,0,0,0,0,0,Drew,Lycoming_Drew_2-1-2025
12,"Schiralli,Camille",,2,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Drew,Lycoming_Drew_2-1-2025
