##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
02,Kami Abdo,*,23,2-10,1-5,2-2,0-0,0,1,1,2,0,1,7,Lycoming,Lycoming_Elizabethtown_11-23-2024
14,Allison Fisher,*,31,2-12,1-4,0-0,0-3,3,0,0,3,0,0,5,Lycoming,Lycoming_Elizabethtown_11-23-2024
21,Ashley Yoh,*,22,1-5,0-0,3-6,0-2,2,2,0,3,1,0,5,Lycoming,Lycoming_Elizabethtown_11-23-2024
05,Jocelyn McCracken,*,26,2-7,0-0,0-0,2-3,5,2,0,0,0,2,4,Lycoming,Lycoming_Elizabethtown_11-23-2024
10,Mya Wetzel,*,34,0-6,0-5,0-0,0-6,6,1,2,1,1,2,0,Lycoming,Lycoming_Elizabethtown_11-23-2024
04,Ann-Marie McMurtrie,,15,1-2,0-0,1-2,1-0,1,1,2,1,0,1,3,Lycoming,Lycoming_Elizabethtown_11-23-2024
11,Katie Bena,,15,1-3,1-2,0-0,1-1,2,0,0,4,0,1,3,Lycoming,Lycoming_Elizabethtown_11-23-2024
15,Makenna Hartman,,18,1-4,0-1,0-2,0-1,1,0,0,1,0,2,2,Lycoming,Lycoming_Elizabethtown_11-23-2024
03,Sarah Lanphear,,4,1-2,0-1,0-0,1-1,2,0,0,1,0,0,2,Lycoming,Lycoming_Elizabethtown_11-23-2024
32,Sydnie Stone,,12,0-5,0-2,0-0,0-0,0,1,1,0,0,0,0,Lycoming,Lycoming_Elizabethtown_11-23-2024
25,Summer McNulty,*,16,3-8,0-4,2-2,3-1,4,2,2,2,0,2,8,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
34,DaniRae Renno,*,16,4-7,0-0,0-0,6-6,12,1,1,0,1,0,8,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
04,Cyleigh Wilson,*,16,2-5,2-5,0-0,0-1,1,0,2,1,0,0,6,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
30,Jess King,*,16,1-4,0-0,4-4,2-7,9,0,0,0,1,0,6,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
03,Lindsay Boyd,*,15,1-4,1-2,0-0,0-4,4,1,4,0,0,0,3,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
02,Makenna Mummert,,13,4-7,1-2,2-2,0-0,0,0,1,1,1,0,11,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
24,Ellie Fasick,,12,2-3,0-0,2-2,2-1,3,2,2,1,0,0,6,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
40,Grace O'Connor,,12,3-5,0-1,0-1,2-2,4,2,1,1,1,1,6,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
22,Alex Gonzalez,,4,2-2,2-2,0-0,0-0,0,0,0,0,0,0,6,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
14,Ava Chapman,,8,2-4,1-3,0-0,0-1,1,0,0,1,0,0,5,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
10,Cadence Anderson,,7,2-3,1-2,0-0,0-2,2,0,1,1,0,0,5,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
05,Ella Gordon,,10,2-4,0-0,0-0,0-0,0,0,1,0,0,1,4,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
35,Peyton Houlihan,,9,2-4,0-0,0-0,2-2,4,0,2,1,1,0,4,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
20,Mallory Elias,,11,1-2,1-1,0-0,1-1,2,0,2,1,0,1,3,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
21,Ashley Adamson,,9,1-3,1-3,0-0,0-3,3,0,1,1,1,1,3,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
31,Allyia Kennedy,,12,1-3,0-0,0-0,1-4,5,1,2,1,0,0,2,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
15,Kiley Wilhelm,,8,1-3,0-1,0-0,0-0,0,1,1,1,0,1,2,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
12,Jess Pronchick,,6,0-0,0-0,0-0,1-1,2,3,1,0,0,0,0,Elizabethtown,Lycoming_Elizabethtown_11-23-2024
