##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,"Wetzel,Mya",*,41,8-19,5-15,4-4,1-6,7,2,4,6,0,5,25,Lycoming,Lycoming_Goucher_2-8-2025
21,"Yoh,Ashley",*,30,5-8,0-0,7-12,0-8,8,3,2,2,0,0,17,Lycoming,Lycoming_Goucher_2-8-2025
14,"Fisher,Allison",*,27,6-18,3-10,1-2,3-6,9,2,2,7,0,1,16,Lycoming,Lycoming_Goucher_2-8-2025
12,"Dufner,Meghan",*,41,2-5,1-2,8-10,3-8,11,3,4,9,0,4,13,Lycoming,Lycoming_Goucher_2-8-2025
25,"Goldenziel,Alicia",*,35,1-9,0-1,2-2,2-5,7,5,0,7,0,0,4,Lycoming,Lycoming_Goucher_2-8-2025
05,"McCracken,Jocelyn",,24,5-12,0-0,1-5,4-3,7,2,1,3,0,2,11,Lycoming,Lycoming_Goucher_2-8-2025
02,"Abdo,Kami",,14,4-6,0-1,0-0,1-3,4,1,2,1,0,0,8,Lycoming,Lycoming_Goucher_2-8-2025
15,"Hartman,Makenna",,5,0-1,0-0,0-0,0-2,2,1,0,1,1,0,0,Lycoming,Lycoming_Goucher_2-8-2025
04,"McMurtrie,Ann-Marie",,4,0-1,0-0,0-0,0-1,1,3,0,2,0,1,0,Lycoming,Lycoming_Goucher_2-8-2025
32,"Stone,Sydnie",,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Lycoming,Lycoming_Goucher_2-8-2025
22,"Emlet,Summer",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Lycoming_Goucher_2-8-2025
02,"Boykin,Meona",*,23,7-31,1-11,3-3,5-8,13,3,2,4,0,5,18,Goucher,Lycoming_Goucher_2-8-2025
22,"Turner,Merci",*,21,4-11,2-5,0-0,2-1,3,4,1,0,0,0,10,Goucher,Lycoming_Goucher_2-8-2025
03,"Villanueva,Maiya",*,15,3-12,1-9,0-0,1-1,2,0,0,0,0,2,7,Goucher,Lycoming_Goucher_2-8-2025
25,"Knox,Sanai",*,17,2-4,0-0,2-4,5-2,7,2,0,1,0,4,6,Goucher,Lycoming_Goucher_2-8-2025
23,"Towns,Lauryn",*,9,1-5,0-0,0-0,4-2,6,5,1,2,0,2,2,Goucher,Lycoming_Goucher_2-8-2025
31,"Edens,Nia",,21,6-13,2-7,2-5,2-4,6,5,0,3,1,2,16,Goucher,Lycoming_Goucher_2-8-2025
20,"Whitaker,Amira",,26,4-13,0-3,6-6,2-4,6,3,3,4,0,0,14,Goucher,Lycoming_Goucher_2-8-2025
04,"Igwe,Chi",,20,4-6,0-1,1-2,3-6,9,0,2,4,0,2,9,Goucher,Lycoming_Goucher_2-8-2025
10,"Townsend,Leila",,16,3-6,0-3,2-2,1-2,3,1,0,2,2,2,8,Goucher,Lycoming_Goucher_2-8-2025
15,"George,Nia",,20,1-4,1-3,0-4,5-3,8,1,2,2,0,2,3,Goucher,Lycoming_Goucher_2-8-2025
12,"Haggins,Briyah",,13,1-4,0-3,0-0,0-1,1,2,1,0,0,2,2,Goucher,Lycoming_Goucher_2-8-2025
06,"Vaselaros,Kiara",,9,1-2,0-1,0-0,2-0,2,1,1,1,0,1,2,Goucher,Lycoming_Goucher_2-8-2025
21,"Holmes,Savannah",,15,0-8,0-1,0-0,5-3,8,0,1,0,0,2,0,Goucher,Lycoming_Goucher_2-8-2025
