##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,Ashley Yoh,*,36,6-14,0-0,8-10,5-9,14,4,1,3,0,0,20,Lycoming,Lycoming_Juniata_11-19-2024
12,Meghan Dufner,*,36,6-8,0-0,3-5,0-6,6,1,3,4,1,1,15,Lycoming,Lycoming_Juniata_11-19-2024
5,Jocelyn McCracken,*,19,4-5,0-0,0-0,0-1,1,3,0,3,1,2,8,Lycoming,Lycoming_Juniata_11-19-2024
14,Allison Fisher,*,33,1-8,1-3,0-0,0-5,5,0,0,4,0,0,3,Lycoming,Lycoming_Juniata_11-19-2024
10,Mya Wetzel,*,12,0-3,0-2,2-2,0-2,2,2,1,1,0,2,2,Lycoming,Lycoming_Juniata_11-19-2024
15,Makenna Hartman,,23,2-4,0-0,0-0,0-1,1,3,0,2,0,0,4,Lycoming,Lycoming_Juniata_11-19-2024
32,Sydnie Stone,,3,1-1,0-0,0-0,1-0,1,0,0,1,0,0,2,Lycoming,Lycoming_Juniata_11-19-2024
3,Sarah Lanphear,,2,0-0,0-0,2-2,0-1,1,0,0,0,0,0,2,Lycoming,Lycoming_Juniata_11-19-2024
2,Kami Abdo,,18,0-5,0-2,1-2,0-3,3,0,3,2,0,0,1,Lycoming,Lycoming_Juniata_11-19-2024
22,Summer Emlet,,9,0-4,0-1,0-0,0-3,3,2,0,1,0,1,0,Lycoming,Lycoming_Juniata_11-19-2024
4,Ann-Marie McMurtrie,,5,0-2,0-0,0-0,0-0,0,1,0,1,0,0,0,Lycoming,Lycoming_Juniata_11-19-2024
11,Katie Bena,,4,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Lycoming,Lycoming_Juniata_11-19-2024
TM,TMTeam,,0,0-0,0-0,0-0,3-0,3,0,0,0,0,0,0,Lycoming,Lycoming_Juniata_11-19-2024
13,Haily Sherman,*,33,10-24,2-5,0-0,1-2,3,1,1,1,1,2,22,Juniata,Lycoming_Juniata_11-19-2024
4,Steph Emert,*,31,4-9,1-4,3-5,1-2,3,0,3,2,3,4,12,Juniata,Lycoming_Juniata_11-19-2024
31,Laney Gerdich,*,27,4-7,0-0,2-2,9-3,12,2,1,1,2,0,10,Juniata,Lycoming_Juniata_11-19-2024
21,Bri Bodtorf,*,25,3-10,0-3,1-2,1-5,6,4,6,3,1,2,7,Juniata,Lycoming_Juniata_11-19-2024
11,Olivia Berg,*,26,0-5,0-2,0-0,0-1,1,4,2,1,0,0,0,Juniata,Lycoming_Juniata_11-19-2024
23,Deja Gillo,,27,3-8,1-2,3-4,0-6,6,3,1,5,0,2,10,Juniata,Lycoming_Juniata_11-19-2024
24,Emma Coolidge,,16,1-7,0-0,3-4,5-3,8,3,0,0,1,1,5,Juniata,Lycoming_Juniata_11-19-2024
43,Emily McCann,,13,0-6,0-3,0-0,0-0,0,0,0,1,0,0,0,Juniata,Lycoming_Juniata_11-19-2024
40,Emelie Nonemaker,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,Lycoming_Juniata_11-19-2024
TM,TMTeam,,0,0-0,0-0,0-0,5-4,9,0,0,0,0,0,0,Juniata,Lycoming_Juniata_11-19-2024
