##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,Ashley Yoh,*,33,5-15,0-0,2-5,6-5,11,2,1,1,0,1,12,Lycoming,Lycoming_LeTourneau_12-20-2024
12,Meghan Dufner,*,34,3-7,0-1,3-4,0-3,3,1,1,7,1,2,9,Lycoming,Lycoming_LeTourneau_12-20-2024
02,Kami Abdo,*,28,4-15,1-8,0-0,3-2,5,0,2,1,0,2,9,Lycoming,Lycoming_LeTourneau_12-20-2024
10,Mya Wetzel,*,25,3-9,0-5,0-0,1-2,3,0,0,3,0,5,6,Lycoming,Lycoming_LeTourneau_12-20-2024
24,Alyssa Reisinger,*,14,1-2,0-0,0-0,0-1,1,1,0,2,0,0,2,Lycoming,Lycoming_LeTourneau_12-20-2024
25,Alicia Goldenziel,,20,1-6,0-1,2-2,3-3,6,2,0,2,1,1,4,Lycoming,Lycoming_LeTourneau_12-20-2024
11,Katie Bena,,2,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Lycoming,Lycoming_LeTourneau_12-20-2024
14,Allison Fisher,,19,0-6,0-4,1-4,2-2,4,0,3,3,0,0,1,Lycoming,Lycoming_LeTourneau_12-20-2024
05,Jocelyn McCracken,,6,0-0,0-0,1-2,0-0,0,1,0,0,0,0,1,Lycoming,Lycoming_LeTourneau_12-20-2024
22,Summer Emlet,,3,0-0,0-0,1-2,0-0,0,1,0,0,0,0,1,Lycoming,Lycoming_LeTourneau_12-20-2024
32,Sydnie Stone,,8,0-1,0-0,0-0,1-0,1,0,0,1,0,0,0,Lycoming,Lycoming_LeTourneau_12-20-2024
04,Ann-Marie McMurtrie,,4,0-2,0-1,0-0,1-1,2,0,2,1,0,0,0,Lycoming,Lycoming_LeTourneau_12-20-2024
15,Makenna Hartman,,3,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Lycoming_LeTourneau_12-20-2024
03,Sarah Lanphear,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Lycoming_LeTourneau_12-20-2024
TM,TMTeam,,0,0-0,0-0,0-0,3-2,5,0,0,0,0,0,0,Lycoming,Lycoming_LeTourneau_12-20-2024
23,Kylie Weeks,*,28,4-9,2-5,3-3,0-0,0,0,4,6,0,1,13,LeTourneau,Lycoming_LeTourneau_12-20-2024
31,Mariana Espinosa,*,33,5-8,2-3,0-0,2-3,5,2,7,4,1,2,12,LeTourneau,Lycoming_LeTourneau_12-20-2024
20,LaTerra Satcher,*,24,3-4,0-0,1-2,0-6,6,3,2,3,2,0,7,LeTourneau,Lycoming_LeTourneau_12-20-2024
03,Sara Savage,*,27,2-6,0-2,2-2,5-5,10,2,2,4,2,1,6,LeTourneau,Lycoming_LeTourneau_12-20-2024
04,Future Asevedo,*,26,1-4,1-4,0-0,0-2,2,1,0,2,0,5,3,LeTourneau,Lycoming_LeTourneau_12-20-2024
02,Gracie Hunter,,15,3-9,2-5,0-0,0-1,1,2,0,1,1,0,8,LeTourneau,Lycoming_LeTourneau_12-20-2024
32,Makenzie Covey,,12,2-3,0-0,0-0,0-1,1,1,0,0,1,2,4,LeTourneau,Lycoming_LeTourneau_12-20-2024
00,Brooklyn Iman,,10,1-3,0-0,1-2,2-2,4,3,1,0,0,0,3,LeTourneau,Lycoming_LeTourneau_12-20-2024
11,Savannah Scruggs,,4,1-3,1-2,0-0,0-0,0,2,0,1,0,0,3,LeTourneau,Lycoming_LeTourneau_12-20-2024
10,Caitlyn Stanley,,6,0-2,0-1,1-2,0-3,3,1,0,1,0,0,1,LeTourneau,Lycoming_LeTourneau_12-20-2024
01,Sallie Moser,,7,0-0,0-0,0-0,0-0,0,2,0,2,0,1,0,LeTourneau,Lycoming_LeTourneau_12-20-2024
30,Alex Morales,,6,0-1,0-1,0-0,0-0,0,0,0,1,0,0,0,LeTourneau,Lycoming_LeTourneau_12-20-2024
12,Norah White,,2,0-0,0-0,0-0,1-0,1,0,0,1,0,0,0,LeTourneau,Lycoming_LeTourneau_12-20-2024
TM,TMTeam,,0,0-0,0-0,0-0,0-5,5,0,0,0,0,0,0,LeTourneau,Lycoming_LeTourneau_12-20-2024
