##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
12,"Dufner,Meghan",*,31,6-12,1-4,2-3,0-6,6,1,0,2,0,2,15,Lycoming,Lycoming_Moravian_1-12-2025
25,"Goldenziel,Alicia",*,29,3-8,0-0,1-2,3-2,5,0,1,1,1,2,7,Lycoming,Lycoming_Moravian_1-12-2025
21,"Yoh,Ashley",*,25,2-8,0-0,1-5,1-6,7,2,1,1,1,1,5,Lycoming,Lycoming_Moravian_1-12-2025
02,"Abdo,Kami",*,23,1-5,0-2,2-4,0-5,5,5,4,2,1,0,4,Lycoming,Lycoming_Moravian_1-12-2025
10,"Wetzel,Mya",*,31,1-5,0-3,0-1,0-1,1,4,1,4,1,3,2,Lycoming,Lycoming_Moravian_1-12-2025
24,"Reisinger,Alyssa",,21,6-11,0-0,3-3,4-0,4,2,1,3,0,1,15,Lycoming,Lycoming_Moravian_1-12-2025
14,"Fisher,Allison",,28,4-10,2-5,3-4,1-1,2,1,1,3,1,1,13,Lycoming,Lycoming_Moravian_1-12-2025
05,"McCracken,Jocelyn",,4,1-1,0-0,0-0,0-0,0,0,1,0,0,1,2,Lycoming,Lycoming_Moravian_1-12-2025
15,"Hartman,Makenna",,4,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Lycoming,Lycoming_Moravian_1-12-2025
04,"McMurtrie,Ann-Marie",,2,0-0,0-0,0-0,0-2,2,1,0,1,0,0,0,Lycoming,Lycoming_Moravian_1-12-2025
22,"Emlet,Summer",,2,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Lycoming,Lycoming_Moravian_1-12-2025
24,"Lustig,Lizzie",*,26,8-11,1-2,2-3,4-1,5,2,3,1,1,0,19,Moravian,Lycoming_Moravian_1-12-2025
22,"Vassallo,Juliana",*,19,6-17,4-8,1-2,2-0,2,3,0,2,0,2,17,Moravian,Lycoming_Moravian_1-12-2025
01,"Osorio,Sam",*,25,2-11,0-0,2-4,4-6,10,4,2,1,0,0,6,Moravian,Lycoming_Moravian_1-12-2025
20,"Herbert,Lanie",*,33,2-7,0-0,0-0,3-11,14,1,2,0,2,2,4,Moravian,Lycoming_Moravian_1-12-2025
12,"Anderson,Mikayla",*,17,1-2,0-0,0-0,0-2,2,2,1,2,0,3,2,Moravian,Lycoming_Moravian_1-12-2025
04,"Cartagena,Jayda",,20,3-11,1-4,3-4,0-1,1,2,1,2,0,3,10,Moravian,Lycoming_Moravian_1-12-2025
11,"Squizziato,Sofia",,15,1-2,0-0,4-6,0-1,1,2,0,1,0,0,6,Moravian,Lycoming_Moravian_1-12-2025
25,"Lew,Bellisima",,7,2-2,0-0,0-0,1-1,2,1,0,0,0,0,4,Moravian,Lycoming_Moravian_1-12-2025
00,"Altmire,Emma",,7,1-2,1-2,0-0,0-0,0,1,1,1,0,0,3,Moravian,Lycoming_Moravian_1-12-2025
14,"Pukszyn,Emma",,23,1-2,0-1,0-0,2-2,4,1,4,3,0,2,2,Moravian,Lycoming_Moravian_1-12-2025
05,"Wallbillich,Ellie",,5,0-3,0-2,0-0,0-1,1,0,0,0,0,0,0,Moravian,Lycoming_Moravian_1-12-2025
15,"Elias,Megan",,3,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Lycoming_Moravian_1-12-2025
