##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Yoh,Ashley",*,22,4-6,0-1,2-4,1-6,7,0,1,2,0,3,10,Lycoming,Lycoming_Nazareth_12-14-2024
12,"Dufner,Meghan",*,27,3-7,0-1,2-2,2-0,2,1,1,6,0,2,8,Lycoming,Lycoming_Nazareth_12-14-2024
14,"Fisher,Allison",*,17,1-3,0-1,2-2,1-2,3,0,0,3,0,0,4,Lycoming,Lycoming_Nazareth_12-14-2024
05,"McCracken,Jocelyn",*,16,0-2,0-0,0-0,0-1,1,1,1,1,0,0,0,Lycoming,Lycoming_Nazareth_12-14-2024
10,"Wetzel,Mya",*,16,0-2,0-2,0-0,0-6,6,3,2,5,0,2,0,Lycoming,Lycoming_Nazareth_12-14-2024
24,"Reisinger,Alyssa",,20,3-7,0-0,6-6,1-6,7,1,1,1,1,0,12,Lycoming,Lycoming_Nazareth_12-14-2024
02,"Abdo,Kami",,21,2-9,1-5,0-0,0-0,0,1,1,2,0,0,5,Lycoming,Lycoming_Nazareth_12-14-2024
25,"Goldenziel,Alicia",,13,1-2,0-0,2-2,0-0,0,0,0,0,0,0,4,Lycoming,Lycoming_Nazareth_12-14-2024
15,"Hartman,Makenna",,11,1-2,0-0,0-0,0-0,0,1,2,1,0,1,2,Lycoming,Lycoming_Nazareth_12-14-2024
04,"McMurtrie,Ann-Marie",,10,1-2,0-0,0-0,0-2,2,1,1,0,0,0,2,Lycoming,Lycoming_Nazareth_12-14-2024
22,"Emlet,Summer",,7,1-3,0-1,0-0,0-1,1,1,0,0,0,0,2,Lycoming,Lycoming_Nazareth_12-14-2024
32,"Stone,Sydnie",,9,0-3,0-1,1-2,0-0,0,1,0,0,0,0,1,Lycoming,Lycoming_Nazareth_12-14-2024
03,"Lanphear,Sarah",,6,0-2,0-0,0-0,1-1,2,0,0,0,0,0,0,Lycoming,Lycoming_Nazareth_12-14-2024
11,"Bena,Katie",,5,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Lycoming,Lycoming_Nazareth_12-14-2024
04,"MacLachlan,Katie",*,25,5-12,2-5,2-2,4-1,5,1,4,1,1,2,14,Nazareth,Lycoming_Nazareth_12-14-2024
13,"Kelly,Madalyn",*,25,5-14,3-9,0-0,1-1,2,0,1,2,1,4,13,Nazareth,Lycoming_Nazareth_12-14-2024
14,"Benetti,Molly",*,20,6-15,1-2,0-3,4-5,9,4,0,1,3,0,13,Nazareth,Lycoming_Nazareth_12-14-2024
02,"Anglin,Kiara",*,22,2-11,1-4,4-6,3-4,7,0,0,0,0,4,9,Nazareth,Lycoming_Nazareth_12-14-2024
11,"Fusilli,Leah",*,13,0-0,0-0,1-2,2-1,3,1,1,4,0,1,1,Nazareth,Lycoming_Nazareth_12-14-2024
12,"McDowell,Sarina",,22,1-6,0-0,4-5,2-5,7,1,1,0,0,0,6,Nazareth,Lycoming_Nazareth_12-14-2024
23,"Johnson,Madilann",,26,2-5,1-4,0-0,0-4,4,1,2,2,0,0,5,Nazareth,Lycoming_Nazareth_12-14-2024
05,"Littlefield,Payton",,12,1-7,1-7,0-0,1-0,1,2,1,1,0,1,3,Nazareth,Lycoming_Nazareth_12-14-2024
03,"Williams,Chianna",,5,1-1,1-1,0-0,0-0,0,2,0,1,1,0,3,Nazareth,Lycoming_Nazareth_12-14-2024
25,"Schuey,Tessa",,14,0-1,0-1,2-2,0-0,0,0,3,0,0,0,2,Nazareth,Lycoming_Nazareth_12-14-2024
24,"Schultz,Brayden",,11,1-3,0-0,0-0,2-3,5,3,1,0,0,1,2,Nazareth,Lycoming_Nazareth_12-14-2024
01,"Caraballo,Morgan",,5,0-0,0-0,0-0,0-0,0,0,0,1,1,1,0,Nazareth,Lycoming_Nazareth_12-14-2024
