##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,Ashley Yoh,*,35,5-10,0-1,8-8,6-5,11,1,4,2,0,0,18,Lycoming,Lycoming_Penn College_11-21-2023
12,Meghan Dufner,*,30,7-13,2-6,0-0,2-4,6,5,1,1,1,2,16,Lycoming,Lycoming_Penn College_11-21-2023
22,Emily Lockard,*,30,3-7,0-0,4-4,3-2,5,3,3,4,0,0,10,Lycoming,Lycoming_Penn College_11-21-2023
10,Mya Wetzel,*,29,3-19,1-16,0-0,2-2,4,1,2,3,0,1,7,Lycoming,Lycoming_Penn College_11-21-2023
25,Alicia Goldenziel,*,32,3-6,0-0,0-0,8-4,12,4,3,0,2,0,6,Lycoming,Lycoming_Penn College_11-21-2023
02,Kami Abdo,,22,2-8,1-6,0-0,2-1,3,1,1,0,0,2,5,Lycoming,Lycoming_Penn College_11-21-2023
34,Lisa Star,,11,1-4,0-0,0-0,2-1,3,1,0,0,2,0,2,Lycoming,Lycoming_Penn College_11-21-2023
14,Ann-Marie McMurtrie,,9,0-4,0-1,0-0,0-3,3,1,0,1,0,1,0,Lycoming,Lycoming_Penn College_11-21-2023
15,Makenna Hartman,,2,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Lycoming,Lycoming_Penn College_11-21-2023
TM,TMTeam,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Lycoming_Penn College_11-21-2023
23,Lexi Troup,*,40,6-12,3-7,1-3,1-7,8,0,1,3,0,3,16,Penn College,Lycoming_Penn College_11-21-2023
25,Rachel Teats,*,40,4-11,3-8,1-2,0-1,1,2,3,2,0,1,12,Penn College,Lycoming_Penn College_11-21-2023
05,Emily Pardee,*,34,4-13,0-0,4-4,1-4,5,3,4,3,0,1,12,Penn College,Lycoming_Penn College_11-21-2023
33,Keeley Baker,*,34,3-5,0-0,2-3,1-3,4,0,1,0,2,0,8,Penn College,Lycoming_Penn College_11-21-2023
10,Kenni Galbreath,*,34,1-3,0-1,1-2,1-1,2,4,2,4,0,0,3,Penn College,Lycoming_Penn College_11-21-2023
20,Shelby Pyatt,,6,1-2,0-0,0-0,0-0,0,1,0,1,0,0,2,Penn College,Lycoming_Penn College_11-21-2023
24,Mia Patterson,,6,0-1,0-0,1-2,1-0,1,2,0,0,0,0,1,Penn College,Lycoming_Penn College_11-21-2023
21,Allie Troup,,6,0-2,0-0,0-0,0-1,1,2,1,1,0,1,0,Penn College,Lycoming_Penn College_11-21-2023
04,Kayleigh Miller,,0,0-1,0-1,0-0,0-0,0,1,0,0,0,0,0,Penn College,Lycoming_Penn College_11-21-2023
TM,TMTeam,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Penn College,Lycoming_Penn College_11-21-2023
