##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
22,"Lockard,Emily",*,34,10-17,0-0,0-0,4-6,10,2,2,3,3,3,20,Lycoming,Lycoming_Penn St.-Altoona_11-15-2023
12,"Dufner,Meghan",*,36,5-11,1-4,3-4,1-2,3,2,5,5,0,5,14,Lycoming,Lycoming_Penn St.-Altoona_11-15-2023
10,"Wetzel,Mya",*,25,4-13,3-11,1-2,0-0,0,4,2,1,0,4,12,Lycoming,Lycoming_Penn St.-Altoona_11-15-2023
21,"Yoh,Ashley",*,25,2-5,0-1,6-6,2-5,7,3,1,4,1,1,10,Lycoming,Lycoming_Penn St.-Altoona_11-15-2023
25,"Goldenziel,Alicia",*,23,2-7,0-0,0-0,1-1,2,1,2,2,0,1,4,Lycoming,Lycoming_Penn St.-Altoona_11-15-2023
02,"Abdo,Kami",,28,3-5,1-3,2-2,0-1,1,3,3,3,0,1,9,Lycoming,Lycoming_Penn St.-Altoona_11-15-2023
14,"McMurtrie,Ann-Marie",,15,1-2,0-0,2-2,1-1,2,0,1,0,0,0,4,Lycoming,Lycoming_Penn St.-Altoona_11-15-2023
15,"Hartman,Makenna",,13,1-2,0-0,0-0,1-1,2,3,2,2,0,1,2,Lycoming,Lycoming_Penn St.-Altoona_11-15-2023
04,"Orich,Maddie",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Lycoming_Penn St.-Altoona_11-15-2023
33,"Sayles,Avana",*,37,10-17,1-1,3-3,0-6,6,4,1,2,1,2,24,Penn St.-Altoona,Lycoming_Penn St.-Altoona_11-15-2023
11,"McCracken,Jaidyn",*,37,7-13,2-6,4-4,2-5,7,3,5,2,0,2,20,Penn St.-Altoona,Lycoming_Penn St.-Altoona_11-15-2023
20,"Bisignani,Jordan",*,28,3-7,2-2,3-4,2-2,4,3,2,5,0,0,11,Penn St.-Altoona,Lycoming_Penn St.-Altoona_11-15-2023
04,"Burns,Jess",*,34,2-10,1-4,0-0,0-2,2,3,3,6,0,2,5,Penn St.-Altoona,Lycoming_Penn St.-Altoona_11-15-2023
02,"Green,Raniyah",*,18,0-3,0-0,1-2,3-2,5,1,0,4,1,1,1,Penn St.-Altoona,Lycoming_Penn St.-Altoona_11-15-2023
30,"McCaulsky,Chelsea",,25,3-6,3-4,0-0,1-3,4,3,4,2,0,2,9,Penn St.-Altoona,Lycoming_Penn St.-Altoona_11-15-2023
24,"Cooper,Rakaya",,9,1-2,0-0,1-2,1-2,3,0,0,3,0,0,3,Penn St.-Altoona,Lycoming_Penn St.-Altoona_11-15-2023
23,"Figard,Camryn",,6,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0,Penn St.-Altoona,Lycoming_Penn St.-Altoona_11-15-2023
12,"Crossman,Abby",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Penn St.-Altoona,Lycoming_Penn St.-Altoona_11-15-2023
14,"Munson,Emily",,3,0-1,0-0,0-0,1-0,1,0,1,0,0,0,0,Penn St.-Altoona,Lycoming_Penn St.-Altoona_11-15-2023
