##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,"Wetzel,Mya",*,30,4-13,3-11,0-0,0-4,4,1,1,2,1,0,11,Lycoming,Lycoming_Scranton_2-19-2025
25,"Goldenziel,Alicia",*,22,2-8,0-0,0-0,1-6,7,0,1,5,0,1,4,Lycoming,Lycoming_Scranton_2-19-2025
21,"Yoh,Ashley",*,21,1-6,0-0,1-1,0-3,3,1,0,2,0,1,3,Lycoming,Lycoming_Scranton_2-19-2025
24,"Reisinger,Alyssa",*,17,1-1,0-0,0-0,0-3,3,2,0,1,0,0,2,Lycoming,Lycoming_Scranton_2-19-2025
12,"Dufner,Meghan",*,29,0-3,0-1,0-0,1-4,5,1,5,5,1,0,0,Lycoming,Lycoming_Scranton_2-19-2025
02,"Abdo,Kami",,21,3-7,1-4,0-0,1-1,2,1,4,6,0,0,7,Lycoming,Lycoming_Scranton_2-19-2025
03,"Lanphear,Sarah",,5,2-4,2-2,0-0,0-1,1,0,0,0,0,0,6,Lycoming,Lycoming_Scranton_2-19-2025
22,"Emlet,Summer",,7,1-1,1-1,0-0,0-0,0,0,0,1,0,0,3,Lycoming,Lycoming_Scranton_2-19-2025
32,"Stone,Sydnie",,11,1-1,0-0,0-0,0-1,1,0,0,0,0,1,2,Lycoming,Lycoming_Scranton_2-19-2025
14,"Fisher,Allison",,14,0-4,0-2,0-2,1-4,5,0,0,3,0,0,0,Lycoming,Lycoming_Scranton_2-19-2025
11,"Bena,Katie",,9,0-2,0-1,0-0,0-0,0,0,3,0,0,0,0,Lycoming,Lycoming_Scranton_2-19-2025
04,"McMurtrie,Ann-Marie",,7,0-2,0-1,0-0,0-1,1,0,0,0,0,0,0,Lycoming,Lycoming_Scranton_2-19-2025
15,"Hartman,Makenna",,4,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Lycoming,Lycoming_Scranton_2-19-2025
05,"McCracken,Jocelyn",,3,0-1,0-0,0-0,0-0,0,0,0,1,0,1,0,Lycoming,Lycoming_Scranton_2-19-2025
11,"Kranson,Kaci",*,18,8-14,0-2,2-2,1-3,4,0,2,0,1,1,18,Scranton,Lycoming_Scranton_2-19-2025
01,"Romanowski,Kaeli",*,19,1-3,0-1,4-4,1-4,5,1,3,0,0,6,6,Scranton,Lycoming_Scranton_2-19-2025
33,"Quigley,Kyra",*,15,3-7,0-0,0-0,1-4,5,2,2,1,1,2,6,Scranton,Lycoming_Scranton_2-19-2025
20,"Lamanna,Meghan",*,20,2-9,1-5,0-0,0-6,6,1,1,0,0,2,5,Scranton,Lycoming_Scranton_2-19-2025
13,"Hartnett,Maddie",*,17,0-2,0-1,0-0,0-2,2,1,5,1,2,1,0,Scranton,Lycoming_Scranton_2-19-2025
15,"Bennett,Elizabeth",,15,5-10,3-4,0-0,0-1,1,1,2,2,0,0,13,Scranton,Lycoming_Scranton_2-19-2025
05,"Gorski,Katie",,15,4-6,1-3,0-0,2-1,3,0,3,0,0,3,9,Scranton,Lycoming_Scranton_2-19-2025
10,"Lynch,Allie",,10,2-2,1-1,2-2,0-2,2,2,0,0,0,0,7,Scranton,Lycoming_Scranton_2-19-2025
03,"Brewer,Morgan",,7,2-2,2-2,0-0,0-2,2,0,0,0,0,1,6,Scranton,Lycoming_Scranton_2-19-2025
12,"Sloan,Jenna",,15,2-3,0-0,0-0,1-3,4,0,4,1,0,1,4,Scranton,Lycoming_Scranton_2-19-2025
24,"Francione,Marisa",,10,1-3,1-2,0-0,0-0,0,0,0,1,0,0,3,Scranton,Lycoming_Scranton_2-19-2025
14,"Stoupakis,Natalie",,14,1-4,0-3,0-0,0-0,0,1,4,0,0,2,2,Scranton,Lycoming_Scranton_2-19-2025
02,"Bender,Ashlyn",,7,1-3,0-1,0-0,0-1,1,0,0,0,0,0,2,Scranton,Lycoming_Scranton_2-19-2025
22,"Halligan,Lizzie",,7,1-4,0-2,0-0,1-0,1,0,1,0,1,1,2,Scranton,Lycoming_Scranton_2-19-2025
23,"Montgomery,Elyse",,3,1-1,0-0,0-0,1-0,1,0,0,0,0,0,2,Scranton,Lycoming_Scranton_2-19-2025
00,"Cieszko,Selena",,5,0-3,0-2,0-0,1-4,5,0,2,0,0,0,0,Scranton,Lycoming_Scranton_2-19-2025
30,"Kraker,Sabrina",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Lycoming_Scranton_2-19-2025
