##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
12,"Dufner,Meghan",*,37,6-14,3-6,1-3,2-4,6,5,5,4,0,1,16,Lycoming,Lycoming_Susquehanna_11-27-2022
22,"Lockard,Emily",*,36,6-14,0-0,1-2,3-6,9,1,2,0,0,4,13,Lycoming,Lycoming_Susquehanna_11-27-2022
02,"Abdo,Kami",*,23,3-4,2-3,1-2,1-1,2,3,3,3,0,0,9,Lycoming,Lycoming_Susquehanna_11-27-2022
10,"Wetzel,Mya",*,31,2-10,2-10,0-2,0-0,0,0,2,0,0,3,6,Lycoming,Lycoming_Susquehanna_11-27-2022
25,"Reed,Kenzie",*,29,2-4,0-0,1-2,2-1,3,4,1,2,0,0,5,Lycoming,Lycoming_Susquehanna_11-27-2022
20,"Pumputis,Jillian",,20,4-12,2-6,1-4,2-1,3,2,0,0,0,0,11,Lycoming,Lycoming_Susquehanna_11-27-2022
34,"Burton,Victoria",,17,0-7,0-0,2-4,1-2,3,2,0,2,1,1,2,Lycoming,Lycoming_Susquehanna_11-27-2022
13,"Rudalavage,Mia",,7,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Lycoming,Lycoming_Susquehanna_11-27-2022
03,"Selvaggi,Kenzie",*,38,10-18,4-10,2-2,2-2,4,2,5,3,0,0,26,Susquehanna,Lycoming_Susquehanna_11-27-2022
30,"Lynch,Kaitlyn",*,36,9-17,2-4,2-5,1-6,7,2,0,3,0,2,22,Susquehanna,Lycoming_Susquehanna_11-27-2022
00,"Pinckert,Julia",*,33,3-8,0-2,4-4,0-5,5,3,7,5,1,1,10,Susquehanna,Lycoming_Susquehanna_11-27-2022
14,"Schwabe,Isabella",*,30,2-3,0-0,3-4,1-5,6,5,2,2,1,0,7,Susquehanna,Lycoming_Susquehanna_11-27-2022
25,"Goldenziel,Alicia",*,32,2-7,0-0,0-0,7-5,12,4,3,4,0,3,4,Susquehanna,Lycoming_Susquehanna_11-27-2022
04,"Clarke,Victoria",,12,1-2,0-0,1-2,2-2,4,0,1,2,0,0,3,Susquehanna,Lycoming_Susquehanna_11-27-2022
31,"Meehan,Grace",,9,0-2,0-1,0-0,0-0,0,0,0,1,0,0,0,Susquehanna,Lycoming_Susquehanna_11-27-2022
12,"George,Carly",,5,0-1,0-0,0-0,0-0,0,1,0,1,0,0,0,Susquehanna,Lycoming_Susquehanna_11-27-2022
33,"Dorsey,Bri",,3,0-0,0-0,0-0,0-2,2,0,0,0,1,0,0,Susquehanna,Lycoming_Susquehanna_11-27-2022
02,"Sabol,Vanessa",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0,Susquehanna,Lycoming_Susquehanna_11-27-2022
05,"Klein,Lauren",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Lycoming_Susquehanna_11-27-2022
