##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
12,"Dufner,Meghan",*,37,8-9,3-4,0-0,2-9,11,4,3,6,0,3,19,Lycoming,Lycoming_Wilkes_1-29-2025
25,"Goldenziel,Alicia",*,34,5-9,0-0,0-0,6-3,9,4,5,2,0,1,10,Lycoming,Lycoming_Wilkes_1-29-2025
10,"Wetzel,Mya",*,32,1-12,1-10,0-0,2-3,5,1,6,3,0,4,3,Lycoming,Lycoming_Wilkes_1-29-2025
02,"Abdo,Kami",*,9,1-4,0-2,0-0,0-1,1,0,0,2,1,0,2,Lycoming,Lycoming_Wilkes_1-29-2025
21,"Yoh,Ashley",*,19,0-5,0-0,0-0,2-2,4,0,2,1,0,0,0,Lycoming,Lycoming_Wilkes_1-29-2025
14,"Fisher,Allison",,18,4-11,4-10,0-0,0-4,4,0,1,4,0,0,12,Lycoming,Lycoming_Wilkes_1-29-2025
32,"Stone,Sydnie",,17,5-7,0-2,1-2,2-4,6,0,4,0,0,0,11,Lycoming,Lycoming_Wilkes_1-29-2025
04,"McMurtrie,Ann-Marie",,14,4-8,0-0,0-0,2-2,4,1,2,1,0,0,8,Lycoming,Lycoming_Wilkes_1-29-2025
15,"Hartman,Makenna",,7,2-4,0-0,1-1,1-0,1,1,0,0,1,1,5,Lycoming,Lycoming_Wilkes_1-29-2025
22,"Emlet,Summer",,3,1-2,1-1,0-0,0-0,0,0,0,0,0,0,3,Lycoming,Lycoming_Wilkes_1-29-2025
05,"McCracken,Jocelyn",,6,0-1,0-0,1-2,1-1,2,0,0,0,0,1,1,Lycoming,Lycoming_Wilkes_1-29-2025
03,"Lanphear,Sarah",,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Lycoming_Wilkes_1-29-2025
11,"Bena,Katie",,2,0-2,0-2,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Lycoming_Wilkes_1-29-2025
00,"Askins,Julianna",*,20,4-11,4-10,0-0,0-1,1,0,0,1,2,0,12,Wilkes,Lycoming_Wilkes_1-29-2025
11,"Matos,Yamirelis",*,34,3-14,0-7,2-2,3-6,9,4,3,3,0,7,8,Wilkes,Lycoming_Wilkes_1-29-2025
01,"Warren,Maliyah",*,19,3-6,0-0,1-2,6-2,8,2,2,2,0,0,7,Wilkes,Lycoming_Wilkes_1-29-2025
10,"Evanosky,Nadia",*,33,2-8,0-1,1-2,4-5,9,2,2,8,1,1,5,Wilkes,Lycoming_Wilkes_1-29-2025
13,"Holden,Reagan",*,27,1-1,1-1,1-2,1-0,1,2,2,1,0,0,4,Wilkes,Lycoming_Wilkes_1-29-2025
15,"Wartzenluft,Dana",,17,3-9,3-7,2-2,1-3,4,0,1,1,0,0,11,Wilkes,Lycoming_Wilkes_1-29-2025
05,"Lundy,Carolyn",,16,3-8,2-6,0-2,1-1,2,0,1,1,0,2,8,Wilkes,Lycoming_Wilkes_1-29-2025
30,"Bogdan,Delaney",,21,2-8,0-5,2-2,1-3,4,0,0,0,1,3,6,Wilkes,Lycoming_Wilkes_1-29-2025
22,"Stout,Emma",,10,1-3,1-1,0-0,0-1,1,1,0,0,0,0,3,Wilkes,Lycoming_Wilkes_1-29-2025
14,"McCance,Kyleen",,3,0-0,0-0,0-0,0-0,0,1,1,0,0,0,0,Wilkes,Lycoming_Wilkes_1-29-2025
