##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
14,"Kolb,Kate",*,23,5-11,1-1,3-4,1-4,5,3,0,0,2,1,14,Lynchburg,Lynchburg_Elizabethtown_12-30-2021
04,"Vetter,Brooke",*,31,6-8,1-3,0-0,3-8,11,4,0,0,0,0,13,Lynchburg,Lynchburg_Elizabethtown_12-30-2021
23,"Davis,Lizzie",*,33,4-9,0-1,3-4,0-1,1,1,9,3,0,0,11,Lynchburg,Lynchburg_Elizabethtown_12-30-2021
25,"Green,Erin",*,31,4-10,0-3,1-2,1-6,7,2,1,5,3,0,9,Lynchburg,Lynchburg_Elizabethtown_12-30-2021
13,"Vetter,Meredith",*,32,2-6,0-1,3-3,3-2,5,2,2,3,0,0,7,Lynchburg,Lynchburg_Elizabethtown_12-30-2021
02,"Harris,Olivia",,28,8-18,3-8,3-4,0-0,0,2,1,2,0,4,22,Lynchburg,Lynchburg_Elizabethtown_12-30-2021
05,"Gantt,Taylor",,11,0-4,0-3,0-0,0-1,1,1,0,1,0,1,0,Lynchburg,Lynchburg_Elizabethtown_12-30-2021
55,"Oliver,Mimi",,11,0-2,0-0,0-0,2-4,6,1,0,0,0,0,0,Lynchburg,Lynchburg_Elizabethtown_12-30-2021
22,"Christ,Veronica",*,39,11-22,5-9,2-2,0-4,4,0,6,2,2,0,29,Elizabethtown,Lynchburg_Elizabethtown_12-30-2021
10,"McNulty,Summer",*,34,3-12,1-3,6-8,2-5,7,1,3,2,1,2,13,Elizabethtown,Lynchburg_Elizabethtown_12-30-2021
34,"Renno,DaniRae",*,28,5-10,0-0,2-5,4-3,7,3,2,2,2,2,12,Elizabethtown,Lynchburg_Elizabethtown_12-30-2021
04,"Wilson,Cyleigh",*,25,4-7,4-7,0-0,0-1,1,0,2,3,0,2,12,Elizabethtown,Lynchburg_Elizabethtown_12-30-2021
30,"King,Jessica",*,23,2-6,0-0,0-0,1-7,8,3,0,3,0,0,4,Elizabethtown,Lynchburg_Elizabethtown_12-30-2021
05,"Nagy,Jillian",,17,1-3,1-2,2-4,1-1,2,2,0,0,1,0,5,Elizabethtown,Lynchburg_Elizabethtown_12-30-2021
21,"Prowell,Emily",,21,2-4,0-2,0-0,0-1,1,3,4,1,0,1,4,Elizabethtown,Lynchburg_Elizabethtown_12-30-2021
03,"Boyd,Lindsay",,9,0-2,0-1,0-0,2-0,2,1,1,0,0,1,0,Elizabethtown,Lynchburg_Elizabethtown_12-30-2021
13,"Huyck,Taylor",,3,0-2,0-1,0-0,0-0,0,0,0,0,0,1,0,Elizabethtown,Lynchburg_Elizabethtown_12-30-2021
33,"Marchese,Clare",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Lynchburg_Elizabethtown_12-30-2021
