##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
05,"Brandstatter,Sayre",*,30,4-10,2-6,6-10,3-5,8,2,6,1,1,5,16,Lynchburg,Lynchburg_Juniata_11-18-2023
03,"Mullins,Macey",*,28,2-8,1-5,1-2,0-3,3,1,0,3,2,3,6,Lynchburg,Lynchburg_Juniata_11-18-2023
24,"Cason,Brooke",*,17,2-10,2-8,0-0,0-1,1,5,0,2,0,4,6,Lynchburg,Lynchburg_Juniata_11-18-2023
33,"Michael,Lettie",*,23,2-5,1-4,0-2,2-1,3,1,3,1,2,1,5,Lynchburg,Lynchburg_Juniata_11-18-2023
22,"Brown,Taylor",*,12,0-2,0-0,0-0,0-1,1,4,1,1,1,0,0,Lynchburg,Lynchburg_Juniata_11-18-2023
25,"Spainhour,Bree",,26,5-8,0-2,3-5,0-6,6,0,1,1,1,3,13,Lynchburg,Lynchburg_Juniata_11-18-2023
11,"Terry,Kayla",,19,2-7,0-2,5-6,1-1,2,0,1,2,0,1,9,Lynchburg,Lynchburg_Juniata_11-18-2023
20,"Kelly,Kacey",,21,2-5,0-0,2-6,2-3,5,2,1,1,1,3,6,Lynchburg,Lynchburg_Juniata_11-18-2023
32,"Ross,Darcy",,10,2-5,0-0,0-0,2-3,5,3,0,0,1,0,4,Lynchburg,Lynchburg_Juniata_11-18-2023
15,"Sledge,Kayla",,12,0-0,0-0,0-0,1-3,4,0,1,1,1,0,0,Lynchburg,Lynchburg_Juniata_11-18-2023
23,"Sever,Sammi",,2,0-0,0-0,0-0,0-1,1,2,0,2,0,0,0,Lynchburg,Lynchburg_Juniata_11-18-2023
13,"Sherman,Haily",*,26,6-9,3-4,4-4,0-5,5,4,1,1,0,0,19,Juniata,Lynchburg_Juniata_11-18-2023
21,"Bodtorf,Bri",*,26,4-10,1-4,0-4,2-5,7,3,1,4,0,1,9,Juniata,Lynchburg_Juniata_11-18-2023
11,"Berg,Olivia",*,30,2-4,2-2,2-4,1-3,4,4,4,6,1,2,8,Juniata,Lynchburg_Juniata_11-18-2023
03,"Miller,Kynnedy",*,26,2-8,2-5,1-2,2-4,6,5,5,2,0,0,7,Juniata,Lynchburg_Juniata_11-18-2023
31,"Gerdich,Lanie",*,15,0-1,0-0,3-6,1-2,3,0,0,0,0,1,3,Juniata,Lynchburg_Juniata_11-18-2023
43,"McCann,Emily",,16,2-6,1-1,0-0,0-0,0,2,1,2,0,1,5,Juniata,Lynchburg_Juniata_11-18-2023
35,"Betts,Sarah",,28,1-9,0-3,0-0,1-6,7,1,1,3,0,1,2,Juniata,Lynchburg_Juniata_11-18-2023
04,"Emert,Steph",,15,1-5,0-1,0-0,1-3,4,3,2,1,0,0,2,Juniata,Lynchburg_Juniata_11-18-2023
25,"Sauer,Chloe",,2,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Juniata,Lynchburg_Juniata_11-18-2023
24,"Coolidge,Emma",,9,0-2,0-0,1-2,0-0,0,1,0,1,0,0,1,Juniata,Lynchburg_Juniata_11-18-2023
23,"Gillo,Deja",,4,0-1,0-1,0-0,0-1,1,1,0,2,0,0,0,Juniata,Lynchburg_Juniata_11-18-2023
34,"Scipioni,Dani",,3,0-0,0-0,0-0,0-2,2,0,0,1,0,0,0,Juniata,Lynchburg_Juniata_11-18-2023
