##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
02,Kayla Yoegel,*,36,7-19,2-4,5-6,0-4,4,1,0,0,1,3,21,MORAVIAN,MORAVIAN_Juniata Women's Basketball_2-5-2021
24,Morgan Amy,*,36,7-13,1-3,6-7,0-4,4,0,5,3,3,2,21,MORAVIAN,MORAVIAN_Juniata Women's Basketball_2-5-2021
01,Sam Osorio,*,18,3-9,0-0,3-4,4-3,7,4,0,1,0,1,9,MORAVIAN,MORAVIAN_Juniata Women's Basketball_2-5-2021
23,Madison Amy,*,32,2-5,0-3,0-0,0-0,0,1,2,0,1,1,4,MORAVIAN,MORAVIAN_Juniata Women's Basketball_2-5-2021
12,Sarah Donati,*,18,1-7,1-5,0-0,1-2,3,0,0,1,0,1,3,MORAVIAN,MORAVIAN_Juniata Women's Basketball_2-5-2021
05,Emily Markowski,,19,2-4,0-0,4-4,2-7,9,3,1,4,1,4,8,MORAVIAN,MORAVIAN_Juniata Women's Basketball_2-5-2021
20,Rachel Sutton,,11,1-2,0-0,0-0,0-0,0,4,1,0,1,0,2,MORAVIAN,MORAVIAN_Juniata Women's Basketball_2-5-2021
14,Reganne Flannery,,12,0-1,0-1,0-0,0-1,1,1,0,0,0,0,0,MORAVIAN,MORAVIAN_Juniata Women's Basketball_2-5-2021
40,Sara Geary,,6,0-0,0-0,0-0,0-2,2,2,0,2,0,0,0,MORAVIAN,MORAVIAN_Juniata Women's Basketball_2-5-2021
00,Alix Buskirk,,5,0-1,0-0,0-0,0-2,2,0,0,1,0,0,0,MORAVIAN,MORAVIAN_Juniata Women's Basketball_2-5-2021
15,Jordan Beneducci,,5,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,MORAVIAN,MORAVIAN_Juniata Women's Basketball_2-5-2021
30,Gracie Hezel,,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,MORAVIAN,MORAVIAN_Juniata Women's Basketball_2-5-2021
22,Meghan Ansel,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,MORAVIAN,MORAVIAN_Juniata Women's Basketball_2-5-2021
33,Gracie Stauffer,*,32,12-19,0-0,1-2,4-5,9,3,2,4,1,0,25,Juniata Women's Basketball,MORAVIAN_Juniata Women's Basketball_2-5-2021
22,Madison Colyer,*,37,3-9,1-1,2-2,1-4,5,1,1,5,1,3,9,Juniata Women's Basketball,MORAVIAN_Juniata Women's Basketball_2-5-2021
30,Averie Hess,*,27,3-12,2-5,1-1,1-0,1,4,2,2,0,0,9,Juniata Women's Basketball,MORAVIAN_Juniata Women's Basketball_2-5-2021
23,Cassie Mock,*,29,2-10,0-2,3-3,2-3,5,4,12,2,0,0,7,Juniata Women's Basketball,MORAVIAN_Juniata Women's Basketball_2-5-2021
11,Grace Long,*,30,2-6,1-3,0-0,2-5,7,2,0,3,0,0,5,Juniata Women's Basketball,MORAVIAN_Juniata Women's Basketball_2-5-2021
42,Taylor Vrabel,,8,1-4,0-0,0-0,1-4,5,1,0,1,0,0,2,Juniata Women's Basketball,MORAVIAN_Juniata Women's Basketball_2-5-2021
03,Kynnedy Miller,,24,0-6,0-4,0-0,1-3,4,3,3,2,0,1,0,Juniata Women's Basketball,MORAVIAN_Juniata Women's Basketball_2-5-2021
21,Jamie Mahigel,,13,0-2,0-2,0-1,0-0,0,0,2,0,0,0,0,Juniata Women's Basketball,MORAVIAN_Juniata Women's Basketball_2-5-2021
