##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
50,"Martin,Tory",*,26,5-12,0-0,1-2,0-2,2,4,0,3,0,1,11,Mary Washington,Mary Washington_Susquehanna_11-14-2021
10,"Schwab,Keagan",*,18,3-5,0-1,0-0,3-1,4,2,2,2,0,1,6,Mary Washington,Mary Washington_Susquehanna_11-14-2021
14,"Baxter,Megan",*,31,1-9,1-5,0-0,0-2,2,1,2,0,0,5,3,Mary Washington,Mary Washington_Susquehanna_11-14-2021
23,"Carpenter,Jordan",*,27,1-5,0-0,0-2,4-10,14,2,1,1,0,1,2,Mary Washington,Mary Washington_Susquehanna_11-14-2021
21,"Shively,Emily",*,13,0-6,0-2,2-3,0-2,2,0,0,0,0,0,2,Mary Washington,Mary Washington_Susquehanna_11-14-2021
22,"Sharman,Molly",,22,5-10,0-0,6-8,1-2,3,1,1,2,1,0,16,Mary Washington,Mary Washington_Susquehanna_11-14-2021
04,"Sherman,Sydney",,12,2-5,0-0,0-0,1-6,7,4,0,1,0,1,4,Mary Washington,Mary Washington_Susquehanna_11-14-2021
32,"Harper,Bri",,29,1-7,0-0,0-0,0-0,0,1,2,1,0,1,2,Mary Washington,Mary Washington_Susquehanna_11-14-2021
05,"Higlander,Karissa",,11,1-3,0-0,0-0,1-1,2,1,0,1,1,0,2,Mary Washington,Mary Washington_Susquehanna_11-14-2021
34,"Martin,Ashley",,10,0-0,0-0,0-0,0-1,1,1,0,1,0,0,0,Mary Washington,Mary Washington_Susquehanna_11-14-2021
15,"Dufrane,Elizabeth",,1,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Mary Washington,Mary Washington_Susquehanna_11-14-2021
24,"Comfort,Sadie",*,35,4-9,2-6,3-3,0-1,1,3,0,2,0,3,13,Susquehanna,Mary Washington_Susquehanna_11-14-2021
23,"Esposito,Amalia",*,31,3-8,0-0,6-6,2-6,8,3,1,2,2,0,12,Susquehanna,Mary Washington_Susquehanna_11-14-2021
21,"Brandt,Olivia",*,40,3-8,0-1,4-5,5-9,14,2,1,5,2,0,10,Susquehanna,Mary Washington_Susquehanna_11-14-2021
10,"McQuillen,Erin",*,32,1-14,0-8,0-0,1-7,8,3,2,3,0,1,2,Susquehanna,Mary Washington_Susquehanna_11-14-2021
30,"Lynch,Kaitlyn",*,24,1-7,0-1,0-1,0-4,4,3,2,1,1,2,2,Susquehanna,Mary Washington_Susquehanna_11-14-2021
20,"Emlet,Megan",,23,3-4,0-1,0-0,1-2,3,1,2,3,0,1,6,Susquehanna,Mary Washington_Susquehanna_11-14-2021
22,"Ciullo,Olivia",,6,0-2,0-0,0-0,1-1,2,1,0,0,0,0,0,Susquehanna,Mary Washington_Susquehanna_11-14-2021
13,"Hildebrandt,Kate",,5,0-1,0-0,0-0,0-0,0,1,0,1,0,0,0,Susquehanna,Mary Washington_Susquehanna_11-14-2021
03,"Selvaggi,Kenzie",,2,0-0,0-0,0-0,0-1,1,1,0,1,0,0,0,Susquehanna,Mary Washington_Susquehanna_11-14-2021
33,"Dorsey,Bri",,2,0-0,0-0,0-0,0-0,0,0,0,1,1,1,0,Susquehanna,Mary Washington_Susquehanna_11-14-2021
