##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,"Eddleton,Chandler",*,39,9-20,1-1,8-9,2-7,9,4,4,6,0,8,27,Marymount (VA),Marymount (VA)_Catholic_12-19-2023
10,"Shackelford,Symantha",*,37,6-13,2-4,4-4,0-1,1,4,1,2,0,0,18,Marymount (VA),Marymount (VA)_Catholic_12-19-2023
12,"Treadwell,Kyla",*,21,3-4,1-2,0-0,0-0,0,3,0,1,0,0,7,Marymount (VA),Marymount (VA)_Catholic_12-19-2023
21,"Smith,Claire",*,33,1-4,0-0,4-4,4-6,10,4,2,4,1,0,6,Marymount (VA),Marymount (VA)_Catholic_12-19-2023
04,"Morrison,Ella",*,32,2-10,2-7,0-0,1-3,4,1,1,4,0,1,6,Marymount (VA),Marymount (VA)_Catholic_12-19-2023
03,"Dzambo,Terra",,25,0-5,0-2,0-0,2-1,3,2,2,0,0,1,0,Marymount (VA),Marymount (VA)_Catholic_12-19-2023
30,"Achtyl,Ava",,4,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Marymount (VA),Marymount (VA)_Catholic_12-19-2023
33,"Ceroll,Kelly",,3,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Marymount (VA),Marymount (VA)_Catholic_12-19-2023
35,"Damato,Grace",,3,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Marymount (VA),Marymount (VA)_Catholic_12-19-2023
00,"Bulik,Samantha",,2,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Marymount (VA),Marymount (VA)_Catholic_12-19-2023
22,"Vezendy,Ally",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Marymount (VA),Marymount (VA)_Catholic_12-19-2023
10,"Flaherty,Kerry",*,35,7-10,5-8,0-0,1-2,3,1,1,4,0,0,19,Catholic,Marymount (VA)_Catholic_12-19-2023
13,"Scoblick,Anna",*,33,5-15,0-0,3-3,1-7,8,3,1,0,2,3,13,Catholic,Marymount (VA)_Catholic_12-19-2023
05,"White,Sarah",*,37,5-10,1-6,0-0,0-1,1,2,1,7,0,4,11,Catholic,Marymount (VA)_Catholic_12-19-2023
22,"Mulvaney,Carly",*,29,2-8,0-1,7-8,5-6,11,3,4,5,3,0,11,Catholic,Marymount (VA)_Catholic_12-19-2023
33,"Douglas,Keegan",*,31,2-4,1-1,4-6,1-2,3,5,4,5,1,2,9,Catholic,Marymount (VA)_Catholic_12-19-2023
24,"Kenah,Alexa",,14,2-2,1-1,0-0,1-1,2,0,1,0,1,0,5,Catholic,Marymount (VA)_Catholic_12-19-2023
20,"Beirne,Kaleigh",,9,1-1,0-0,0-0,0-2,2,1,0,2,0,0,2,Catholic,Marymount (VA)_Catholic_12-19-2023
11,"Kennedy,Amelia",,6,0-1,0-0,0-0,0-0,0,2,0,2,0,0,0,Catholic,Marymount (VA)_Catholic_12-19-2023
30,"Fernandez,Tori",,6,0-1,0-1,0-0,0-0,0,1,1,0,0,0,0,Catholic,Marymount (VA)_Catholic_12-19-2023
