##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Haney,Ella",*,23,3-11,1-4,1-2,0-3,3,2,0,4,0,0,8,Maryville (TN),Maryville (TN)_Catholic_12-17-2024
11,"Tharpe,Ella",*,31,3-6,0-2,1-2,3-2,5,2,1,1,0,3,7,Maryville (TN),Maryville (TN)_Catholic_12-17-2024
13,"Kitchen,Halle",*,22,1-5,1-4,1-2,0-0,0,2,1,1,0,0,4,Maryville (TN),Maryville (TN)_Catholic_12-17-2024
23,"Allen,Emily",*,21,1-5,1-2,1-2,0-1,1,1,0,3,0,0,4,Maryville (TN),Maryville (TN)_Catholic_12-17-2024
42,"Stoner,Kadence",*,13,0-2,0-0,0-0,1-5,6,3,0,2,1,0,0,Maryville (TN),Maryville (TN)_Catholic_12-17-2024
35,"Cathers,Olivia",,22,2-7,0-2,4-4,0-1,1,0,0,1,1,3,8,Maryville (TN),Maryville (TN)_Catholic_12-17-2024
05,"Fritz,Braxton",,16,1-7,0-1,0-0,0-4,4,0,1,1,0,1,2,Maryville (TN),Maryville (TN)_Catholic_12-17-2024
01,"Brown,Reagan",,19,0-5,0-4,0-0,0-3,3,1,0,1,0,0,0,Maryville (TN),Maryville (TN)_Catholic_12-17-2024
22,"Huskey,Emma",,14,0-2,0-0,0-0,1-2,3,2,1,0,1,1,0,Maryville (TN),Maryville (TN)_Catholic_12-17-2024
34,"Daniel,Niles",,7,0-2,0-0,0-0,0-1,1,0,0,1,0,0,0,Maryville (TN),Maryville (TN)_Catholic_12-17-2024
12,"Wright,Victoria",,6,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Maryville (TN),Maryville (TN)_Catholic_12-17-2024
24,"Schultz,Kaylen",,6,0-2,0-1,0-0,0-0,0,0,0,0,0,0,0,Maryville (TN),Maryville (TN)_Catholic_12-17-2024
13,"Scoblick,Anna",*,24,8-13,0-0,3-5,5-2,7,2,5,2,3,0,19,Catholic,Maryville (TN)_Catholic_12-17-2024
11,"Kennedy,Amelia",*,31,6-11,2-5,2-3,2-7,9,4,5,1,0,2,16,Catholic,Maryville (TN)_Catholic_12-17-2024
33,"Douglas,Keegan",*,26,3-12,2-6,2-2,4-4,8,1,1,1,0,1,10,Catholic,Maryville (TN)_Catholic_12-17-2024
22,"Mulvaney,Carly",*,26,2-4,1-2,0-1,0-4,4,2,5,3,2,1,5,Catholic,Maryville (TN)_Catholic_12-17-2024
24,"Kenah,Alexa",*,21,2-5,1-2,0-0,1-7,8,0,1,1,2,0,5,Catholic,Maryville (TN)_Catholic_12-17-2024
05,"Boccella,Olivia",,11,2-6,2-6,0-0,0-1,1,0,1,0,0,1,6,Catholic,Maryville (TN)_Catholic_12-17-2024
20,"Villa,Lia",,11,2-5,0-1,0-0,0-2,2,1,0,1,0,0,4,Catholic,Maryville (TN)_Catholic_12-17-2024
03,"Travieso,Sofia",,9,1-4,0-3,0-0,1-2,3,2,1,2,0,1,2,Catholic,Maryville (TN)_Catholic_12-17-2024
41,"Blumenthal,Sam",,9,0-4,0-0,2-2,4-0,4,2,0,0,0,0,2,Catholic,Maryville (TN)_Catholic_12-17-2024
02,"Guidetti,Raquel",,8,1-3,0-1,0-0,0-3,3,1,0,1,0,1,2,Catholic,Maryville (TN)_Catholic_12-17-2024
40,"Kreinbrook,Anna",,6,1-1,0-0,0-0,0-0,0,0,1,0,2,0,2,Catholic,Maryville (TN)_Catholic_12-17-2024
25,"Kraft,Lauren",,13,0-3,0-3,1-2,2-2,4,0,1,2,0,0,1,Catholic,Maryville (TN)_Catholic_12-17-2024
34,"Hughes,Maggie",,5,0-2,0-1,0-0,1-1,2,1,0,0,0,1,0,Catholic,Maryville (TN)_Catholic_12-17-2024
