##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
33,"Purdy,Savannah",*,36,4-11,1-4,5-6,0-2,2,3,2,3,0,1,14,Marywood,Marywood_Scranton_11-15-2022
21,"McGee,Abbey",*,40,4-10,0-2,0-4,2-1,3,2,4,5,0,3,8,Marywood,Marywood_Scranton_11-15-2022
22,"Ciullo,Olivia",*,26,4-10,0-0,0-0,1-3,4,0,0,6,0,0,8,Marywood,Marywood_Scranton_11-15-2022
25,"Klemick,Stephanie",*,27,1-5,0-0,0-0,0-2,2,0,0,2,0,2,2,Marywood,Marywood_Scranton_11-15-2022
04,"Rolon,Jade",*,18,1-1,0-0,0-0,1-3,4,2,0,1,0,0,2,Marywood,Marywood_Scranton_11-15-2022
24,"Kendricks,Faith",,18,2-4,0-2,2-2,1-3,4,0,0,1,0,1,6,Marywood,Marywood_Scranton_11-15-2022
05,"Baylor,Kate",,17,2-4,0-0,2-2,0-9,9,0,1,1,1,1,6,Marywood,Marywood_Scranton_11-15-2022
14,"McDonald,Rachel",,16,2-6,1-5,0-0,0-2,2,1,0,0,0,0,5,Marywood,Marywood_Scranton_11-15-2022
30,"Neiderer,Maddie",,2,0-0,0-0,0-0,1-0,1,0,0,0,0,0,0,Marywood,Marywood_Scranton_11-15-2022
20,"Rajza,Samantha",*,37,8-14,4-7,0-0,3-4,7,2,4,2,0,2,20,Scranton,Marywood_Scranton_11-15-2022
21,"Ryan,Maddy",*,27,7-13,0-0,2-4,5-3,8,5,1,1,1,0,16,Scranton,Marywood_Scranton_11-15-2022
24,"Monaghan,Bridget",*,35,5-16,1-4,0-0,2-4,6,3,4,2,0,3,11,Scranton,Marywood_Scranton_11-15-2022
00,"Angelini,Hannah",*,36,4-10,2-5,0-0,2-8,10,2,3,5,1,2,10,Scranton,Marywood_Scranton_11-15-2022
13,"Hartnett,Maddie",*,16,0-6,0-1,0-0,1-3,4,3,0,2,0,1,0,Scranton,Marywood_Scranton_11-15-2022
10,"Lynch,Allie",,31,3-8,2-5,0-0,1-1,2,1,0,1,0,1,8,Scranton,Marywood_Scranton_11-15-2022
32,"Walsh,Sara",,15,1-3,0-0,0-0,3-1,4,0,1,1,1,1,2,Scranton,Marywood_Scranton_11-15-2022
25,"Duerr,Emma",,3,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Marywood_Scranton_11-15-2022
