##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
14,"McDonald,Rachel",*,36,3-9,2-3,1-2,0-5,5,3,1,6,0,0,9,Marywood,Marywood_Susquehanna_11-16-2023
23,"White,Colby",*,21,1-4,1-1,3-7,0-4,4,3,1,3,0,2,6,Marywood,Marywood_Susquehanna_11-16-2023
24,"Kendricks,Faith",*,27,1-6,0-3,3-4,5-0,5,4,0,2,0,1,5,Marywood,Marywood_Susquehanna_11-16-2023
25,"Klemick,Stephanie",*,20,0-2,0-0,0-0,0-2,2,3,1,4,0,0,0,Marywood,Marywood_Susquehanna_11-16-2023
30,"Neiderer,Maddie",*,14,0-1,0-1,0-0,1-0,1,3,0,1,0,1,0,Marywood,Marywood_Susquehanna_11-16-2023
11,"Card,Kendel",,25,3-10,0-0,4-8,1-3,4,1,0,4,0,0,10,Marywood,Marywood_Susquehanna_11-16-2023
21,"Griscavage,Alli",,20,2-3,0-0,6-12,2-5,7,3,2,1,1,1,10,Marywood,Marywood_Susquehanna_11-16-2023
15,"Blume,Mia",,19,2-6,1-3,2-4,0-1,1,1,1,0,0,0,7,Marywood,Marywood_Susquehanna_11-16-2023
20,"Ardo-Boyko,Shelby",,12,0-3,0-0,0-2,0-4,4,3,0,1,0,0,0,Marywood,Marywood_Susquehanna_11-16-2023
35,"Sherman,Lily",,3,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Marywood,Marywood_Susquehanna_11-16-2023
43,"Carter,Gabby",,3,0-0,0-0,0-0,0-1,1,1,0,1,0,0,0,Marywood,Marywood_Susquehanna_11-16-2023
30,"Lynch,Kaitlyn",*,24,4-11,0-4,6-6,3-1,4,2,2,2,2,2,14,Susquehanna,Marywood_Susquehanna_11-16-2023
21,"Roth,Julia",*,22,5-9,0-0,3-8,5-1,6,2,2,1,0,1,13,Susquehanna,Marywood_Susquehanna_11-16-2023
24,"Maffei,Zoie",*,15,2-7,0-1,1-1,1-5,6,3,0,3,0,2,5,Susquehanna,Marywood_Susquehanna_11-16-2023
00,"Pinckert,Julia",*,20,1-7,0-1,0-0,0-2,2,4,3,2,0,1,2,Susquehanna,Marywood_Susquehanna_11-16-2023
05,"Klein,Lauren",*,19,1-5,0-3,0-0,0-1,1,2,1,1,1,0,2,Susquehanna,Marywood_Susquehanna_11-16-2023
15,"Greek,Annie",,14,4-8,2-3,2-3,0-2,2,1,0,1,0,0,12,Susquehanna,Marywood_Susquehanna_11-16-2023
31,"Meehan,Grace",,19,3-4,2-3,1-2,0-2,2,3,0,0,1,1,9,Susquehanna,Marywood_Susquehanna_11-16-2023
03,"Selvaggi,Kenzie",,21,1-3,1-3,0-0,0-5,5,1,4,3,0,2,3,Susquehanna,Marywood_Susquehanna_11-16-2023
01,"Weyant,Sydney",,16,0-4,0-4,2-2,0-3,3,3,1,1,0,0,2,Susquehanna,Marywood_Susquehanna_11-16-2023
20,"Staver,Elke",,6,1-3,0-1,0-2,2-0,2,2,1,0,0,2,2,Susquehanna,Marywood_Susquehanna_11-16-2023
04,"Bono,Allison",,5,1-3,0-0,0-0,1-0,1,2,0,0,0,0,2,Susquehanna,Marywood_Susquehanna_11-16-2023
32,"Yuhas,Mackenzie",,4,1-1,0-0,0-0,1-1,2,1,0,0,0,0,2,Susquehanna,Marywood_Susquehanna_11-16-2023
33,"Dorsey,Bri",,1,1-2,0-0,0-0,0-0,0,0,0,1,0,0,2,Susquehanna,Marywood_Susquehanna_11-16-2023
12,"George,Carly",,7,0-1,0-0,0-0,0-0,0,3,1,0,0,0,0,Susquehanna,Marywood_Susquehanna_11-16-2023
11,"Miller,Madison",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Marywood_Susquehanna_11-16-2023
02,"Rodriguez,Macayla",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Marywood_Susquehanna_11-16-2023
10,"Shipton,Kiersten",,1,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Susquehanna,Marywood_Susquehanna_11-16-2023
22,"Tillett,Summer",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Marywood_Susquehanna_11-16-2023
