##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
31,"Beckett,Elaina",*,21,8-13,0-2,0-0,1-4,5,0,3,4,0,2,16,McDaniel,McDaniel_Goucher_11-18-2023
12,"Overcash,Lil",*,23,5-10,2-5,1-2,0-3,3,1,2,0,0,2,13,McDaniel,McDaniel_Goucher_11-18-2023
35,"McConnaha,Teya",*,22,3-9,0-2,3-3,1-4,5,3,0,1,0,0,9,McDaniel,McDaniel_Goucher_11-18-2023
11,"McLean,Jordan",*,13,3-4,1-1,0-0,0-0,0,0,3,1,0,3,7,McDaniel,McDaniel_Goucher_11-18-2023
32,"Lenz,Raegan",*,21,2-3,0-0,0-0,3-5,8,4,1,1,2,1,4,McDaniel,McDaniel_Goucher_11-18-2023
40,"Vogel,Carli",,14,3-6,0-0,5-7,3-6,9,1,4,0,0,2,11,McDaniel,McDaniel_Goucher_11-18-2023
23,"Johnson,Kennadi",,14,2-5,2-5,0-0,0-0,0,0,0,0,0,1,6,McDaniel,McDaniel_Goucher_11-18-2023
33,"Mathias,Ally",,13,1-5,0-0,4-4,4-5,9,0,0,0,2,0,6,McDaniel,McDaniel_Goucher_11-18-2023
22,"Tague,Peyton",,20,1-6,1-4,0-0,2-1,3,0,3,3,0,1,3,McDaniel,McDaniel_Goucher_11-18-2023
21,"Gonzales,Clara",,5,1-4,1-4,0-0,1-1,2,0,0,1,0,0,3,McDaniel,McDaniel_Goucher_11-18-2023
30,"Hines,Lily",,14,1-8,0-2,0-0,2-1,3,1,2,0,1,0,2,McDaniel,McDaniel_Goucher_11-18-2023
25,"Lockard,Emily",,5,1-4,0-1,0-0,0-0,0,1,1,1,0,0,2,McDaniel,McDaniel_Goucher_11-18-2023
20,"Weinoldt,Jessica",,8,0-2,0-0,0-0,0-1,1,0,0,1,0,1,0,McDaniel,McDaniel_Goucher_11-18-2023
15,"Conklin,Emily",,7,0-0,0-0,0-0,1-0,1,1,0,1,0,0,0,McDaniel,McDaniel_Goucher_11-18-2023
22,"Turner,Merci",*,29,6-14,1-4,9-11,0-0,0,2,2,2,0,2,22,Goucher,McDaniel_Goucher_11-18-2023
03,"Villanueva,Maiya",*,33,4-10,4-7,0-0,0-4,4,0,3,5,0,1,12,Goucher,McDaniel_Goucher_11-18-2023
04,"Cavoli,Julia",*,28,3-7,2-5,0-0,1-0,1,1,0,1,1,0,8,Goucher,McDaniel_Goucher_11-18-2023
05,"Johnson,Brianna",*,25,3-12,2-4,0-2,4-8,12,3,0,4,0,1,8,Goucher,McDaniel_Goucher_11-18-2023
12,"Haggins,Briyah",*,31,2-8,1-3,0-0,0-8,8,3,1,2,0,0,5,Goucher,McDaniel_Goucher_11-18-2023
44,"McCoy,Zion",,20,1-4,0-1,0-0,2-2,4,1,1,0,0,0,2,Goucher,McDaniel_Goucher_11-18-2023
21,"Holmes,Savannah",,17,0-2,0-1,1-2,2-1,3,2,1,5,0,2,1,Goucher,McDaniel_Goucher_11-18-2023
34,"Sherman,Darby",,9,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Goucher,McDaniel_Goucher_11-18-2023
10,"Lavaux,Louise",,8,0-1,0-1,0-0,0-0,0,0,0,1,0,0,0,Goucher,McDaniel_Goucher_11-18-2023
