##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,"Monturo,Liv",*,27,10-13,0-0,4-6,4-6,10,1,0,3,2,1,24,Messiah,Messiah_Catholic_12-29-2024
25,"Harden,Reese",*,35,3-16,0-5,1-2,2-3,5,2,4,1,1,1,7,Messiah,Messiah_Catholic_12-29-2024
01,"Milanesi,Charlotte",*,20,1-5,0-1,1-2,1-2,3,4,3,3,0,2,3,Messiah,Messiah_Catholic_12-29-2024
15,"Hoffman,Sydney",*,18,1-1,0-0,0-0,0-3,3,2,0,1,1,1,2,Messiah,Messiah_Catholic_12-29-2024
20,"Milanesi,Chloe",*,30,0-8,0-6,0-0,0-2,2,2,3,2,1,2,0,Messiah,Messiah_Catholic_12-29-2024
22,"Fogarty,Raegan",,18,3-4,0-0,0-0,1-3,4,3,0,3,0,0,6,Messiah,Messiah_Catholic_12-29-2024
11,"Wood,EmmyFaith",,19,1-7,1-3,0-0,2-1,3,3,0,2,0,2,3,Messiah,Messiah_Catholic_12-29-2024
14,"Cook,Hope",,10,1-2,0-1,0-0,0-0,0,0,0,1,0,0,2,Messiah,Messiah_Catholic_12-29-2024
04,"Bell,Ainsley",,9,0-1,0-1,0-0,0-1,1,0,0,1,0,0,0,Messiah,Messiah_Catholic_12-29-2024
10,"Forbes,Justine",,8,0-3,0-3,0-0,1-0,1,0,1,1,0,0,0,Messiah,Messiah_Catholic_12-29-2024
03,"Fenchel,Brooke",,4,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Messiah,Messiah_Catholic_12-29-2024
12,"Fetterman,Emma",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Messiah,Messiah_Catholic_12-29-2024
13,"Scoblick,Anna",*,32,11-19,0-0,4-7,3-4,7,3,2,6,0,1,26,Catholic,Messiah_Catholic_12-29-2024
33,"Douglas,Keegan",*,36,4-12,0-2,3-4,1-2,3,2,1,2,0,1,11,Catholic,Messiah_Catholic_12-29-2024
22,"Mulvaney,Carly",*,34,4-10,1-2,0-0,3-5,8,2,0,1,0,3,9,Catholic,Messiah_Catholic_12-29-2024
10,"Flaherty,Kerry",*,32,1-8,1-6,0-0,0-4,4,0,2,2,0,2,3,Catholic,Messiah_Catholic_12-29-2024
24,"Kenah,Alexa",*,18,0-3,0-3,0-0,2-2,4,3,1,1,2,0,0,Catholic,Messiah_Catholic_12-29-2024
11,"Kennedy,Amelia",,22,2-10,0-0,3-4,5-5,10,2,1,0,0,1,7,Catholic,Messiah_Catholic_12-29-2024
41,"Blumenthal,Sam",,12,2-5,0-0,0-2,1-1,2,0,0,1,0,2,4,Catholic,Messiah_Catholic_12-29-2024
25,"Kraft,Lauren",,7,1-3,0-1,0-0,0-0,0,1,0,0,1,0,2,Catholic,Messiah_Catholic_12-29-2024
03,"Travieso,Sofia",,7,0-2,0-1,0-0,2-0,2,0,0,0,0,0,0,Catholic,Messiah_Catholic_12-29-2024
