##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
1,"Milanesi,Charlotte",*,30,7-10,3-5,1-2,4-4,8,1,4,4,0,3,18,Messiah,Messiah_Juniata_12-14-2024
25,"Harden,Reese",*,36,6-15,0-1,5-5,1-2,3,2,4,2,1,2,17,Messiah,Messiah_Juniata_12-14-2024
23,"Monturo,Liv",*,25,5-10,0-0,3-4,2-1,3,0,0,2,0,2,13,Messiah,Messiah_Juniata_12-14-2024
20,"Milanesi,Chloe",*,37,4-7,2-3,0-0,1-9,10,0,4,4,0,1,10,Messiah,Messiah_Juniata_12-14-2024
15,"Hoffman,Sydney",*,18,0-1,0-0,2-2,0-1,1,2,1,1,0,2,2,Messiah,Messiah_Juniata_12-14-2024
10,"Forbes,Justine",,10,1-3,1-3,0-0,0-0,0,3,0,2,0,1,3,Messiah,Messiah_Juniata_12-14-2024
4,"Bell,Ainsley",,8,1-3,0-0,0-0,0-0,0,1,0,0,0,1,2,Messiah,Messiah_Juniata_12-14-2024
11,"Wood,EmmyFaith",,21,0-3,0-1,0-0,0-0,0,2,2,0,0,2,0,Messiah,Messiah_Juniata_12-14-2024
22,"Fogarty,Raegan",,15,0-3,0-0,0-0,0-2,2,1,1,2,0,1,0,Messiah,Messiah_Juniata_12-14-2024
TM,TMTeam,,0,0-0,0-0,0-0,0-4,4,0,0,0,0,0,0,Messiah,Messiah_Juniata_12-14-2024
4,Steph Emert,*,34,4-8,2-2,2-2,0-6,6,2,2,4,1,2,12,Juniata,Messiah_Juniata_12-14-2024
31,Laney Gerdich,*,31,5-5,0-0,2-2,1-2,3,2,2,3,0,1,12,Juniata,Messiah_Juniata_12-14-2024
13,Haily Sherman,*,34,5-10,1-2,0-0,0-4,4,3,1,1,0,2,11,Juniata,Messiah_Juniata_12-14-2024
21,Bri Bodtorf,*,35,2-10,0-2,2-4,1-2,3,3,6,6,0,1,6,Juniata,Messiah_Juniata_12-14-2024
11,Olivia Berg,*,24,1-6,0-4,0-0,1-1,2,0,2,3,0,2,2,Juniata,Messiah_Juniata_12-14-2024
23,Deja Gillo,,16,2-6,1-4,1-2,0-3,3,0,2,3,0,0,6,Juniata,Messiah_Juniata_12-14-2024
43,Emily McCann,,11,0-0,0-0,1-2,0-1,1,1,0,1,0,0,1,Juniata,Messiah_Juniata_12-14-2024
24,Emma Coolidge,,12,0-0,0-0,0-0,1-2,3,0,0,2,0,1,0,Juniata,Messiah_Juniata_12-14-2024
TM,TMTeam,,0,0-0,0-0,0-0,0-2,2,0,0,1,0,0,0,Juniata,Messiah_Juniata_12-14-2024
