##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
45,"Bondi,Alyssa",*,28,3-10,2-6,0-0,0-0,0,2,0,1,0,1,8,Misericordia,Misericordia_Drew_11-13-2021
10,"Haefele,Morgan",*,26,2-4,1-1,0-0,0-2,2,2,0,5,0,1,5,Misericordia,Misericordia_Drew_11-13-2021
12,"Santacroce,Melina",*,22,2-4,0-0,0-0,1-3,4,2,4,2,0,2,4,Misericordia,Misericordia_Drew_11-13-2021
02,"Fasti,Elizabeth",*,27,1-2,0-0,0-0,0-4,4,0,2,1,0,1,2,Misericordia,Misericordia_Drew_11-13-2021
22,"Delfino,Gianna",*,19,1-6,0-2,0-0,1-2,3,2,1,1,0,1,2,Misericordia,Misericordia_Drew_11-13-2021
33,"McCaffrey,Meaghan",,18,5-11,0-1,0-2,1-3,4,3,0,1,1,0,10,Misericordia,Misericordia_Drew_11-13-2021
03,"Dowling,Skylar",,18,3-9,1-4,0-0,0-2,2,0,2,3,0,2,7,Misericordia,Misericordia_Drew_11-13-2021
43,"Captoni,Chloe",,3,1-2,1-2,1-2,0-2,2,1,1,0,0,0,4,Misericordia,Misericordia_Drew_11-13-2021
32,"Tracey,Nora",,8,1-4,0-0,1-2,0-2,2,0,1,0,0,0,3,Misericordia,Misericordia_Drew_11-13-2021
04,"Martin,Carley",,2,1-1,1-1,0-0,0-0,0,1,0,0,0,0,3,Misericordia,Misericordia_Drew_11-13-2021
14,"McDonald,Rachel",,4,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Misericordia,Misericordia_Drew_11-13-2021
25,"Bianchi,Skylar",,3,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Misericordia,Misericordia_Drew_11-13-2021
11,"DiMartino,Lauren",,2,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Misericordia,Misericordia_Drew_11-13-2021
24,"Franklin,Becca",,2,1-1,0-0,0-0,0-0,0,0,1,0,0,0,2,Misericordia,Misericordia_Drew_11-13-2021
15,"Postiglione,Jordan",,10,0-1,0-0,0-0,0-3,3,2,0,0,0,0,0,Misericordia,Misericordia_Drew_11-13-2021
13,"Hardy,Samantha",,6,0-1,0-0,0-0,0-1,1,0,1,2,1,0,0,Misericordia,Misericordia_Drew_11-13-2021
23,"Grosch,Jocelyn",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Misericordia,Misericordia_Drew_11-13-2021
20,"Frederick,Erin",*,31,4-14,0-0,5-6,2-3,5,1,3,2,3,2,13,Drew,Misericordia_Drew_11-13-2021
23,"Meyers,Joey",*,36,4-7,0-1,2-2,5-9,14,1,3,1,0,0,10,Drew,Misericordia_Drew_11-13-2021
22,"Timinski,Brooke",*,14,2-7,1-6,0-0,0-2,2,0,0,0,1,1,5,Drew,Misericordia_Drew_11-13-2021
02,"Alberici,Gwen",*,32,0-2,0-0,2-2,0-5,5,3,6,3,0,4,2,Drew,Misericordia_Drew_11-13-2021
25,"Struble,Jamie",*,17,0-2,0-0,0-0,1-0,1,0,1,1,0,0,0,Drew,Misericordia_Drew_11-13-2021
33,"Campbell,Sekya",,24,8-14,0-0,3-5,5-3,8,2,0,4,0,1,19,Drew,Misericordia_Drew_11-13-2021
04,"Wojtowicz,Katrina",,22,4-8,4-8,0-0,0-5,5,1,1,0,1,2,12,Drew,Misericordia_Drew_11-13-2021
05,"Genua,Micela",,8,1-1,0-0,0-0,0-1,1,1,0,2,0,0,2,Drew,Misericordia_Drew_11-13-2021
11,"Cruse,Lauren",,9,0-1,0-0,0-0,0-0,0,1,0,1,1,1,0,Drew,Misericordia_Drew_11-13-2021
13,"Mann,Kyra",,4,0-2,0-1,0-0,1-0,1,0,0,1,0,0,0,Drew,Misericordia_Drew_11-13-2021
03,"Lalo,Izzy",,2,0-1,0-0,0-0,0-0,0,0,0,2,1,0,0,Drew,Misericordia_Drew_11-13-2021
50,"Antin,Sam",,1,0-1,0-0,0-0,0-0,0,1,0,1,0,0,0,Drew,Misericordia_Drew_11-13-2021
