##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
45,"Bondi,Alyssa",*,38,4-11,0-1,3-5,1-2,3,1,2,1,0,0,11,Misericordia,Misericordia_Scranton_12-7-2022
22,"Delfino,Gianna",*,28,2-11,2-4,3-4,3-9,12,4,2,8,1,2,9,Misericordia,Misericordia_Scranton_12-7-2022
12,"Santacroce,Melina",*,29,2-8,0-0,2-2,3-7,10,3,0,3,1,3,6,Misericordia,Misericordia_Scranton_12-7-2022
02,"Fasti,Elizabeth",*,28,2-5,1-3,0-0,0-2,2,0,3,2,0,0,5,Misericordia,Misericordia_Scranton_12-7-2022
10,"Haefele,Morgan",*,33,1-6,1-3,1-2,0-3,3,2,2,4,0,1,4,Misericordia,Misericordia_Scranton_12-7-2022
33,"McCaffrey,Meaghan",,14,3-5,0-0,0-0,1-1,2,4,0,2,1,0,6,Misericordia,Misericordia_Scranton_12-7-2022
25,"Bianchi,Skylar",,9,1-3,0-0,1-2,1-2,3,0,0,0,0,0,3,Misericordia,Misericordia_Scranton_12-7-2022
03,"Dowling,Skylar",,20,1-8,0-3,0-0,1-2,3,3,0,1,0,0,2,Misericordia,Misericordia_Scranton_12-7-2022
23,"Grosch,Jocelyn",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Misericordia,Misericordia_Scranton_12-7-2022
11,"Kranson,Kaci",*,32,6-14,0-1,2-4,2-2,4,2,1,3,0,2,14,Scranton,Misericordia_Scranton_12-7-2022
24,"Monaghan,Bridget",*,33,2-11,1-2,5-5,0-4,4,1,4,2,0,4,10,Scranton,Misericordia_Scranton_12-7-2022
00,"Angelini,Hannah",*,30,4-7,1-2,1-2,0-3,3,4,2,0,0,2,10,Scranton,Misericordia_Scranton_12-7-2022
21,"Ryan,Maddy",*,28,4-9,0-0,2-3,3-1,4,2,0,2,0,3,10,Scranton,Misericordia_Scranton_12-7-2022
20,"Rajza,Samantha",*,34,1-6,1-3,3-4,0-9,9,1,5,0,0,3,6,Scranton,Misericordia_Scranton_12-7-2022
13,"Hartnett,Maddie",,12,3-3,0-0,2-2,0-2,2,0,1,0,1,0,8,Scranton,Misericordia_Scranton_12-7-2022
32,"Walsh,Sara",,10,2-4,0-0,0-0,0-2,2,2,0,0,1,0,4,Scranton,Misericordia_Scranton_12-7-2022
10,"Lynch,Allie",,17,1-4,0-2,0-0,0-2,2,3,2,4,0,1,2,Scranton,Misericordia_Scranton_12-7-2022
02,"Bender,Ashlyn",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Misericordia_Scranton_12-7-2022
03,"Brewer,Morgan",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Misericordia_Scranton_12-7-2022
22,"Nolan,Leah",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Misericordia_Scranton_12-7-2022
30,"Steele,Mackenzie",,1,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Scranton,Misericordia_Scranton_12-7-2022
