##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,"Grosch,Jocelyn",*,21,3-12,2-5,0-0,1-1,2,2,2,2,0,0,8,Misericordia,Misericordia_Susquehanna_12-17-2024
14,"Romanowski,Emily",*,29,2-6,0-1,2-4,1-7,8,3,4,3,0,3,6,Misericordia,Misericordia_Susquehanna_12-17-2024
02,"Cirigliano,Ava",*,29,2-7,1-3,0-0,2-3,5,1,2,3,2,1,5,Misericordia,Misericordia_Susquehanna_12-17-2024
25,"Janeski,Morgan",*,11,1-6,0-1,0-0,0-0,0,0,2,1,0,1,2,Misericordia,Misericordia_Susquehanna_12-17-2024
22,"Carmosino,Jordan",*,15,0-2,0-2,0-0,0-0,0,3,0,0,0,0,0,Misericordia,Misericordia_Susquehanna_12-17-2024
03,"Sweeney,Caitlin",,12,1-3,1-2,4-4,0-1,1,0,0,0,0,0,7,Misericordia,Misericordia_Susquehanna_12-17-2024
43,"Captoni,Chloe",,22,2-5,1-1,0-0,0-3,3,1,1,6,0,2,5,Misericordia,Misericordia_Susquehanna_12-17-2024
10,"Torchia,Alina",,21,2-4,1-2,0-0,0-2,2,3,1,5,0,2,5,Misericordia,Misericordia_Susquehanna_12-17-2024
05,"Heyman,Caisey",,12,2-6,0-4,0-0,1-0,1,1,1,2,0,1,4,Misericordia,Misericordia_Susquehanna_12-17-2024
32,"Casey,Samantha",,16,1-3,0-0,0-0,0-5,5,1,0,1,1,0,2,Misericordia,Misericordia_Susquehanna_12-17-2024
33,"Landgraf,Caitlin",,12,1-4,0-0,0-1,2-1,3,2,0,0,0,0,2,Misericordia,Misericordia_Susquehanna_12-17-2024
03,"Selvaggi,Kenzie",*,26,10-15,3-7,3-3,1-1,2,2,3,3,0,1,26,Susquehanna,Misericordia_Susquehanna_12-17-2024
00,"Pinckert,Julia",*,27,4-9,0-3,3-4,0-3,3,1,4,3,0,1,11,Susquehanna,Misericordia_Susquehanna_12-17-2024
11,"Weyant,Sydney",*,29,4-11,2-5,0-0,1-2,3,0,2,2,0,1,10,Susquehanna,Misericordia_Susquehanna_12-17-2024
14,"Meehan,Grace",*,22,1-4,1-3,0-0,1-7,8,3,2,4,0,4,3,Susquehanna,Misericordia_Susquehanna_12-17-2024
24,"Maffei,Zoie",*,22,1-5,0-0,0-0,0-6,6,1,2,1,0,0,2,Susquehanna,Misericordia_Susquehanna_12-17-2024
15,"Greek,Annie",,22,2-7,1-4,3-4,1-3,4,2,2,1,0,1,8,Susquehanna,Misericordia_Susquehanna_12-17-2024
05,"Klein,Lauren",,21,3-7,0-2,0-0,3-4,7,1,3,3,0,3,6,Susquehanna,Misericordia_Susquehanna_12-17-2024
12,"George,Carly",,21,2-5,0-0,0-0,3-4,7,2,2,2,0,0,4,Susquehanna,Misericordia_Susquehanna_12-17-2024
32,"Servitto,Greta",,10,0-0,0-0,2-2,1-3,4,0,0,1,1,0,2,Susquehanna,Misericordia_Susquehanna_12-17-2024
