##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
08,"Craigwell,Alyssa",*,30,8-11,0-0,3-6,5-8,13,3,2,3,5,3,19,Montclair St.,Montclair St._Drew_11-16-2024
05,"Vero,Olivia",*,31,4-12,0-0,4-4,4-6,10,3,2,4,0,1,12,Montclair St.,Montclair St._Drew_11-16-2024
00,"Strollo,Alexis",*,33,4-9,0-4,3-4,1-6,7,0,1,1,0,0,11,Montclair St.,Montclair St._Drew_11-16-2024
02,"Montajes,Brianna",*,20,1-7,0-1,0-0,2-3,5,1,0,4,2,1,2,Montclair St.,Montclair St._Drew_11-16-2024
40,"Beneventine,Sophie",*,17,1-2,0-0,0-0,2-1,3,3,4,4,0,0,2,Montclair St.,Montclair St._Drew_11-16-2024
04,"Castro,Amanda",,15,4-11,2-6,0-0,0-2,2,1,2,0,0,1,10,Montclair St.,Montclair St._Drew_11-16-2024
25,"Hughes,Shannon",,21,1-7,1-5,2-2,1-1,2,2,1,1,0,1,5,Montclair St.,Montclair St._Drew_11-16-2024
01,"Wentz,Daja",,9,1-5,0-0,2-2,0-0,0,1,2,2,0,0,4,Montclair St.,Montclair St._Drew_11-16-2024
15,"Ross,Lyndsey",,3,1-1,1-1,0-0,2-0,2,0,0,0,0,0,3,Montclair St.,Montclair St._Drew_11-16-2024
10,"Phillip,Samantha",,8,0-2,0-1,0-0,0-0,0,1,0,0,0,1,0,Montclair St.,Montclair St._Drew_11-16-2024
21,"Orlando,Isabella",,8,0-0,0-0,0-0,0-0,0,1,1,0,0,0,0,Montclair St.,Montclair St._Drew_11-16-2024
23,"Sullivan,Malvina",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Montclair St.,Montclair St._Drew_11-16-2024
20,"Marcotte,Madison",,2,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Montclair St.,Montclair St._Drew_11-16-2024
14,"Pica,Gianna",*,35,6-14,0-4,6-10,1-5,6,0,0,3,0,1,18,Drew,Montclair St._Drew_11-16-2024
04,"Rachilla,Amy",*,32,4-10,2-3,3-4,0-0,0,2,4,3,0,1,13,Drew,Montclair St._Drew_11-16-2024
02,"Beyer,Maddie",*,26,1-5,0-2,1-2,0-3,3,0,3,4,0,0,3,Drew,Montclair St._Drew_11-16-2024
30,"Diaz,Miabella",*,26,0-8,0-4,2-2,3-1,4,1,3,0,0,0,2,Drew,Montclair St._Drew_11-16-2024
20,"Hezel,Brenna",*,24,0-3,0-0,0-0,0-4,4,3,1,0,1,1,0,Drew,Montclair St._Drew_11-16-2024
22,"Hezel,Gracie",,22,2-4,0-0,2-2,0-6,6,1,0,2,0,3,6,Drew,Montclair St._Drew_11-16-2024
24,"Altomare,Alice",,16,2-7,1-6,0-0,0-1,1,2,0,3,1,3,5,Drew,Montclair St._Drew_11-16-2024
03,"Lalo,Izzy",,8,0-1,0-1,2-2,0-0,0,0,0,1,0,1,2,Drew,Montclair St._Drew_11-16-2024
11,"Kingsley,Jocelyn",,10,0-0,0-0,0-0,1-1,2,1,0,1,0,1,0,Drew,Montclair St._Drew_11-16-2024
10,"Bass,Emily",,1,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Montclair St._Drew_11-16-2024
12,"Schiralli,Camille",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Montclair St._Drew_11-16-2024
