##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
01,Sam Osorio,*,33,5-11,0-0,5-6,4-5,9,2,2,3,1,3,15,Moravian University,Moravian University_Albright College_11-18-2023
10,Brielle Guarente,*,27,3-11,0-0,1-1,0-3,3,3,1,1,1,3,7,Moravian University,Moravian University_Albright College_11-18-2023
21,Grace Steffen,*,28,2-3,0-0,1-4,3-4,7,1,1,2,3,1,5,Moravian University,Moravian University_Albright College_11-18-2023
24,Lizzie Lustig,*,15,1-2,0-0,0-0,0-2,2,1,1,1,0,0,2,Moravian University,Moravian University_Albright College_11-18-2023
14,Reganne Flannery,*,24,0-5,0-3,0-0,0-2,2,0,1,3,0,1,0,Moravian University,Moravian University_Albright College_11-18-2023
22,Juliana Vassallo,,23,4-15,3-6,2-2,0-3,3,4,1,2,0,2,13,Moravian University,Moravian University_Albright College_11-18-2023
20,Lanie Herbert,,11,2-3,0-0,2-2,1-1,2,1,0,0,0,0,6,Moravian University,Moravian University_Albright College_11-18-2023
12,Mikayla Anderson,,23,1-5,0-1,0-0,1-2,3,3,2,0,0,0,2,Moravian University,Moravian University_Albright College_11-18-2023
04,Jayda Cartagena,,11,0-3,0-0,2-2,0-0,0,2,2,3,0,0,2,Moravian University,Moravian University_Albright College_11-18-2023
00,Emma Altmire,,5,0-0,0-0,1-4,0-1,1,2,0,1,0,0,1,Moravian University,Moravian University_Albright College_11-18-2023
01,Mackenzie Dover,*,36,5-17,3-10,3-4,0-8,8,4,5,0,0,4,16,Albright College,Moravian University_Albright College_11-18-2023
23,Julia Zakovitch,*,33,5-8,0-0,2-2,0-1,1,1,1,4,2,2,12,Albright College,Moravian University_Albright College_11-18-2023
22,Orianna Edmond,*,27,4-10,0-0,3-3,2-9,11,3,1,3,0,2,11,Albright College,Moravian University_Albright College_11-18-2023
33,Kamyra Dorsey,*,12,2-5,1-3,0-0,3-3,6,0,0,3,0,0,5,Albright College,Moravian University_Albright College_11-18-2023
13,CJ Apistar,*,31,0-7,0-2,3-4,3-6,9,1,3,3,0,4,3,Albright College,Moravian University_Albright College_11-18-2023
24,Kenedy  Cooper,,19,3-4,2-2,3-4,1-2,3,2,0,2,0,0,11,Albright College,Moravian University_Albright College_11-18-2023
03,Gigi Serrano,,14,0-5,0-2,2-2,1-0,1,3,0,0,0,0,2,Albright College,Moravian University_Albright College_11-18-2023
15,Julia  Parmelee,,3,0-0,0-0,2-2,0-0,0,0,1,1,0,0,2,Albright College,Moravian University_Albright College_11-18-2023
00,Shakyla Mayo,,9,0-2,0-1,0-0,0-1,1,1,0,2,0,0,0,Albright College,Moravian University_Albright College_11-18-2023
10,Saidat Abbas,,7,0-1,0-0,0-0,0-1,1,3,0,0,1,0,0,Albright College,Moravian University_Albright College_11-18-2023
02,Jacey Petruno,,7,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Albright College,Moravian University_Albright College_11-18-2023
20,Juliana Harris,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Albright College,Moravian University_Albright College_11-18-2023
