##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,Brielle Guarente,*,33,5-11,0-1,1-3,0-5,5,2,0,5,0,2,11,Moravian University,Moravian University_Muhlenberg College_11-8-2023
14,Reganne Flannery,*,33,2-8,0-2,0-0,0-2,2,1,0,2,1,1,4,Moravian University,Moravian University_Muhlenberg College_11-8-2023
22,Juliana Vassallo,*,15,2-9,0-3,0-0,0-1,1,3,0,0,0,0,4,Moravian University,Moravian University_Muhlenberg College_11-8-2023
1,Sam Osorio,*,28,0-4,0-0,2-2,0-8,8,1,1,5,3,0,2,Moravian University,Moravian University_Muhlenberg College_11-8-2023
24,Lizzie Lustig,*,24,0-3,0-2,1-2,0-1,1,0,3,1,0,0,1,Moravian University,Moravian University_Muhlenberg College_11-8-2023
4,Jayda Cartagena,,14,2-5,2-2,0-0,0-1,1,0,0,1,0,0,6,Moravian University,Moravian University_Muhlenberg College_11-8-2023
0,Emma Altmire,,9,1-1,1-1,0-0,1-1,2,0,0,1,1,0,3,Moravian University,Moravian University_Muhlenberg College_11-8-2023
21,Grace Steffen,,19,1-3,0-0,0-2,1-3,4,2,1,3,0,0,2,Moravian University,Moravian University_Muhlenberg College_11-8-2023
12,Mikayla Anderson,,18,0-2,0-0,0-0,2-6,8,1,1,1,1,0,0,Moravian University,Moravian University_Muhlenberg College_11-8-2023
11,Yarian Fernandez,,7,0-0,0-0,0-0,1-0,1,0,0,0,0,0,0,Moravian University,Moravian University_Muhlenberg College_11-8-2023
TM,TMTeam,,0,0-0,0-0,0-0,3-3,6,0,0,0,0,0,0,Moravian University,Moravian University_Muhlenberg College_11-8-2023
13,Ava Connolly,*,36,7-19,3-9,0-1,2-1,3,0,1,1,1,1,17,Muhlenberg College,Moravian University_Muhlenberg College_11-8-2023
2,Rachel Saxton,*,36,4-10,1-3,0-0,1-4,5,0,1,3,0,4,9,Muhlenberg College,Moravian University_Muhlenberg College_11-8-2023
23,Caroline Horst,*,28,3-5,0-0,1-2,1-5,6,1,3,1,1,3,7,Muhlenberg College,Moravian University_Muhlenberg College_11-8-2023
22,Mia Fitzgerald,*,29,1-7,0-3,3-4,3-0,3,1,3,0,0,0,5,Muhlenberg College,Moravian University_Muhlenberg College_11-8-2023
30,Emily Unger,*,19,1-9,1-7,0-0,1-6,7,0,0,0,0,0,3,Muhlenberg College,Moravian University_Muhlenberg College_11-8-2023
15,Jenna Stockfeder,,21,1-5,0-0,0-0,1-6,7,2,0,2,0,0,2,Muhlenberg College,Moravian University_Muhlenberg College_11-8-2023
00,Avery McNulty,,8,1-1,0-0,0-0,0-1,1,1,1,2,2,0,2,Muhlenberg College,Moravian University_Muhlenberg College_11-8-2023
3,Megan Winters,,15,0-1,0-0,0-0,1-1,2,3,1,0,0,0,0,Muhlenberg College,Moravian University_Muhlenberg College_11-8-2023
5,Riley Cassidy,,4,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Muhlenberg College,Moravian University_Muhlenberg College_11-8-2023
4,Katie McGrath,,4,0-3,0-3,0-0,0-0,0,0,0,0,0,0,0,Muhlenberg College,Moravian University_Muhlenberg College_11-8-2023
TM,TMTeam,,0,0-0,0-0,0-0,3-3,6,0,0,0,0,0,0,Muhlenberg College,Moravian University_Muhlenberg College_11-8-2023
