##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
02,Kayla Yoegel,*,37,7-18,1-4,1-3,1-2,3,0,0,1,1,1,16,Moravian University,Moravian University_Susquehanna University_2-9-2022
05,Emily Markowski,*,29,3-5,1-1,2-5,1-3,4,1,2,2,0,1,9,Moravian University,Moravian University_Susquehanna University_2-9-2022
23,Madison Amy,*,38,3-8,0-1,2-2,3-3,6,1,4,1,0,1,8,Moravian University,Moravian University_Susquehanna University_2-9-2022
24,Morgan Amy,*,37,4-8,0-2,0-0,1-6,7,4,5,1,0,1,8,Moravian University,Moravian University_Susquehanna University_2-9-2022
01,Sam Osorio,*,27,3-9,0-0,1-4,0-8,8,2,2,6,0,4,7,Moravian University,Moravian University_Susquehanna University_2-9-2022
10,Brielle Guarente,,15,3-6,0-0,0-2,1-3,4,3,0,2,0,0,6,Moravian University,Moravian University_Susquehanna University_2-9-2022
25,Ashley Robinson,,4,2-2,0-0,1-2,1-1,2,0,0,2,0,0,5,Moravian University,Moravian University_Susquehanna University_2-9-2022
30,Gracie Hezel,,12,1-2,0-0,0-0,1-1,2,3,1,1,0,0,2,Moravian University,Moravian University_Susquehanna University_2-9-2022
12,Mikayla Anderson,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian University,Moravian University_Susquehanna University_2-9-2022
30,Kaitlyn Lynch,*,27,6-9,4-6,1-2,1-1,2,4,2,3,1,0,17,Susquehanna University,Moravian University_Susquehanna University_2-9-2022
10,Erin McQuillen,*,34,3-11,0-1,3-3,8-4,12,1,4,1,0,1,9,Susquehanna University,Moravian University_Susquehanna University_2-9-2022
14,Isabella Schwabe,*,35,2-6,0-0,3-4,5-6,11,4,0,6,1,1,7,Susquehanna University,Moravian University_Susquehanna University_2-9-2022
21,Olivia Brandt,*,36,2-14,0-3,2-4,3-8,11,4,2,0,0,0,6,Susquehanna University,Moravian University_Susquehanna University_2-9-2022
12,Amanda Lemire,*,32,3-14,0-5,0-0,0-1,1,2,5,6,0,1,6,Susquehanna University,Moravian University_Susquehanna University_2-9-2022
24,Sadie Comfort,,15,1-5,0-3,0-0,0-2,2,1,1,2,1,0,2,Susquehanna University,Moravian University_Susquehanna University_2-9-2022
25,Alicia Goldenziel,,3,1-1,0-0,0-0,0-0,0,2,0,0,0,0,2,Susquehanna University,Moravian University_Susquehanna University_2-9-2022
20,Megan Emlet,,12,0-3,0-2,0-0,0-2,2,0,0,0,0,0,0,Susquehanna University,Moravian University_Susquehanna University_2-9-2022
03,Kenzie Selvaggi,,6,0-2,0-2,0-0,0-1,1,1,0,0,0,0,0,Susquehanna University,Moravian University_Susquehanna University_2-9-2022
