##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
02,Kayla Yoegel,*,37,10-22,0-3,7-9,4-6,10,4,3,6,1,1,27,Moravian University,Moravian University_TCNJ_11-20-2021
23,Madison Amy,*,31,7-16,4-8,0-0,0-1,1,5,2,3,0,1,18,Moravian University,Moravian University_TCNJ_11-20-2021
05,Emily Markowski,*,25,2-7,0-1,2-2,2-1,3,4,1,1,0,0,6,Moravian University,Moravian University_TCNJ_11-20-2021
30,Gracie Hezel,*,14,1-2,0-0,4-6,2-3,5,2,2,0,0,0,6,Moravian University,Moravian University_TCNJ_11-20-2021
24,Morgan Amy,*,34,1-13,0-2,2-2,0-3,3,4,3,1,0,4,4,Moravian University,Moravian University_TCNJ_11-20-2021
01,Sam Osorio,,21,1-3,0-0,3-4,0-0,0,2,0,3,0,1,5,Moravian University,Moravian University_TCNJ_11-20-2021
20,Anika Buzzy,,8,1-1,0-0,1-1,0-0,0,0,1,0,0,0,3,Moravian University,Moravian University_TCNJ_11-20-2021
10,Brielle Guarente,,12,1-4,0-0,0-0,1-0,1,3,0,1,0,0,2,Moravian University,Moravian University_TCNJ_11-20-2021
14,Reganne Flannery,,12,1-4,0-1,0-0,4-1,5,1,0,1,1,0,2,Moravian University,Moravian University_TCNJ_11-20-2021
11,Brielle Smith,,3,1-1,0-0,0-0,0-2,2,0,0,0,0,0,2,Moravian University,Moravian University_TCNJ_11-20-2021
40,Sara Geary,,3,0-1,0-0,0-0,0-0,0,0,0,0,0,1,0,Moravian University,Moravian University_TCNJ_11-20-2021
15,Julia Setaro,*,34,8-16,4-8,5-5,0-0,0,2,3,4,0,2,25,TCNJ,Moravian University_TCNJ_11-20-2021
23,Nikki Alexatos,*,23,2-6,1-4,3-4,0-4,4,2,0,6,0,1,8,TCNJ,Moravian University_TCNJ_11-20-2021
32,Isabella Cafaro,*,13,1-5,0-2,3-3,0-3,3,1,1,2,2,0,5,TCNJ,Moravian University_TCNJ_11-20-2021
30,Morgan Heller,*,12,1-2,0-1,0-0,0-1,1,3,2,0,1,0,2,TCNJ,Moravian University_TCNJ_11-20-2021
31,Emily Toy,*,12,0-3,0-2,0-0,0-2,2,5,0,0,0,0,0,TCNJ,Moravian University_TCNJ_11-20-2021
20,Sydney Blum,,35,3-8,3-5,5-8,2-9,11,4,3,2,0,1,14,TCNJ,Moravian University_TCNJ_11-20-2021
05,Izzy Leazier,,11,3-3,0-0,4-7,0-2,2,1,2,1,0,0,10,TCNJ,Moravian University_TCNJ_11-20-2021
10,Nina Branchizio,,14,1-2,1-2,6-8,0-2,2,0,4,2,0,0,9,TCNJ,Moravian University_TCNJ_11-20-2021
44,Arianna McCleod,,15,3-5,0-1,0-0,2-0,2,1,1,1,0,1,6,TCNJ,Moravian University_TCNJ_11-20-2021
21,Beth Grossman,,21,2-3,0-0,1-2,2-3,5,1,0,1,0,0,5,TCNJ,Moravian University_TCNJ_11-20-2021
14,Kaitlyn Deiter,,10,1-1,0-0,0-0,0-5,5,3,0,1,0,2,2,TCNJ,Moravian University_TCNJ_11-20-2021
