##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
20,Tessa Zamolyi,*,27,6-16,1-2,0-0,5-12,17,3,0,1,1,0,13,Moravian University,Moravian University_York (Pa.) College_11-12-2022
24,Morgan Amy,*,31,2-6,1-1,5-5,0-4,4,1,4,1,0,1,10,Moravian University,Moravian University_York (Pa.) College_11-12-2022
02,Kayla Yoegel,*,27,2-11,0-2,4-6,5-2,7,1,1,3,0,3,8,Moravian University,Moravian University_York (Pa.) College_11-12-2022
01,Sam Osorio,*,26,1-8,0-0,1-2,4-3,7,2,0,5,2,1,3,Moravian University,Moravian University_York (Pa.) College_11-12-2022
05,Emily Markowski,*,23,0-7,0-3,1-2,0-1,1,2,3,2,0,1,1,Moravian University,Moravian University_York (Pa.) College_11-12-2022
10,Brielle Guarente,,27,4-8,0-1,1-2,1-3,4,1,0,0,0,2,9,Moravian University,Moravian University_York (Pa.) College_11-12-2022
25,Ashley Robinson,,11,1-3,0-1,2-2,0-1,1,1,0,0,0,0,4,Moravian University,Moravian University_York (Pa.) College_11-12-2022
04,Jayda Cartagena,,16,1-3,0-0,0-0,1-0,1,0,1,0,0,0,2,Moravian University,Moravian University_York (Pa.) College_11-12-2022
12,Mikayla Anderson,,11,1-2,0-0,0-0,1-0,1,1,1,1,0,1,2,Moravian University,Moravian University_York (Pa.) College_11-12-2022
15,Sarah Miniter,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian University,Moravian University_York (Pa.) College_11-12-2022
25,Bradi Zumbrum,*,31,9-12,0-1,0-0,2-5,7,4,1,0,0,1,18,York (Pa.) College,Moravian University_York (Pa.) College_11-12-2022
11,Savannah Wilson,*,36,4-11,1-5,2-2,1-8,9,3,6,5,1,4,11,York (Pa.) College,Moravian University_York (Pa.) College_11-12-2022
02,Tori Geitner,*,30,2-7,0-4,0-0,0-2,2,2,2,1,0,0,4,York (Pa.) College,Moravian University_York (Pa.) College_11-12-2022
14,Taylor Burda,*,29,1-12,0-10,0-0,2-3,5,1,0,1,0,2,2,York (Pa.) College,Moravian University_York (Pa.) College_11-12-2022
22,Brooklyn Naylor,*,27,1-7,0-0,0-0,4-4,8,4,0,3,2,0,2,York (Pa.) College,Moravian University_York (Pa.) College_11-12-2022
15,Alyssa Hocker,,19,1-5,1-4,0-0,2-0,2,1,1,2,0,1,3,York (Pa.) College,Moravian University_York (Pa.) College_11-12-2022
20,Taylor Brenneman,,15,1-7,0-0,0-0,1-1,2,4,1,2,0,0,2,York (Pa.) College,Moravian University_York (Pa.) College_11-12-2022
05,Rosalynn Diehl,,4,1-1,0-0,0-0,1-1,2,0,1,1,0,0,2,York (Pa.) College,Moravian University_York (Pa.) College_11-12-2022
30,Bailey Springer,,4,0-1,0-1,0-0,0-0,0,1,0,0,0,0,0,York (Pa.) College,Moravian University_York (Pa.) College_11-12-2022
03,Carey Smith,,4,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,York (Pa.) College,Moravian University_York (Pa.) College_11-12-2022
40,Molly Gutshall,,1,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,York (Pa.) College,Moravian University_York (Pa.) College_11-12-2022
