##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
05,Emily Markowski,*,31,4-11,3-4,2-8,0-2,2,3,1,3,0,1,13,Moravian,Moravian_Catholic_2-12-2022
01,Sam Osorio,*,27,5-8,0-0,2-4,7-8,15,4,0,1,1,0,12,Moravian,Moravian_Catholic_2-12-2022
02,Kayla Yoegel,*,23,3-7,0-2,4-6,0-3,3,1,1,2,0,2,10,Moravian,Moravian_Catholic_2-12-2022
24,Morgan Amy,*,25,3-5,1-3,0-0,0-0,0,3,2,3,0,0,7,Moravian,Moravian_Catholic_2-12-2022
23,Madison Amy,*,23,0-2,0-2,1-2,0-3,3,1,3,0,0,1,1,Moravian,Moravian_Catholic_2-12-2022
25,Ashley Robinson,,15,2-5,0-0,4-6,2-1,3,1,0,1,0,0,8,Moravian,Moravian_Catholic_2-12-2022
10,Brielle Guarente,,24,3-8,0-0,0-0,3-5,8,0,2,3,0,0,6,Moravian,Moravian_Catholic_2-12-2022
30,Gracie Hezel,,14,2-7,0-0,0-0,0-0,0,2,0,2,0,0,4,Moravian,Moravian_Catholic_2-12-2022
03,Vicky Donovan,,3,1-1,0-0,2-2,0-2,2,0,0,0,0,0,4,Moravian,Moravian_Catholic_2-12-2022
12,Mikayla Anderson,,5,0-0,0-0,0-0,0-1,1,0,1,0,0,0,0,Moravian,Moravian_Catholic_2-12-2022
40,Sara Geary,,4,0-3,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Moravian_Catholic_2-12-2022
13,Rileigh Serroni,,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Moravian,Moravian_Catholic_2-12-2022
15,Sydney DeFranco,,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Moravian_Catholic_2-12-2022
25,Erin Doherty,*,27,7-12,2-4,5-7,2-2,4,3,3,1,0,1,21,Catholic,Moravian_Catholic_2-12-2022
04,Erin Thompson,*,22,4-9,2-4,1-1,0-2,2,1,1,0,0,1,11,Catholic,Moravian_Catholic_2-12-2022
01,Rachel Bussanich,*,18,2-7,0-0,6-8,7-4,11,1,0,0,2,0,10,Catholic,Moravian_Catholic_2-12-2022
23,Amanda Johnson,*,30,3-12,3-7,0-0,3-5,8,3,7,0,0,1,9,Catholic,Moravian_Catholic_2-12-2022
10,Amelia Baldo,*,26,4-6,0-0,0-0,1-2,3,1,3,4,0,1,8,Catholic,Moravian_Catholic_2-12-2022
35,Luca Mamula,,24,8-15,0-0,0-0,2-7,9,2,0,3,3,2,16,Catholic,Moravian_Catholic_2-12-2022
22,Carly Mulvaney,,15,1-2,1-2,0-0,0-1,1,4,1,0,0,0,3,Catholic,Moravian_Catholic_2-12-2022
12,Sammie McCarter,,21,0-4,0-2,2-4,0-3,3,2,0,1,0,0,2,Catholic,Moravian_Catholic_2-12-2022
34,Maggie Bednarek,,12,1-2,0-0,0-0,1-0,1,2,1,0,0,0,2,Catholic,Moravian_Catholic_2-12-2022
02,Ella Torp,,3,0-0,0-0,0-0,0-0,0,0,0,0,1,0,0,Catholic,Moravian_Catholic_2-12-2022
05,Sarah White,,1,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Moravian_Catholic_2-12-2022
20,Kaleigh Beirne,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Moravian_Catholic_2-12-2022
