##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
01,"Osorio,Sam",*,25,5-9,0-0,1-1,4-8,12,4,0,1,1,0,11,Moravian,Moravian_DeSales_11-22-2022
02,"Yoegel,Kayla",*,34,2-13,0-3,6-6,1-2,3,2,2,1,0,0,10,Moravian,Moravian_DeSales_11-22-2022
20,"Zamolyi,Tessa",*,31,4-15,0-2,0-0,4-9,13,1,0,2,0,0,8,Moravian,Moravian_DeSales_11-22-2022
05,"Markowski,Emily",*,25,2-7,1-3,2-2,1-3,4,2,0,2,1,1,7,Moravian,Moravian_DeSales_11-22-2022
24,"Amy,Morgan",*,27,3-9,0-3,0-0,0-0,0,4,0,1,0,1,6,Moravian,Moravian_DeSales_11-22-2022
10,"Guarente,Brielle",,24,4-9,0-1,0-0,3-3,6,4,3,2,1,3,8,Moravian,Moravian_DeSales_11-22-2022
14,"Flannery,Reganne",,16,1-5,0-1,0-0,1-0,1,2,1,2,0,1,2,Moravian,Moravian_DeSales_11-22-2022
25,"Robinson,Ashley",,9,0-2,0-0,0-0,2-0,2,0,0,1,0,0,0,Moravian,Moravian_DeSales_11-22-2022
12,"Anderson,Mikayla",,7,0-0,0-0,0-0,0-1,1,0,0,2,0,0,0,Moravian,Moravian_DeSales_11-22-2022
04,"Cartagena,Jayda",,2,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Moravian,Moravian_DeSales_11-22-2022
21,"Reese,Mikaela",*,37,8-15,0-0,1-2,2-6,8,2,2,1,4,0,17,DeSales,Moravian_DeSales_11-22-2022
22,"Bealer,Megan",*,36,5-6,0-1,1-10,1-11,12,1,3,3,0,2,11,DeSales,Moravian_DeSales_11-22-2022
24,"Welsh,Lindsey",*,23,2-5,1-3,4-4,0-3,3,0,1,1,0,1,9,DeSales,Moravian_DeSales_11-22-2022
23,"Newsome,Maria",*,26,3-6,0-2,0-0,0-2,2,2,5,0,0,2,6,DeSales,Moravian_DeSales_11-22-2022
05,"Rafferty,Abigail",*,24,1-5,0-0,3-6,4-2,6,2,0,4,1,0,5,DeSales,Moravian_DeSales_11-22-2022
14,"Saunders,Amelia",,22,3-11,2-7,0-0,0-1,1,1,2,1,0,2,8,DeSales,Moravian_DeSales_11-22-2022
33,"Donmoyer,Mikaili",,11,2-3,0-1,1-1,0-0,0,1,0,2,0,0,5,DeSales,Moravian_DeSales_11-22-2022
12,"Scotti,Olivia",,16,0-2,0-0,1-2,0-3,3,1,1,1,0,1,1,DeSales,Moravian_DeSales_11-22-2022
31,"Kelleher,Grace",,2,0-0,0-0,1-2,0-0,0,0,0,1,0,1,1,DeSales,Moravian_DeSales_11-22-2022
10,"Evans,Emily",,3,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,DeSales,Moravian_DeSales_11-22-2022
