##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
02,"Yoegel,Kayla",*,34,4-15,1-5,4-4,1-3,4,2,1,3,1,0,13,Moravian,Moravian_Drew_1-31-2022
23,"Amy,Madison",*,23,3-6,2-3,1-2,0-0,0,4,0,1,0,1,9,Moravian,Moravian_Drew_1-31-2022
01,"Osorio,Sam",*,23,3-8,0-0,0-0,2-6,8,2,0,3,1,1,6,Moravian,Moravian_Drew_1-31-2022
05,"Markowski,Emily",*,29,2-6,0-1,0-0,2-4,6,3,3,1,0,1,4,Moravian,Moravian_Drew_1-31-2022
24,"Amy,Morgan",*,28,1-7,0-1,1-2,1-2,3,3,4,2,0,1,3,Moravian,Moravian_Drew_1-31-2022
10,"Guarente,Brielle",,21,3-10,0-0,0-0,1-1,2,4,1,4,0,2,6,Moravian,Moravian_Drew_1-31-2022
30,"Hezel,Gracie",,17,2-8,0-0,0-0,1-1,2,2,0,2,0,1,4,Moravian,Moravian_Drew_1-31-2022
12,"Anderson,Mikayla",,10,1-2,0-0,0-0,3-0,3,0,2,0,0,1,2,Moravian,Moravian_Drew_1-31-2022
03,"Donovan,Vicky",,6,0-3,0-0,2-4,1-0,1,0,1,1,0,0,2,Moravian,Moravian_Drew_1-31-2022
13,"Serroni,Rileigh",,3,1-2,0-0,0-0,0-0,0,0,0,0,0,0,2,Moravian,Moravian_Drew_1-31-2022
15,"DeFranco,Sydney",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Moravian_Drew_1-31-2022
40,"Geary,Sara",,3,0-3,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Moravian_Drew_1-31-2022
20,"Frederick,Erin",*,29,12-16,0-0,2-2,2-6,8,1,1,2,3,1,26,Drew,Moravian_Drew_1-31-2022
23,"Meyers,Joey",*,32,3-10,1-2,10-12,0-1,1,1,4,2,1,3,17,Drew,Moravian_Drew_1-31-2022
33,"Campbell,Sekya",*,24,4-12,0-0,2-2,2-9,11,4,4,1,0,1,10,Drew,Moravian_Drew_1-31-2022
02,"Alberici,Gwen",*,25,0-2,0-1,6-6,0-4,4,3,8,3,0,2,6,Drew,Moravian_Drew_1-31-2022
15,"Kracht,Cecelia",*,25,0-2,0-0,1-2,3-6,9,3,2,3,3,0,1,Drew,Moravian_Drew_1-31-2022
13,"Mann,Kyra",,13,2-5,0-1,1-1,1-0,1,0,1,2,0,0,5,Drew,Moravian_Drew_1-31-2022
05,"Genua,Micela",,9,2-3,1-1,0-0,0-1,1,1,2,2,0,0,5,Drew,Moravian_Drew_1-31-2022
04,"Wojtowicz,Katrina",,8,1-2,1-2,0-0,1-2,3,0,1,0,0,0,3,Drew,Moravian_Drew_1-31-2022
22,"Timinski,Brooke",,7,1-2,1-1,0-0,0-1,1,1,0,1,0,0,3,Drew,Moravian_Drew_1-31-2022
50,"Antin,Sam",,2,1-1,0-0,0-0,0-1,1,1,0,0,0,0,2,Drew,Moravian_Drew_1-31-2022
25,"Struble,Jamie",,16,0-0,0-0,0-0,0-2,2,2,0,2,0,1,0,Drew,Moravian_Drew_1-31-2022
11,"Cruse,Lauren",,5,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Drew,Moravian_Drew_1-31-2022
03,"Lalo,Izzy",,3,0-0,0-0,0-0,0-0,0,1,0,2,0,0,0,Drew,Moravian_Drew_1-31-2022
10,"Graff,Carlye",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Moravian_Drew_1-31-2022
