##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
20,Tessa Zamolyi,*,27,8-14,2-5,0-0,7-5,12,3,3,3,1,3,18,Moravian,Moravian_Elizabethtown_1-7-2023
05,Emily Markowski,*,26,7-14,2-3,0-4,1-0,1,1,3,0,0,2,16,Moravian,Moravian_Elizabethtown_1-7-2023
10,Brielle Guarente,*,31,5-9,0-0,0-3,1-1,2,2,3,2,0,1,10,Moravian,Moravian_Elizabethtown_1-7-2023
24,Morgan Amy,*,25,2-10,0-3,0-0,0-1,1,3,5,5,0,2,4,Moravian,Moravian_Elizabethtown_1-7-2023
01,Sam Osorio,*,19,0-5,0-0,2-2,1-5,6,4,2,1,1,0,2,Moravian,Moravian_Elizabethtown_1-7-2023
25,Ashley Robinson,,27,6-8,1-2,4-4,0-6,6,1,1,2,0,0,17,Moravian,Moravian_Elizabethtown_1-7-2023
12,Mikayla Anderson,,14,1-4,0-0,0-0,0-0,0,3,0,0,0,0,2,Moravian,Moravian_Elizabethtown_1-7-2023
14,Reganne Flannery,,12,1-3,0-1,0-0,0-0,0,1,0,0,0,1,2,Moravian,Moravian_Elizabethtown_1-7-2023
15,Sarah Miniter,,9,0-1,0-0,1-2,0-0,0,0,0,0,0,0,1,Moravian,Moravian_Elizabethtown_1-7-2023
04,Jayda Cartagena,,10,0-4,0-0,0-0,0-0,0,2,0,1,0,0,0,Moravian,Moravian_Elizabethtown_1-7-2023
25,Summer McNulty,*,29,6-12,2-3,6-8,0-1,1,1,3,1,0,0,20,Elizabethtown,Moravian_Elizabethtown_1-7-2023
34,DaniRae Renno,*,30,9-14,0-0,1-1,6-9,15,1,2,1,2,0,19,Elizabethtown,Moravian_Elizabethtown_1-7-2023
04,Cyleigh Wilson,*,25,4-6,4-6,2-2,0-4,4,2,2,3,0,2,14,Elizabethtown,Moravian_Elizabethtown_1-7-2023
30,Jessica King,*,25,5-8,0-0,0-2,4-2,6,1,4,3,1,1,10,Elizabethtown,Moravian_Elizabethtown_1-7-2023
03,Lindsay Boyd,*,16,2-6,1-2,0-0,0-2,2,4,2,1,0,3,5,Elizabethtown,Moravian_Elizabethtown_1-7-2023
35,Cass Peris,,19,3-4,0-0,2-3,0-8,8,0,3,2,0,1,8,Elizabethtown,Moravian_Elizabethtown_1-7-2023
14,Kaeli Romanowski,,15,3-4,0-0,2-2,3-0,3,0,4,1,0,1,8,Elizabethtown,Moravian_Elizabethtown_1-7-2023
13,Taylor Huyck,,18,1-4,0-2,0-0,1-1,2,2,5,2,0,1,2,Elizabethtown,Moravian_Elizabethtown_1-7-2023
02,Makenna Mummert,,7,1-3,0-0,0-0,0-0,0,0,0,1,0,0,2,Elizabethtown,Moravian_Elizabethtown_1-7-2023
24,Ellie Fasick,,4,1-4,0-0,0-0,1-0,1,3,0,0,0,0,2,Elizabethtown,Moravian_Elizabethtown_1-7-2023
31,Allyia Kennedy,,3,1-1,0-0,0-0,1-1,2,1,0,0,1,0,2,Elizabethtown,Moravian_Elizabethtown_1-7-2023
12,Georgia Panopoulos,,1,1-1,0-0,0-0,0-0,0,0,0,0,0,1,2,Elizabethtown,Moravian_Elizabethtown_1-7-2023
33,Clare Marchese,,8,0-3,0-2,0-0,0-2,2,0,0,1,0,0,0,Elizabethtown,Moravian_Elizabethtown_1-7-2023
