##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
24,"Lustig,Lizzie",*,30,4-13,0-0,10-13,7-5,12,4,2,5,0,0,18,Moravian,Moravian_Goucher_1-29-2025
01,"Osorio,Sam",*,25,5-13,0-0,5-7,3-7,10,5,2,9,2,0,15,Moravian,Moravian_Goucher_1-29-2025
20,"Herbert,Lanie",*,24,6-12,0-0,0-2,6-8,14,0,1,3,0,1,12,Moravian,Moravian_Goucher_1-29-2025
12,"Anderson,Mikayla",*,21,3-3,0-0,0-0,0-5,5,3,3,4,0,1,6,Moravian,Moravian_Goucher_1-29-2025
22,"Vassallo,Juliana",*,15,3-7,0-1,0-0,0-2,2,4,2,4,0,0,6,Moravian,Moravian_Goucher_1-29-2025
05,"Wallbillich,Ellie",,26,2-5,0-0,13-16,1-6,7,2,1,2,0,1,17,Moravian,Moravian_Goucher_1-29-2025
04,"Cartagena,Jayda",,20,4-7,1-1,0-1,1-1,2,3,2,4,0,0,9,Moravian,Moravian_Goucher_1-29-2025
14,"Pukszyn,Emma",,27,1-2,0-0,4-6,1-5,6,3,3,4,0,0,6,Moravian,Moravian_Goucher_1-29-2025
11,"Squizziato,Sofia",,11,0-1,0-0,3-4,1-3,4,1,2,0,0,0,3,Moravian,Moravian_Goucher_1-29-2025
00,"Altmire,Emma",,1,0-1,0-1,0-0,0-1,1,1,0,1,0,0,0,Moravian,Moravian_Goucher_1-29-2025
20,"Whitaker,Amira",*,21,7-16,3-8,8-11,1-4,5,0,0,2,0,2,25,Goucher,Moravian_Goucher_1-29-2025
02,"Boykin,Meona",*,14,4-9,0-2,6-8,2-0,2,5,4,1,0,4,14,Goucher,Moravian_Goucher_1-29-2025
23,"Towns,Lauryn",*,19,4-5,0-0,2-3,1-1,2,5,2,3,1,2,10,Goucher,Moravian_Goucher_1-29-2025
04,"Igwe,Chi",*,21,1-6,0-0,2-4,1-3,4,4,0,0,0,1,4,Goucher,Moravian_Goucher_1-29-2025
10,"Townsend,Leila",*,10,2-5,0-1,0-0,1-1,2,3,0,1,0,2,4,Goucher,Moravian_Goucher_1-29-2025
03,"Villanueva,Maiya",,15,4-10,4-8,0-0,0-1,1,2,0,0,0,0,12,Goucher,Moravian_Goucher_1-29-2025
31,"Edens,Nia",,14,1-9,0-6,3-6,3-0,3,2,0,3,0,5,5,Goucher,Moravian_Goucher_1-29-2025
12,"Haggins,Briyah",,20,2-8,0-0,0-0,2-1,3,1,1,0,0,1,4,Goucher,Moravian_Goucher_1-29-2025
25,"Knox,Sanai",,14,1-6,0-0,1-2,2-3,5,2,0,1,0,0,3,Goucher,Moravian_Goucher_1-29-2025
22,"Turner,Merci",,18,0-10,0-6,2-4,3-1,4,5,0,2,1,0,2,Goucher,Moravian_Goucher_1-29-2025
15,"George,Nia",,14,0-3,0-2,0-0,0-2,2,2,0,1,0,0,0,Goucher,Moravian_Goucher_1-29-2025
21,"Holmes,Savannah",,13,0-2,0-1,0-0,2-0,2,3,0,3,0,4,0,Goucher,Moravian_Goucher_1-29-2025
06,"Vaselaros,Kiara",,7,0-1,0-0,0-0,0-2,2,0,0,1,0,1,0,Goucher,Moravian_Goucher_1-29-2025
