##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
24,Lizzie Lustig,*,36,6-10,1-3,0-0,2-3,5,1,0,2,0,1,13,Moravian,Moravian_Juniata_2-17-2024
21,Grace Steffen,*,30,5-12,0-1,0-0,2-7,9,4,1,2,0,0,10,Moravian,Moravian_Juniata_2-17-2024
10,Brielle Guarente,*,30,4-9,0-0,1-4,0-4,4,2,1,0,0,2,9,Moravian,Moravian_Juniata_2-17-2024
01,Sam Osorio,*,23,3-9,0-0,1-4,3-4,7,4,0,4,2,3,7,Moravian,Moravian_Juniata_2-17-2024
14,Reganne Flannery,*,22,0-4,0-2,0-0,0-1,1,2,8,2,0,1,0,Moravian,Moravian_Juniata_2-17-2024
22,Juliana Vassallo,,12,2-7,2-5,0-0,1-2,3,1,0,2,0,1,6,Moravian,Moravian_Juniata_2-17-2024
04,Jayda Cartagena,,16,2-5,0-0,1-2,0-2,2,4,1,3,0,0,5,Moravian,Moravian_Juniata_2-17-2024
12,Mikayla Anderson,,16,1-4,0-0,0-0,1-0,1,1,3,0,1,0,2,Moravian,Moravian_Juniata_2-17-2024
00,Emma Altmire,,5,0-2,0-2,0-0,0-0,0,0,0,0,0,0,0,Moravian,Moravian_Juniata_2-17-2024
20,Lanie Herbert,,5,0-0,0-0,0-0,0-1,1,0,1,0,0,1,0,Moravian,Moravian_Juniata_2-17-2024
TM,TMTeam,,0,0-0,0-0,0-0,1-5,6,0,0,0,0,0,0,Moravian,Moravian_Juniata_2-17-2024
03,Kynnedy Miller,*,28,4-7,0-1,4-6,0-3,3,1,2,0,0,1,12,Juniata,Moravian_Juniata_2-17-2024
21,Bri Bodtorf,*,22,3-10,1-2,2-2,0-4,4,2,1,5,0,2,9,Juniata,Moravian_Juniata_2-17-2024
35,Sarah Betts,*,26,2-5,1-2,2-2,0-2,2,0,0,2,0,0,7,Juniata,Moravian_Juniata_2-17-2024
13,Haily Sherman,*,21,3-10,1-4,0-0,1-4,5,1,0,2,1,1,7,Juniata,Moravian_Juniata_2-17-2024
04,Steph Emert,*,30,2-11,0-6,2-4,2-6,8,1,1,2,0,2,6,Juniata,Moravian_Juniata_2-17-2024
23,Deja Gillo,,22,1-3,1-2,5-6,0-0,0,1,4,3,0,1,8,Juniata,Moravian_Juniata_2-17-2024
31,Laney Gerdich,,24,2-3,0-0,0-0,0-5,5,0,0,1,0,1,4,Juniata,Moravian_Juniata_2-17-2024
24,Emma Coolidge,,11,1-1,0-0,0-0,1-2,3,1,0,1,0,0,2,Juniata,Moravian_Juniata_2-17-2024
43,Emily McCann,,11,1-1,0-0,0-0,1-2,3,2,2,1,0,0,2,Juniata,Moravian_Juniata_2-17-2024
22,Aleya Eisenberg,,4,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,Moravian_Juniata_2-17-2024
11,Olivia Berg,,1,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Juniata,Moravian_Juniata_2-17-2024
TM,TMTeam,,0,0-0,0-0,0-0,0-3,3,0,0,0,0,0,0,Juniata,Moravian_Juniata_2-17-2024
