##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
02,Kayla Yoegel,*,33,8-20,0-4,2-2,3-1,4,0,1,4,0,2,18,Moravian,Moravian_King's (PA)_12-28-2021
04,Jackie Kelly,*,33,5-14,2-7,2-2,0-3,3,3,3,1,0,1,14,Moravian,Moravian_King's (PA)_12-28-2021
01,Sam Osorio,*,31,7-12,0-0,0-3,5-11,16,2,2,3,0,0,14,Moravian,Moravian_King's (PA)_12-28-2021
10,Brielle Guarente,*,32,4-9,0-0,0-0,3-3,6,5,1,1,2,1,8,Moravian,Moravian_King's (PA)_12-28-2021
24,Morgan Amy,*,18,2-3,0-0,4-4,1-0,1,5,5,3,0,2,8,Moravian,Moravian_King's (PA)_12-28-2021
30,Gracie Hezel,,11,4-6,0-0,1-4,2-3,5,0,0,0,0,0,9,Moravian,Moravian_King's (PA)_12-28-2021
25,Ashley Robinson,,18,2-5,0-0,1-2,2-3,5,1,0,1,0,5,5,Moravian,Moravian_King's (PA)_12-28-2021
12,Mikayla Anderson,,12,0-3,0-0,0-0,1-0,1,4,0,1,0,0,0,Moravian,Moravian_King's (PA)_12-28-2021
03,Vicki Donovan,,11,0-1,0-1,0-0,0-1,1,1,1,1,0,0,0,Moravian,Moravian_King's (PA)_12-28-2021
15,Sydney DeFranco,,1,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Moravian,Moravian_King's (PA)_12-28-2021
20,Samantha Rajza,*,36,9-19,5-9,4-6,1-9,10,2,4,6,1,3,27,King's (PA),Moravian_King's (PA)_12-28-2021
03,Emily Morano,*,31,4-13,0-1,7-8,3-2,5,3,5,5,1,1,15,King's (PA),Moravian_King's (PA)_12-28-2021
04,Emily Kriston,*,29,2-8,1-4,8-9,2-2,4,2,2,3,0,1,13,King's (PA),Moravian_King's (PA)_12-28-2021
24,Caileigh Costello,*,26,4-6,0-0,5-6,0-6,6,3,2,3,0,2,13,King's (PA),Moravian_King's (PA)_12-28-2021
05,Kiersten Krouse,*,33,3-5,2-4,0-0,1-2,3,1,1,0,0,2,8,King's (PA),Moravian_King's (PA)_12-28-2021
12,Alli Lindsay,,26,2-5,2-4,2-2,0-3,3,4,2,1,0,0,8,King's (PA),Moravian_King's (PA)_12-28-2021
41,Zoe Stein,,13,0-2,0-0,0-0,0-0,0,0,0,0,0,0,0,King's (PA),Moravian_King's (PA)_12-28-2021
23,Cailin Wilson,,4,0-0,0-0,0-0,0-0,0,0,2,1,0,0,0,King's (PA),Moravian_King's (PA)_12-28-2021
01,Maddy White,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,King's (PA),Moravian_King's (PA)_12-28-2021
