##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
12,Sarah Donati,*,25,6-8,6-8,0-0,0-1,1,3,0,1,0,0,18,Moravian,Moravian_Lancaster Bible_1-30-2021
01,Sam Osorio,*,22,7-8,0-0,0-0,6-7,13,0,0,1,2,1,14,Moravian,Moravian_Lancaster Bible_1-30-2021
02,Kayla Yoegel,*,26,3-11,1-4,5-6,1-4,5,2,1,3,1,3,12,Moravian,Moravian_Lancaster Bible_1-30-2021
24,Morgan Amy,*,26,1-8,1-4,2-2,0-2,2,4,9,1,0,1,5,Moravian,Moravian_Lancaster Bible_1-30-2021
21,Alix Buskirk,*,19,0-4,0-0,1-2,0-2,2,2,1,4,0,0,1,Moravian,Moravian_Lancaster Bible_1-30-2021
14,Reganne Flannery,,25,4-8,0-1,0-0,0-1,1,0,3,0,0,0,8,Moravian,Moravian_Lancaster Bible_1-30-2021
40,Sara Geary,,7,3-5,0-0,0-0,0-2,2,1,1,0,1,0,6,Moravian,Moravian_Lancaster Bible_1-30-2021
30,Gracie Hezel,,3,0-0,0-0,1-2,2-0,2,0,1,0,0,0,1,Moravian,Moravian_Lancaster Bible_1-30-2021
05,Emily Markowski,,23,0-5,0-3,0-0,0-0,0,3,1,1,2,1,0,Moravian,Moravian_Lancaster Bible_1-30-2021
20,Rachel Sutton,,15,0-1,0-0,0-0,1-1,2,2,1,1,0,0,0,Moravian,Moravian_Lancaster Bible_1-30-2021
10,Raquel Lopez de Boer,,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Moravian_Lancaster Bible_1-30-2021
22,Meghan Ansel,,2,0-0,0-0,0-0,0-0,0,1,1,0,0,0,0,Moravian,Moravian_Lancaster Bible_1-30-2021
25,Ashley Robinson,,2,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Moravian,Moravian_Lancaster Bible_1-30-2021
03,Vicky Donovan,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Moravian_Lancaster Bible_1-30-2021
13,Rileigh Serroni,,1,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Moravian,Moravian_Lancaster Bible_1-30-2021
14,Lizzy Tilton,*,39,8-18,0-5,7-10,1-7,8,2,2,3,1,0,23,Lancaster Bible,Moravian_Lancaster Bible_1-30-2021
35,Jenna Dombach,*,34,4-6,0-1,2-3,0-2,2,3,3,1,2,2,10,Lancaster Bible,Moravian_Lancaster Bible_1-30-2021
10,Adalyn Steiner,*,35,3-12,3-5,0-0,0-1,1,0,1,1,0,1,9,Lancaster Bible,Moravian_Lancaster Bible_1-30-2021
04,Jordyn Beers,*,33,1-5,0-0,0-2,4-8,12,2,0,0,0,4,2,Lancaster Bible,Moravian_Lancaster Bible_1-30-2021
32,Tenia Brown,*,23,0-0,0-0,1-3,2-0,2,3,0,2,0,0,1,Lancaster Bible,Moravian_Lancaster Bible_1-30-2021
34,Paige Towne,,17,0-1,0-0,0-0,0-3,3,0,0,3,0,0,0,Lancaster Bible,Moravian_Lancaster Bible_1-30-2021
05,Hope Hodges,,16,0-3,0-2,0-0,0-2,2,0,0,4,0,0,0,Lancaster Bible,Moravian_Lancaster Bible_1-30-2021
02,Naomi Ewing,,3,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Lancaster Bible,Moravian_Lancaster Bible_1-30-2021
