##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
24,"Lustig,Lizzie",*,33,3-7,2-3,0-2,1-4,5,2,2,2,0,0,8,Moravian,Moravian_Lebanon Valley_12-14-2024
10,"Guarente,Brielle",*,32,3-11,0-0,0-0,0-4,4,5,1,5,0,1,6,Moravian,Moravian_Lebanon Valley_12-14-2024
22,"Vassallo,Juliana",*,21,3-11,0-3,0-0,0-1,1,0,2,2,0,0,6,Moravian,Moravian_Lebanon Valley_12-14-2024
02,"Day,Kania",*,20,1-3,0-0,0-0,1-2,3,1,0,3,0,1,2,Moravian,Moravian_Lebanon Valley_12-14-2024
11,"Squizziato,Sofia",*,14,0-1,0-0,0-0,2-0,2,0,1,0,0,1,0,Moravian,Moravian_Lebanon Valley_12-14-2024
01,"Osorio,Sam",,18,2-6,0-0,2-4,3-2,5,2,1,0,0,1,6,Moravian,Moravian_Lebanon Valley_12-14-2024
12,"Anderson,Mikayla",,19,1-3,0-0,0-0,0-3,3,0,1,0,0,1,2,Moravian,Moravian_Lebanon Valley_12-14-2024
05,"Wallbillich,Ellie",,17,1-5,0-2,0-0,0-0,0,2,0,1,0,0,2,Moravian,Moravian_Lebanon Valley_12-14-2024
00,"Altmire,Emma",,11,0-2,0-1,1-2,0-0,0,0,0,1,0,0,1,Moravian,Moravian_Lebanon Valley_12-14-2024
04,"Cartagena,Jayda",,7,0-1,0-0,1-2,0-1,1,3,0,3,0,0,1,Moravian,Moravian_Lebanon Valley_12-14-2024
03,"Sena,Allie",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Moravian_Lebanon Valley_12-14-2024
23,"Cabana,Kylie",,2,0-1,0-1,0-0,0-0,0,0,0,1,0,0,0,Moravian,Moravian_Lebanon Valley_12-14-2024
34,"Donaldson,Kate",,2,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Moravian,Moravian_Lebanon Valley_12-14-2024
42,"Ohlhoff,Brynn",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Moravian_Lebanon Valley_12-14-2024
32,"Reidinger,Brielle",*,29,7-12,0-0,1-2,1-7,8,0,3,2,1,0,15,Lebanon Valley,Moravian_Lebanon Valley_12-14-2024
01,"Fernandez,Cristina",*,36,3-9,0-0,5-6,4-6,10,2,6,0,1,3,11,Lebanon Valley,Moravian_Lebanon Valley_12-14-2024
14,"Hevelow,Riley",*,30,4-13,0-5,0-0,0-1,1,2,1,0,0,1,8,Lebanon Valley,Moravian_Lebanon Valley_12-14-2024
33,"Zimmerman,Jordan",*,29,4-6,0-0,0-0,0-4,4,1,1,0,0,2,8,Lebanon Valley,Moravian_Lebanon Valley_12-14-2024
22,"Reed,Abbie",*,34,2-5,0-1,2-2,0-6,6,1,3,4,0,1,6,Lebanon Valley,Moravian_Lebanon Valley_12-14-2024
34,"Eckhart,Kailey",,17,1-3,0-1,3-4,2-2,4,3,2,3,0,0,5,Lebanon Valley,Moravian_Lebanon Valley_12-14-2024
31,"Balmer,Elise",,8,2-2,0-0,0-0,1-0,1,0,0,3,0,1,4,Lebanon Valley,Moravian_Lebanon Valley_12-14-2024
25,"Holcomb,Alexa",,6,0-0,0-0,2-2,0-1,1,0,0,0,0,0,2,Lebanon Valley,Moravian_Lebanon Valley_12-14-2024
15,"Badner,Erika",,3,0-2,0-2,2-2,0-1,1,0,0,0,0,0,2,Lebanon Valley,Moravian_Lebanon Valley_12-14-2024
11,"Edwards,Hailie",,5,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Lebanon Valley,Moravian_Lebanon Valley_12-14-2024
03,"Witkoski,Rachel",,3,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Lebanon Valley,Moravian_Lebanon Valley_12-14-2024
