##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,"Guarente,Brielle",*,38,8-14,0-0,2-4,0-6,6,1,3,3,1,3,18,Moravian,Moravian_Lycoming_1-7-2024
01,"Osorio,Sam",*,36,5-10,0-0,4-6,5-12,17,3,2,8,4,1,14,Moravian,Moravian_Lycoming_1-7-2024
24,"Lustig,Lizzie",*,39,5-11,0-0,2-2,4-3,7,3,1,4,0,2,12,Moravian,Moravian_Lycoming_1-7-2024
14,"Flannery,Reganne",*,34,1-5,0-2,1-2,0-2,2,1,4,1,0,2,3,Moravian,Moravian_Lycoming_1-7-2024
21,"Steffen,Grace",*,16,1-2,0-0,0-0,0-1,1,5,0,1,1,1,2,Moravian,Moravian_Lycoming_1-7-2024
04,"Cartagena,Jayda",,14,1-6,1-5,4-6,0-0,0,3,0,3,0,0,7,Moravian,Moravian_Lycoming_1-7-2024
12,"Anderson,Mikayla",,20,1-2,0-0,0-0,2-1,3,1,2,0,1,1,2,Moravian,Moravian_Lycoming_1-7-2024
22,"Vassallo,Juliana",,3,0-1,0-1,0-0,0-0,0,0,0,1,0,0,0,Moravian,Moravian_Lycoming_1-7-2024
22,"Lockard,Emily",*,29,5-13,0-0,3-3,2-5,7,3,3,4,1,0,13,Lycoming,Moravian_Lycoming_1-7-2024
21,"Yoh,Ashley",*,37,2-7,0-1,7-9,2-3,5,3,4,1,0,3,11,Lycoming,Moravian_Lycoming_1-7-2024
12,"Dufner,Meghan",*,36,3-12,0-3,3-6,5-1,6,4,2,5,0,4,9,Lycoming,Moravian_Lycoming_1-7-2024
25,"Goldenziel,Alicia",*,32,4-11,0-1,0-0,2-2,4,0,0,4,0,3,8,Lycoming,Moravian_Lycoming_1-7-2024
10,"Wetzel,Mya",*,30,2-9,2-8,0-0,0-4,4,2,2,1,0,2,6,Lycoming,Moravian_Lycoming_1-7-2024
02,"Abdo,Kami",,27,2-9,0-2,3-6,0-1,1,2,0,0,0,2,7,Lycoming,Moravian_Lycoming_1-7-2024
20,"Pumputis,Jillian",,5,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Lycoming,Moravian_Lycoming_1-7-2024
04,"Orich,Maddie",,4,0-0,0-0,0-0,0-0,0,1,1,1,0,0,0,Lycoming,Moravian_Lycoming_1-7-2024
