##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,"Amy, Madison",*,33+,4-13,1-7,4-6,1-0,1,2,1,1,0,1,13,Moravian,Moravian_Scranton_2-25-2021
24,"Amy, Morgan",*,30+,2-5,2-3,4-4,0-5,5,2,3,1,0,2,10,Moravian,Moravian_Scranton_2-25-2021
2,"Yoegel, Kayla",*,29+,2-8,1-3,4-4,0-1,1,3,1,1,2,2,9,Moravian,Moravian_Scranton_2-25-2021
1,"Osorio, Sam",*,19+,2-7,0-0,2-4,1-6,7,1,0,2,0,1,6,Moravian,Moravian_Scranton_2-25-2021
5,"Markowski, Emily",*,15+,2-3,1-1,0-0,2-3,5,2,0,0,0,0,5,Moravian,Moravian_Scranton_2-25-2021
14,"Flannery, Reganne",,11+,0-0,0-0,2-2,0-0,0,1,0,0,0,0,2,Moravian,Moravian_Scranton_2-25-2021
30,"Hezel, Gracie",,5+,1-1,0-0,0-0,0-1,1,1,0,1,0,0,2,Moravian,Moravian_Scranton_2-25-2021
10,"Lopez de Boer, Raquel",,3+,0-0,0-0,2-2,0-0,0,0,1,1,0,0,2,Moravian,Moravian_Scranton_2-25-2021
22,"Ansel, Meghan",,3+,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Moravian,Moravian_Scranton_2-25-2021
4,"Kelly, Jackie",,13+,0-3,0-1,0-0,0-2,2,0,0,1,0,0,0,Moravian,Moravian_Scranton_2-25-2021
21,"Buskirk, Alix",,13+,0-5,0-0,0-0,2-0,2,0,1,2,0,0,0,Moravian,Moravian_Scranton_2-25-2021
15,"Beneducci, Jordan",,8+,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Moravian,Moravian_Scranton_2-25-2021
20,"Sutton, Rachel",,8+,0-1,0-0,0-2,0-0,0,0,0,1,0,0,0,Moravian,Moravian_Scranton_2-25-2021
40,"Geary, Sara",,5+,0-1,0-0,0-0,0-0,0,1,0,1,0,0,0,Moravian,Moravian_Scranton_2-25-2021
13,"Serroni, Rileigh",,2+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Moravian_Scranton_2-25-2021
25,"Robinson, Ashley",,2+,0-1,0-0,0-0,0-0,0,0,0,0,0,1,0,Moravian,Moravian_Scranton_2-25-2021
13,"Hartnett, Maddie",*,18+,3-10,3-9,3-3,1-2,3,1,1,3,0,0,12,Scranton,Moravian_Scranton_2-25-2021
24,"Monaghan, Bridget",*,27+,5-11,1-6,0-0,0-3,3,1,3,1,0,0,11,Scranton,Moravian_Scranton_2-25-2021
21,"Ryan, Maddy",*,21+,4-7,0-0,3-4,6-1,7,2,2,2,2,1,11,Scranton,Moravian_Scranton_2-25-2021
0,"Angelini, Hannah",*,26+,4-7,1-3,0-0,0-5,5,3,0,4,0,0,9,Scranton,Moravian_Scranton_2-25-2021
40,"McCurdy, Danielle",*,22+,1-3,0-0,0-0,0-3,3,3,3,0,0,1,2,Scranton,Moravian_Scranton_2-25-2021
20,"Shurina, Emily",,15+,4-6,3-5,0-1,1-1,2,3,1,1,0,0,11,Scranton,Moravian_Scranton_2-25-2021
10,"Lynch, Allie",,10,3-5,0-2,0-0,3-2,5,2,1,1,0,0,6,Scranton,Moravian_Scranton_2-25-2021
30,"Steele, Mackenzie",,5+,1-1,0-0,2-2,0-0,0,2,0,1,0,0,4,Scranton,Moravian_Scranton_2-25-2021
33,"Quigley, Kyra",,14,1-4,0-0,0-0,3-4,7,3,1,1,1,0,2,Scranton,Moravian_Scranton_2-25-2021
32,"Walsh, Sara",,10+,1-3,0-0,0-0,0-6,6,1,1,0,1,0,2,Scranton,Moravian_Scranton_2-25-2021
23,"Larrabee, Jenna",,6+,1-2,0-0,0-0,0-0,0,1,2,1,0,0,2,Scranton,Moravian_Scranton_2-25-2021
22,"Nolan, Leah",,10+,0-1,0-1,0-0,0-1,1,0,0,0,1,0,0,Scranton,Moravian_Scranton_2-25-2021
5,"Heineman, Carly",,9+,0-2,0-0,0-0,1-0,1,0,0,0,0,1,0,Scranton,Moravian_Scranton_2-25-2021
11,"Farney, Kayla",,6+,0-2,0-1,0-0,1-0,1,0,0,1,0,0,0,Scranton,Moravian_Scranton_2-25-2021
