##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
02,"Yoegel,Kayla",*,37,8-18,1-5,4-4,1-5,6,1,2,1,2,0,21,Moravian,Moravian_Susquehanna_1-21-2023
01,"Osorio,Sam",*,26,4-11,0-0,4-6,2-3,5,0,0,1,1,2,12,Moravian,Moravian_Susquehanna_1-21-2023
10,"Guarente,Brielle",*,22,4-8,0-0,0-0,0-0,0,1,2,1,0,1,8,Moravian,Moravian_Susquehanna_1-21-2023
24,"Amy,Morgan",*,39,0-7,0-4,4-4,0-2,2,2,3,2,0,2,4,Moravian,Moravian_Susquehanna_1-21-2023
05,"Markowski,Emily",*,37,1-6,0-0,2-2,5-5,10,1,2,2,1,0,4,Moravian,Moravian_Susquehanna_1-21-2023
20,"Zamolyi,Tessa",,22,5-9,0-0,4-5,8-7,15,1,1,0,0,1,14,Moravian,Moravian_Susquehanna_1-21-2023
25,"Robinson,Ashley",,9,2-9,1-1,0-0,2-2,4,2,0,1,0,0,5,Moravian,Moravian_Susquehanna_1-21-2023
04,"Cartagena,Jayda",,5,0-0,0-0,0-0,0-0,0,1,1,0,0,0,0,Moravian,Moravian_Susquehanna_1-21-2023
14,"Flannery,Reganne",,3,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Moravian,Moravian_Susquehanna_1-21-2023
30,"Lynch,Kaitlyn",*,36,10-17,4-4,0-0,1-2,3,4,2,1,0,0,24,Susquehanna,Moravian_Susquehanna_1-21-2023
03,"Selvaggi,Kenzie",*,36,6-13,3-7,1-2,1-1,2,4,4,2,0,1,16,Susquehanna,Moravian_Susquehanna_1-21-2023
21,"Roth,Julia",*,38,3-7,0-0,5-6,1-8,9,3,3,1,0,1,11,Susquehanna,Moravian_Susquehanna_1-21-2023
44,"Brandt,Olivia",*,38,4-6,0-0,0-0,1-8,9,3,4,6,1,0,8,Susquehanna,Moravian_Susquehanna_1-21-2023
00,"Pinckert,Julia",*,38,3-10,0-6,0-0,0-5,5,4,6,3,0,1,6,Susquehanna,Moravian_Susquehanna_1-21-2023
05,"Klein,Lauren",,11,0-2,0-1,0-0,0-0,0,1,0,1,0,0,0,Susquehanna,Moravian_Susquehanna_1-21-2023
31,"Meehan,Grace",,3,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Moravian_Susquehanna_1-21-2023
